,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Aberdeenshire,GB-ABD,,,ChIJ1deuZ9h_g0gRB-LNSfT9NVA,2021-01-01,,,2.44,,4.6,4.63,6.18,3.64,6.45,5.03,2.03,2.22,0.83,1.55,1.74,4.23,51
1,GB,United Kingdom,Aberdeenshire,GB-ABD,,,ChIJ1deuZ9h_g0gRB-LNSfT9NVA,2021-01-02,,,2.67,,4.59,4.39,7.04,4.77,5.19,4.94,1.6,2.5,0.75,1.27,2.17,2.8,99
2,GB,United Kingdom,Aberdeenshire,GB-ABD,,,ChIJ1deuZ9h_g0gRB-LNSfT9NVA,2021-01-03,,,2.74,,4.45,4.8,7.17,4.8,4.78,4.2,1.26,2.67,0.95,0.93,1.94,2.94,87
3,GB,United Kingdom,Aberdeenshire,GB-ABD,,,ChIJ1deuZ9h_g0gRB-LNSfT9NVA,2021-01-04,,,2.29,,4.43,4.51,7.04,4.41,4.75,4.29,1.52,2.1,0.8,0.87,1.81,2.63,139
4,GB,United Kingdom,Aberdeenshire,GB-ABD,,,ChIJ1deuZ9h_g0gRB-LNSfT9NVA,2021-01-05,,,2.49,,3.8,4.42,7.33,4.84,5.36,5.4,1.63,1.95,0.99,0.86,2.22,2.67,161
5,GB,United Kingdom,Aberdeenshire,GB-ABD,,,ChIJ1deuZ9h_g0gRB-LNSfT9NVA,2021-01-06,,,2.13,,3.9,4.69,7.02,5.19,5.29,5.09,1.36,1.91,1.14,0.92,1.34,2.78,100
6,GB,United Kingdom,Aberdeenshire,GB-ABD,,,ChIJ1deuZ9h_g0gRB-LNSfT9NVA,2021-01-07,,,2.01,,4.5,4.52,6.11,4.47,4.92,4.22,1.56,1.81,1.29,1.02,1.67,2.96,93
7,GB,United Kingdom,Aberdeenshire,GB-ABD,,,ChIJ1deuZ9h_g0gRB-LNSfT9NVA,2021-01-08,,,1.91,,3.77,4.32,6.21,4.4,4.25,4.07,1.46,2.34,0.6,1.03,1.78,2.76,61
8,GB,United Kingdom,Aberdeenshire,GB-ABD,,,ChIJ1deuZ9h_g0gRB-LNSfT9NVA,2021-01-09,,,1.77,,4.08,3.92,7.04,4.46,4.81,4.71,1.42,2.18,0.94,0.99,1.37,3.17,29
9,GB,United Kingdom,Aberdeenshire,GB-ABD,,,ChIJ1deuZ9h_g0gRB-LNSfT9NVA,2021-01-10,,,2.43,,4.2,4.67,7.18,4.52,5.44,4.89,1.66,1.74,0.92,0.62,1.69,2.93,46
10,GB,United Kingdom,Aberdeenshire,GB-ABD,,,ChIJ1deuZ9h_g0gRB-LNSfT9NVA,2021-01-11,,,2.36,,3.8,4.37,6.82,4.48,5.36,4.39,1.46,2.07,0.88,1.42,1.62,3.08,98
11,GB,United Kingdom,Aberdeenshire,GB-ABD,,,ChIJ1deuZ9h_g0gRB-LNSfT9NVA,2021-01-12,,,2.56,,3.94,4.74,6.69,4.34,5.37,4.74,1.99,2.02,1.01,1.03,1.36,3.05,64
12,GB,United Kingdom,Aberdeenshire,GB-ABD,,,ChIJ1deuZ9h_g0gRB-LNSfT9NVA,2021-01-13,,,2.13,,3.92,4.58,7.03,4.91,5.54,4.79,1.17,1.94,0.89,1.15,1.66,2.64,47
13,GB,United Kingdom,Aberdeenshire,GB-ABD,,,ChIJ1deuZ9h_g0gRB-LNSfT9NVA,2021-01-14,,,2.01,,4.4,4.0,7.27,5.4,5.14,5.08,1.36,2.08,0.75,1.01,1.59,3.02,46
14,GB,United Kingdom,Aberdeenshire,GB-ABD,,,ChIJ1deuZ9h_g0gRB-LNSfT9NVA,2021-01-15,,,1.87,,3.76,3.59,6.18,4.36,4.41,4.96,1.08,2.08,1.05,0.67,1.39,2.75,53
15,GB,United Kingdom,Aberdeenshire,GB-ABD,,,ChIJ1deuZ9h_g0gRB-LNSfT9NVA,2021-01-16,,,1.88,,3.92,4.2,6.36,3.69,4.78,5.01,1.68,2.54,0.69,1.15,1.5,2.8,35
16,GB,United Kingdom,Aberdeenshire,GB-ABD,,,ChIJ1deuZ9h_g0gRB-LNSfT9NVA,2021-01-17,,,2.04,,3.73,4.28,6.85,3.53,5.19,5.59,1.56,2.52,0.81,0.86,1.39,3.02,27
17,GB,United Kingdom,Aberdeenshire,GB-ABD,,,ChIJ1deuZ9h_g0gRB-LNSfT9NVA,2021-01-18,,,1.84,,3.41,3.96,6.59,3.63,5.3,4.87,1.22,2.52,1.13,1.29,1.46,2.75,60
18,GB,United Kingdom,Aberdeenshire,GB-ABD,,,ChIJ1deuZ9h_g0gRB-LNSfT9NVA,2021-01-19,,,2.04,,4.35,3.88,6.35,4.14,4.75,4.68,1.34,1.76,1.01,1.25,1.36,2.58,40
19,GB,United Kingdom,Aberdeenshire,GB-ABD,,,ChIJ1deuZ9h_g0gRB-LNSfT9NVA,2021-01-20,,,2.09,,3.5,4.63,6.37,4.16,5.12,5.52,1.18,2.4,0.99,1.2,2.02,2.68,58
