,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-01,,,3.1,,5.71,4.06,5.55,4.92,6.54,4.39,1.99,2.48,0.91,1.37,2.03,3.68,94
1,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-02,,,1.82,,5.39,4.94,7.57,4.33,4.9,4.58,1.66,2.19,1.38,,2.67,3.0,145
2,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-03,,,2.71,,4.42,4.13,7.09,4.74,5.31,4.62,2.43,3.04,0.93,0.89,1.99,3.2,107
3,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-04,,,2.89,,5.25,3.41,5.97,5.4,5.44,5.89,1.43,2.55,1.46,0.82,2.06,3.75,158
4,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-05,,,2.71,,5.05,4.37,6.82,5.09,5.24,4.33,1.88,2.86,1.05,1.32,1.81,2.79,122
5,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-06,,,2.0,,5.02,4.53,6.38,3.36,5.02,4.38,1.58,2.38,,1.02,1.47,2.68,144
6,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-07,,,2.83,,5.28,4.11,6.98,4.53,5.55,5.74,1.74,2.04,0.87,1.02,1.77,2.11,107
7,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-08,,,2.14,,4.92,4.58,5.72,4.65,5.42,5.03,1.79,2.02,1.07,1.11,1.98,2.25,92
8,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-09,,,2.51,,5.11,4.62,6.57,4.01,5.51,5.27,1.78,2.63,,0.85,1.91,3.16,65
9,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-10,,,1.69,,5.06,5.14,7.66,5.06,6.5,5.94,2.49,2.73,1.0,0.88,2.01,2.33,66
10,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-11,,,2.22,,4.83,4.43,8.18,5.12,5.12,4.76,1.2,2.8,1.27,1.53,1.42,3.6,73
11,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-12,,,2.52,,5.63,3.67,6.74,3.78,5.3,4.74,1.15,2.48,1.04,0.93,1.0,3.08,72
12,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-13,,,2.83,,4.22,4.19,7.57,4.33,5.88,5.92,1.8,2.94,1.29,0.92,1.47,2.79,85
13,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-14,,,3.03,,4.8,4.95,6.61,4.14,5.58,5.98,1.26,2.36,0.89,1.4,1.29,3.14,62
14,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-15,,,2.41,,4.81,3.98,6.84,4.96,4.85,5.23,1.47,2.14,1.32,1.69,1.09,3.12,55
15,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-16,,,2.22,,4.55,3.9,7.47,3.98,5.75,5.66,1.93,2.17,1.27,0.94,1.27,2.5,47
16,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-17,,,2.47,,4.17,5.02,7.77,4.17,5.75,6.63,1.74,2.19,1.21,,1.13,3.12,42
17,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-18,,,2.27,,4.39,4.42,7.47,4.72,5.54,4.95,1.52,2.94,0.97,1.34,1.9,2.71,58
18,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-19,,,2.2,,3.96,4.22,8.22,5.94,5.5,5.69,1.61,2.38,1.17,1.25,1.83,2.68,71
19,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-20,,,2.35,,3.66,5.27,8.0,4.22,5.27,4.86,1.61,1.98,1.08,1.34,1.34,2.43,67
20,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-21,,,3.5,,4.4,5.04,7.34,4.59,5.65,5.01,1.81,1.51,1.51,0.98,1.54,3.2,52
21,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-22,,,2.1,,3.78,3.86,6.54,4.51,4.24,4.43,1.49,2.64,0.84,1.11,1.34,3.25,43
22,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-23,,,2.33,,4.25,5.11,5.59,4.33,4.78,5.02,2.0,2.74,1.1,0.86,1.88,2.78,45
23,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-24,,,2.59,,3.7,4.98,6.01,4.69,5.84,4.73,1.36,2.63,,1.03,2.02,3.04,41
24,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-25,,,2.29,,4.13,4.24,6.98,3.71,4.62,5.52,1.61,2.33,0.9,1.91,1.54,3.12,38
25,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-26,,,2.49,,4.06,4.06,7.26,3.5,5.17,4.65,1.45,2.57,1.12,1.45,1.3,2.72,47
26,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-27,,,2.24,,3.92,3.54,7.83,4.4,4.74,4.59,1.53,2.76,1.9,1.38,1.3,2.76,52
27,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-28,,,2.41,,4.21,4.42,7.68,3.47,4.86,5.05,1.21,2.6,1.32,1.43,1.65,2.71,26
28,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-29,,,1.78,,2.84,4.2,7.11,3.03,5.37,4.81,1.48,1.67,,1.17,1.48,2.65,27
29,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-30,,,2.22,,4.02,4.15,6.4,3.2,5.25,4.68,1.35,2.3,1.11,1.23,1.6,2.96,37
30,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-01-31,,,2.28,,4.28,5.32,8.36,3.64,5.12,5.04,1.32,2.08,1.52,1.04,1.48,2.72,31
31,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-02-01,,,1.76,,4.22,4.73,7.04,3.85,6.38,5.17,1.32,2.35,1.36,1.47,1.87,2.68,29
32,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-02-02,,,1.8,,4.46,4.31,7.37,4.64,4.75,5.49,1.47,1.88,3.24,0.81,1.73,2.76,46
33,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-02-03,,,3.1,,4.18,4.4,7.54,3.47,5.07,5.0,0.97,1.9,1.72,1.12,1.64,3.4,38
34,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-02-04,,,1.65,,3.95,4.77,7.14,5.3,6.05,5.9,1.31,2.14,1.01,1.43,1.31,2.97,36
35,GB,United Kingdom,Antrim and Newtownabbey,GB-ANN,,,ChIJ-QsErn2rYUgR-WEb8k5G8Bw,2021-02-05,,,1.65,,3.95,3.26,6.75,3.65,4.72,5.14,1.23,2.07,0.92,1.0,,2.73,22
