,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,"Armagh City, Banbridge and Craigavon",GB-ABC,,,ChIJRW_g5EzvYEgR0_NWY2pfPB4,2021-01-01,,,3.07,,6.12,4.11,7.12,4.93,6.51,5.36,2.25,3.23,,1.64,2.34,4.35,217
1,GB,United Kingdom,"Armagh City, Banbridge and Craigavon",GB-ABC,,,ChIJRW_g5EzvYEgR0_NWY2pfPB4,2021-01-02,,,2.59,,5.32,5.23,7.94,5.53,4.7,4.61,1.9,3.06,1.13,0.74,1.84,4.13,331
2,GB,United Kingdom,"Armagh City, Banbridge and Craigavon",GB-ABC,,,ChIJRW_g5EzvYEgR0_NWY2pfPB4,2021-01-03,,,3.22,,6.33,4.58,7.0,5.17,6.8,5.76,2.78,2.9,1.12,1.98,2.31,3.34,218
3,GB,United Kingdom,"Armagh City, Banbridge and Craigavon",GB-ABC,,,ChIJRW_g5EzvYEgR0_NWY2pfPB4,2021-01-04,,,2.16,,5.27,4.13,7.21,5.1,4.91,4.77,1.97,2.69,1.11,1.0,1.97,2.83,266
4,GB,United Kingdom,"Armagh City, Banbridge and Craigavon",GB-ABC,,,ChIJRW_g5EzvYEgR0_NWY2pfPB4,2021-01-05,,,2.18,,5.7,4.41,7.41,6.17,6.01,5.07,2.09,2.92,1.54,0.94,2.04,2.89,241
5,GB,United Kingdom,"Armagh City, Banbridge and Craigavon",GB-ABC,,,ChIJRW_g5EzvYEgR0_NWY2pfPB4,2021-01-06,,,1.9,,6.14,4.08,6.14,5.04,5.62,5.37,1.76,2.42,1.49,0.96,2.01,2.92,256
6,GB,United Kingdom,"Armagh City, Banbridge and Craigavon",GB-ABC,,,ChIJRW_g5EzvYEgR0_NWY2pfPB4,2021-01-07,,,1.97,,5.29,3.82,6.74,4.78,4.37,4.61,1.42,2.59,1.12,0.76,1.85,3.08,194
7,GB,United Kingdom,"Armagh City, Banbridge and Craigavon",GB-ABC,,,ChIJRW_g5EzvYEgR0_NWY2pfPB4,2021-01-08,,,2.42,,5.15,3.94,6.36,4.6,5.18,4.71,1.32,2.84,1.21,0.94,1.54,2.59,193
8,GB,United Kingdom,"Armagh City, Banbridge and Craigavon",GB-ABC,,,ChIJRW_g5EzvYEgR0_NWY2pfPB4,2021-01-09,,,2.0,,4.17,4.29,6.35,4.97,5.36,5.0,1.7,2.68,1.58,1.1,1.64,2.65,143
9,GB,United Kingdom,"Armagh City, Banbridge and Craigavon",GB-ABC,,,ChIJRW_g5EzvYEgR0_NWY2pfPB4,2021-01-10,,,2.97,,4.99,4.93,7.04,6.84,5.11,4.99,1.85,2.45,1.15,0.98,1.59,3.38,160
