,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Bath and North East Somerset,GB-BAS,,,ChIJNczQRnmIcUgREKCZ1COLDQM,2021-01-01,,,1.82,,4.82,3.31,6.73,4.14,5.54,3.78,2.02,2.44,0.69,0.98,2.11,3.33,68
1,GB,United Kingdom,Bath and North East Somerset,GB-BAS,,,ChIJNczQRnmIcUgREKCZ1COLDQM,2021-01-02,,,2.11,,4.62,3.73,7.54,4.07,4.65,4.07,1.47,2.19,0.75,1.5,1.85,3.03,103
2,GB,United Kingdom,Bath and North East Somerset,GB-BAS,,,ChIJNczQRnmIcUgREKCZ1COLDQM,2021-01-03,,,2.04,,5.39,4.32,7.29,5.62,4.83,4.54,1.65,1.87,,0.91,1.82,2.58,78
3,GB,United Kingdom,Bath and North East Somerset,GB-BAS,,,ChIJNczQRnmIcUgREKCZ1COLDQM,2021-01-04,,,2.11,,4.95,3.76,5.36,4.57,4.75,4.22,1.04,1.75,0.76,1.19,1.88,2.54,129
4,GB,United Kingdom,Bath and North East Somerset,GB-BAS,,,ChIJNczQRnmIcUgREKCZ1COLDQM,2021-01-05,,,2.06,,4.67,3.74,6.29,4.82,6.11,5.39,1.21,1.6,0.75,1.03,2.06,2.37,142
5,GB,United Kingdom,Bath and North East Somerset,GB-BAS,,,ChIJNczQRnmIcUgREKCZ1COLDQM,2021-01-06,,,2.12,,4.31,3.01,6.27,6.07,5.07,4.71,1.04,1.78,1.4,1.07,1.86,2.6,125
6,GB,United Kingdom,Bath and North East Somerset,GB-BAS,,,ChIJNczQRnmIcUgREKCZ1COLDQM,2021-01-07,,,1.81,,4.36,3.85,6.66,4.82,4.82,4.41,1.4,2.27,1.33,1.22,1.71,2.7,88
7,GB,United Kingdom,Bath and North East Somerset,GB-BAS,,,ChIJNczQRnmIcUgREKCZ1COLDQM,2021-01-08,,,2.05,,4.67,4.13,6.41,5.0,4.49,4.08,1.26,1.77,1.51,0.9,1.26,2.77,111
8,GB,United Kingdom,Bath and North East Somerset,GB-BAS,,,ChIJNczQRnmIcUgREKCZ1COLDQM,2021-01-09,,,1.98,,4.38,4.38,6.66,4.63,5.46,4.6,1.62,2.12,1.31,1.06,1.9,2.95,109
9,GB,United Kingdom,Bath and North East Somerset,GB-BAS,,,ChIJNczQRnmIcUgREKCZ1COLDQM,2021-01-10,,,1.74,,4.51,4.29,7.12,4.87,5.62,5.01,1.27,2.63,1.14,1.0,1.52,2.91,71
