,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Belfast,GB-BFS,,,ChIJfTP03VUIYUgRgBotirI_DwM,2021-01-01,,,2.23,,4.82,4.44,6.35,3.9,5.49,4.87,2.23,3.08,0.9,0.88,1.73,3.7,193
1,GB,United Kingdom,Belfast,GB-BFS,,,ChIJfTP03VUIYUgRgBotirI_DwM,2021-01-02,,,2.2,0.34,5.02,4.25,7.28,4.12,4.9,4.92,1.96,2.57,1.23,1.07,1.91,2.71,303
2,GB,United Kingdom,Belfast,GB-BFS,,,ChIJfTP03VUIYUgRgBotirI_DwM,2021-01-03,,,1.78,0.43,4.91,5.01,7.03,4.46,5.15,4.46,1.92,2.33,1.05,1.2,1.75,3.21,260
3,GB,United Kingdom,Belfast,GB-BFS,,,ChIJfTP03VUIYUgRgBotirI_DwM,2021-01-04,,,2.54,0.29,5.21,4.79,6.41,4.73,5.21,4.94,1.81,2.15,1.61,1.23,1.74,2.76,329
4,GB,United Kingdom,Belfast,GB-BFS,,,ChIJfTP03VUIYUgRgBotirI_DwM,2021-01-05,,,1.86,0.3,5.06,4.93,7.02,4.23,5.02,5.07,1.65,2.22,1.17,0.99,1.79,2.48,275
5,GB,United Kingdom,Belfast,GB-BFS,,,ChIJfTP03VUIYUgRgBotirI_DwM,2021-01-06,,,2.36,,4.87,4.2,6.13,4.23,4.63,4.38,1.6,2.25,1.14,0.8,1.81,2.39,223
6,GB,United Kingdom,Belfast,GB-BFS,,,ChIJfTP03VUIYUgRgBotirI_DwM,2021-01-07,,,2.12,0.34,4.4,3.81,6.95,4.36,4.99,4.69,1.47,2.43,1.18,0.95,1.65,3.1,187
7,GB,United Kingdom,Belfast,GB-BFS,,,ChIJfTP03VUIYUgRgBotirI_DwM,2021-01-08,,,2.11,0.41,4.91,3.77,6.34,3.76,5.12,5.27,1.42,2.04,1.09,0.91,1.81,2.15,195
8,GB,United Kingdom,Belfast,GB-BFS,,,ChIJfTP03VUIYUgRgBotirI_DwM,2021-01-09,,,2.07,0.31,4.59,4.13,6.47,3.98,5.5,5.06,1.38,2.18,1.03,0.73,1.6,2.78,162
9,GB,United Kingdom,Belfast,GB-BFS,,,ChIJfTP03VUIYUgRgBotirI_DwM,2021-01-10,,,1.93,,4.13,4.59,6.88,4.04,5.5,5.3,2.03,2.3,1.0,1.16,1.89,2.93,112
10,GB,United Kingdom,Belfast,GB-BFS,,,ChIJfTP03VUIYUgRgBotirI_DwM,2021-01-11,,,2.22,0.39,4.59,4.51,6.66,4.36,5.12,5.21,1.47,3.09,1.33,1.13,1.2,3.8,174
