,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Blackburn with Darwen,GB-BBD,,,ChIJrb426zyge0gRgKBv7Z75DAM,2021-01-01,,,2.91,,6.41,3.7,7.12,4.33,6.24,5.7,2.04,3.33,1.42,0.96,3.87,3.79,75
1,GB,United Kingdom,Blackburn with Darwen,GB-BBD,,,ChIJrb426zyge0gRgKBv7Z75DAM,2021-01-02,,,3.14,,7.38,4.24,6.81,4.04,4.89,5.26,2.77,2.61,1.92,0.94,2.61,3.26,155
2,GB,United Kingdom,Blackburn with Darwen,GB-BBD,,,ChIJrb426zyge0gRgKBv7Z75DAM,2021-01-03,,,2.29,,7.94,4.05,7.5,5.01,6.74,6.05,1.97,2.77,1.56,1.64,2.21,3.13,156
3,GB,United Kingdom,Blackburn with Darwen,GB-BBD,,,ChIJrb426zyge0gRgKBv7Z75DAM,2021-01-04,,,2.45,,5.85,4.11,5.21,4.22,5.81,5.39,1.52,2.45,1.45,0.99,1.63,3.51,230
4,GB,United Kingdom,Blackburn with Darwen,GB-BBD,,,ChIJrb426zyge0gRgKBv7Z75DAM,2021-01-05,,,2.64,,6.28,3.89,6.35,4.89,6.06,4.99,1.82,2.67,1.53,1.5,1.71,3.21,186
5,GB,United Kingdom,Blackburn with Darwen,GB-BBD,,,ChIJrb426zyge0gRgKBv7Z75DAM,2021-01-06,,,2.44,,5.19,4.27,7.91,4.17,6.07,5.76,1.66,2.61,,0.78,1.87,3.5,155
6,GB,United Kingdom,Blackburn with Darwen,GB-BBD,,,ChIJrb426zyge0gRgKBv7Z75DAM,2021-01-07,,,2.71,,5.99,4.14,6.37,4.87,5.25,4.63,1.95,1.81,1.11,1.39,1.6,3.41,152
7,GB,United Kingdom,Blackburn with Darwen,GB-BBD,,,ChIJrb426zyge0gRgKBv7Z75DAM,2021-01-08,,,2.13,,6.03,4.04,6.31,5.25,5.32,4.97,2.13,2.41,1.38,0.99,1.63,2.48,105
8,GB,United Kingdom,Blackburn with Darwen,GB-BBD,,,ChIJrb426zyge0gRgKBv7Z75DAM,2021-01-09,,,2.25,,5.66,4.01,5.78,4.17,6.42,6.3,2.13,2.69,1.36,1.2,2.33,3.21,125
9,GB,United Kingdom,Blackburn with Darwen,GB-BBD,,,ChIJrb426zyge0gRgKBv7Z75DAM,2021-01-10,,,1.99,,6.55,4.01,8.02,5.32,5.75,5.36,1.79,2.9,1.39,0.83,1.91,2.94,120
10,GB,United Kingdom,Blackburn with Darwen,GB-BBD,,,ChIJrb426zyge0gRgKBv7Z75DAM,2021-01-11,,,2.31,,6.17,4.34,7.13,5.93,5.44,4.65,1.58,2.52,1.96,1.21,1.34,3.03,219
11,GB,United Kingdom,Blackburn with Darwen,GB-BBD,,,ChIJrb426zyge0gRgKBv7Z75DAM,2021-01-12,,,2.43,,5.96,4.37,7.58,4.2,5.01,5.36,1.9,2.68,1.59,1.13,2.12,3.14,171
12,GB,United Kingdom,Blackburn with Darwen,GB-BBD,,,ChIJrb426zyge0gRgKBv7Z75DAM,2021-01-13,,,2.37,,6.71,4.42,7.2,5.42,5.6,6.57,1.25,2.54,1.7,1.01,1.77,3.34,123
13,GB,United Kingdom,Blackburn with Darwen,GB-BBD,,,ChIJrb426zyge0gRgKBv7Z75DAM,2021-01-14,,,2.21,,6.06,4.59,7.28,4.41,5.57,5.43,2.0,2.0,1.65,1.05,1.72,2.49,142
