,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Blackpool,GB-BPL,,,ChIJcyRdsZxDe0gRcKBv7Z75DAM,2021-01-01,,,1.54,,4.1,4.34,5.76,3.63,5.41,4.7,1.5,1.77,0.87,1.26,2.17,2.33,25
1,GB,United Kingdom,Blackpool,GB-BPL,,,ChIJcyRdsZxDe0gRcKBv7Z75DAM,2021-01-02,,,2.61,,5.13,4.1,6.17,3.18,4.75,3.68,1.69,1.61,1.19,2.07,1.53,2.34,93
2,GB,United Kingdom,Blackpool,GB-BPL,,,ChIJcyRdsZxDe0gRcKBv7Z75DAM,2021-01-03,,,1.68,,5.7,4.17,5.58,3.98,5.28,5.36,1.34,2.64,1.72,1.38,1.65,2.18,45
3,GB,United Kingdom,Blackpool,GB-BPL,,,ChIJcyRdsZxDe0gRcKBv7Z75DAM,2021-01-04,,,2.15,,5.19,4.07,5.16,3.69,4.44,4.75,1.09,2.22,0.92,1.23,1.84,2.36,90
4,GB,United Kingdom,Blackpool,GB-BPL,,,ChIJcyRdsZxDe0gRcKBv7Z75DAM,2021-01-05,,,1.73,,4.5,3.39,5.75,4.6,4.78,4.53,0.73,1.83,0.76,0.97,1.45,2.53,52
5,GB,United Kingdom,Blackpool,GB-BPL,,,ChIJcyRdsZxDe0gRcKBv7Z75DAM,2021-01-06,,,1.95,,4.69,3.52,5.75,4.07,4.38,4.35,0.99,1.64,1.03,1.06,1.71,2.12,78
6,GB,United Kingdom,Blackpool,GB-BPL,,,ChIJcyRdsZxDe0gRcKBv7Z75DAM,2021-01-07,,,2.33,,4.31,3.73,5.23,4.62,4.65,4.52,1.44,1.61,,1.23,1.61,1.95,75
7,GB,United Kingdom,Blackpool,GB-BPL,,,ChIJcyRdsZxDe0gRcKBv7Z75DAM,2021-01-08,,,1.73,,4.04,3.79,5.66,4.1,4.21,4.59,1.07,1.79,1.0,,1.34,2.31,62
8,GB,United Kingdom,Blackpool,GB-BPL,,,ChIJcyRdsZxDe0gRcKBv7Z75DAM,2021-01-09,,,1.87,,3.19,4.65,5.36,3.3,4.24,4.12,1.12,1.8,1.31,0.79,1.42,2.47,42
9,GB,United Kingdom,Blackpool,GB-BPL,,,ChIJcyRdsZxDe0gRcKBv7Z75DAM,2021-01-10,,,1.99,,4.8,4.62,6.6,3.94,5.21,5.59,1.61,1.73,,1.5,1.8,2.59,39
