,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Bracknell Forest,GB-BRC,,,ChIJzX-3DTl-dkgRMEztoi2uDgQ,2021-01-01,,,1.99,,5.19,4.54,6.62,6.99,6.81,5.93,1.95,2.64,0.97,1.16,2.59,3.94,108
1,GB,United Kingdom,Bracknell Forest,GB-BRC,,,ChIJzX-3DTl-dkgRMEztoi2uDgQ,2021-01-02,,,2.26,,6.16,4.03,7.83,4.98,5.66,5.84,1.4,3.08,1.68,,2.26,4.03,121
2,GB,United Kingdom,Bracknell Forest,GB-BRC,,,ChIJzX-3DTl-dkgRMEztoi2uDgQ,2021-01-03,,,2.19,,5.46,5.6,7.88,6.5,4.7,4.88,1.79,2.96,1.43,1.84,1.7,2.64,125
3,GB,United Kingdom,Bracknell Forest,GB-BRC,,,ChIJzX-3DTl-dkgRMEztoi2uDgQ,2021-01-04,,,2.19,,5.49,3.84,6.6,6.23,5.32,5.08,1.65,2.39,1.2,1.53,1.9,2.93,154
4,GB,United Kingdom,Bracknell Forest,GB-BRC,,,ChIJzX-3DTl-dkgRMEztoi2uDgQ,2021-01-05,,,1.0,,7.0,4.37,6.87,6.87,4.83,4.96,1.46,2.08,1.54,1.62,2.12,3.62,150
5,GB,United Kingdom,Bracknell Forest,GB-BRC,,,ChIJzX-3DTl-dkgRMEztoi2uDgQ,2021-01-06,,,1.66,,6.24,4.37,6.82,5.78,5.57,5.7,1.87,2.45,0.87,,2.29,2.7,116
6,GB,United Kingdom,Bracknell Forest,GB-BRC,,,ChIJzX-3DTl-dkgRMEztoi2uDgQ,2021-01-07,,,2.13,,5.59,3.58,7.09,6.29,5.13,4.75,1.83,2.0,1.54,1.25,1.71,2.0,126
7,GB,United Kingdom,Bracknell Forest,GB-BRC,,,ChIJzX-3DTl-dkgRMEztoi2uDgQ,2021-01-08,,,1.88,,5.46,4.46,5.42,7.0,4.75,4.67,2.21,2.38,1.04,1.08,1.42,2.79,91
8,GB,United Kingdom,Bracknell Forest,GB-BRC,,,ChIJzX-3DTl-dkgRMEztoi2uDgQ,2021-01-09,,,1.71,,5.35,4.58,6.29,5.57,6.25,5.17,2.16,3.01,1.35,1.21,1.75,3.1,79
9,GB,United Kingdom,Bracknell Forest,GB-BRC,,,ChIJzX-3DTl-dkgRMEztoi2uDgQ,2021-01-10,,,1.62,,5.69,4.73,6.74,4.38,6.13,5.08,1.53,2.41,1.36,1.31,1.71,3.2,50
10,GB,United Kingdom,Bracknell Forest,GB-BRC,,,ChIJzX-3DTl-dkgRMEztoi2uDgQ,2021-01-11,,,1.84,,5.49,4.71,8.15,6.35,5.2,4.91,1.47,2.38,1.51,1.35,2.17,2.87,101
11,GB,United Kingdom,Bracknell Forest,GB-BRC,,,ChIJzX-3DTl-dkgRMEztoi2uDgQ,2021-01-12,,,2.48,,5.61,4.83,7.06,5.65,5.37,4.09,1.57,2.56,1.2,1.57,1.94,2.93,89
12,GB,United Kingdom,Bracknell Forest,GB-BRC,,,ChIJzX-3DTl-dkgRMEztoi2uDgQ,2021-01-13,,,2.52,,4.66,4.83,7.43,7.14,5.99,4.5,1.4,2.44,1.57,,1.49,2.93,56
13,GB,United Kingdom,Bracknell Forest,GB-BRC,,,ChIJzX-3DTl-dkgRMEztoi2uDgQ,2021-01-14,,,1.93,,4.47,3.53,7.92,5.29,5.21,4.72,1.27,2.09,,0.86,1.93,2.87,76
