,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-01,,,2.15,0.49,5.77,4.71,6.77,5.15,5.71,4.53,1.91,2.66,1.18,1.07,1.86,3.6,160
1,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-02,,,1.72,0.43,5.39,4.03,7.27,6.01,5.82,5.13,2.03,2.02,0.89,1.11,2.07,3.25,301
2,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-03,,,2.42,0.36,5.44,4.28,7.33,5.82,5.06,5.09,1.49,2.39,1.32,1.13,2.44,3.0,225
3,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-04,,,1.7,,5.47,3.5,6.15,5.64,4.88,4.71,1.73,1.88,0.99,0.98,2.06,2.54,531
4,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-05,,,1.53,0.54,5.54,3.73,6.33,6.33,4.79,4.8,1.47,2.21,1.46,1.32,2.18,3.0,360
5,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-06,,,1.89,0.42,4.98,3.58,6.53,5.96,5.04,4.75,1.91,1.8,0.98,1.33,1.97,2.39,312
6,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-07,,,1.8,0.4,5.34,4.11,6.36,5.34,4.83,4.83,1.64,2.42,0.99,1.26,2.07,2.73,290
7,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-08,,,1.68,0.42,4.6,4.17,6.74,4.7,5.15,5.09,1.41,1.58,1.16,1.0,1.71,2.92,244
8,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-09,,,1.86,,5.18,4.33,6.1,5.99,5.07,4.6,1.64,2.12,1.02,1.27,2.46,2.72,174
9,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-10,,,1.96,,4.6,4.05,6.76,5.24,5.31,4.76,1.57,1.68,1.02,1.09,2.16,2.23,173
10,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-11,,,2.11,0.43,5.66,4.87,7.43,5.86,5.16,4.71,1.45,2.17,1.25,1.34,1.79,2.73,270
11,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-12,,,1.94,,5.46,4.32,7.17,5.0,5.23,4.95,1.49,2.34,1.08,1.42,1.88,2.66,230
12,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-13,,,1.47,0.43,4.58,3.94,6.69,5.21,5.04,5.07,1.44,2.06,1.22,0.95,1.82,2.61,211
13,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-14,,,1.8,,5.08,4.46,6.58,4.74,5.82,5.76,1.31,2.12,1.02,1.33,1.55,3.41,234
14,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-15,,,1.81,0.36,4.51,3.88,6.67,4.72,4.67,4.56,1.0,1.76,0.9,0.98,1.63,2.69,170
15,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-16,,,2.06,,4.26,4.33,6.56,4.57,6.08,5.41,1.4,2.27,0.64,1.16,1.67,2.95,101
16,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-17,,,1.66,0.38,4.19,4.51,7.21,4.15,5.52,5.58,1.39,2.35,0.67,1.08,1.84,3.76,91
17,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-18,,,2.46,,4.29,4.57,6.6,4.38,4.72,4.98,1.38,2.6,1.26,1.49,1.57,2.68,190
18,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-19,,,1.87,,4.18,4.37,7.12,4.73,5.05,5.21,1.39,2.31,1.0,0.78,1.79,2.42,168
19,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-20,,,1.74,0.39,4.34,4.36,7.32,4.9,5.1,5.43,1.16,2.12,1.24,1.27,1.89,2.87,128
20,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-21,,,1.83,,4.59,4.45,6.55,4.45,4.72,4.66,1.14,2.29,0.93,0.85,1.78,2.79,100
21,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-22,,,2.14,,4.21,4.38,6.68,5.01,4.79,5.28,1.03,2.02,1.14,0.95,1.43,3.1,105
22,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-23,,,2.25,,4.01,4.2,6.61,4.66,5.04,5.33,1.36,2.13,1.22,1.08,1.7,3.27,75
23,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-24,,,1.97,0.44,4.7,4.27,6.75,4.36,5.19,4.56,1.42,2.27,0.76,1.15,1.93,2.85,60
24,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-25,,,1.58,,4.29,4.39,6.13,4.39,4.36,5.36,1.2,2.52,0.98,0.87,1.66,2.61,125
25,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-26,,,1.77,0.34,4.23,4.2,7.36,4.13,5.18,5.24,1.54,1.89,1.07,1.14,1.77,2.92,77
26,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-27,,,1.86,,4.26,4.4,7.05,4.36,5.07,4.95,1.45,2.3,0.91,1.26,1.61,2.68,85
27,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-28,,,1.84,,4.13,3.77,7.93,4.75,5.09,4.98,1.1,2.21,0.97,1.19,1.36,3.22,64
28,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-29,,,1.77,,3.77,3.5,7.13,4.4,5.1,4.95,1.02,2.34,0.96,0.95,1.44,2.45,82
29,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-30,,,2.1,,3.71,4.44,6.04,3.61,5.48,4.74,1.35,2.26,0.98,0.93,1.42,3.2,45
30,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-01-31,,,1.97,,4.23,4.2,6.82,4.01,4.71,4.11,1.11,2.4,1.16,0.88,1.49,2.85,34
31,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-02-01,,,1.95,0.35,3.83,4.64,8.71,3.83,5.7,5.58,1.2,2.23,1.35,1.24,1.76,2.8,56
32,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-02-02,,,2.02,,4.7,4.01,7.19,3.88,5.25,5.34,1.26,2.42,2.28,1.14,2.05,2.89,61
33,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-02-03,,,1.68,,3.73,4.16,7.1,3.64,5.32,5.64,1.1,2.2,1.25,1.05,1.7,2.69,41
34,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-02-04,,,1.85,0.32,4.0,4.53,7.31,4.11,4.95,4.69,1.05,2.49,1.05,1.15,1.76,3.02,58
35,GB,United Kingdom,Brighton and Hove,GB-BNH,,,ChIJfRLCXYeFdUgRsJ7toi2uDgM,2021-02-05,,,1.85,0.46,3.83,4.12,6.38,4.09,4.74,5.08,1.23,2.12,0.73,1.27,1.45,3.25,52
