,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Cardiff,GB-CRF,,,ChIJIcabGbIEbkgRAKKZ1COLDQM,2021-01-01,,,1.94,0.33,4.63,4.25,6.44,3.67,5.34,4.64,1.66,2.3,0.91,0.85,1.78,3.25,97
1,GB,United Kingdom,Cardiff,GB-CRF,,,ChIJIcabGbIEbkgRAKKZ1COLDQM,2021-01-02,,,2.09,0.39,5.37,3.62,5.7,3.78,4.99,4.58,1.64,1.99,1.13,1.29,1.79,3.05,200
2,GB,United Kingdom,Cardiff,GB-CRF,,,ChIJIcabGbIEbkgRAKKZ1COLDQM,2021-01-03,,,2.16,0.43,4.54,3.98,6.87,3.9,5.58,4.81,1.79,1.93,1.02,0.96,2.32,2.46,165
3,GB,United Kingdom,Cardiff,GB-CRF,,,ChIJIcabGbIEbkgRAKKZ1COLDQM,2021-01-04,,,1.96,0.35,4.34,3.41,6.34,4.05,4.96,4.49,1.23,2.18,1.15,1.05,1.57,2.71,235
4,GB,United Kingdom,Cardiff,GB-CRF,,,ChIJIcabGbIEbkgRAKKZ1COLDQM,2021-01-05,,,2.05,0.52,5.04,3.73,6.63,4.04,4.87,4.76,1.44,1.9,1.41,1.26,1.94,2.17,239
5,GB,United Kingdom,Cardiff,GB-CRF,,,ChIJIcabGbIEbkgRAKKZ1COLDQM,2021-01-06,,,2.05,0.36,4.07,3.71,6.82,4.1,5.07,4.93,1.56,2.16,1.17,1.04,1.45,2.25,228
6,GB,United Kingdom,Cardiff,GB-CRF,,,ChIJIcabGbIEbkgRAKKZ1COLDQM,2021-01-07,,,1.64,0.34,4.57,3.29,6.35,4.36,5.04,4.88,1.4,1.88,1.11,0.77,1.75,2.7,184
7,GB,United Kingdom,Cardiff,GB-CRF,,,ChIJIcabGbIEbkgRAKKZ1COLDQM,2021-01-08,,,1.77,0.27,4.05,3.39,6.08,3.67,5.19,4.92,1.5,1.95,1.27,1.0,1.71,2.33,146
8,GB,United Kingdom,Cardiff,GB-CRF,,,ChIJIcabGbIEbkgRAKKZ1COLDQM,2021-01-09,,,2.26,,4.31,4.13,6.23,3.73,5.39,4.6,1.1,1.89,1.0,1.21,1.48,2.5,143
9,GB,United Kingdom,Cardiff,GB-CRF,,,ChIJIcabGbIEbkgRAKKZ1COLDQM,2021-01-10,,,1.93,,4.11,3.9,7.5,4.22,5.45,4.97,1.51,2.04,1.01,1.02,1.9,2.73,104
