country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Abdominal obesity,symptom:Abdominal pain,symptom:Acne,symptom:Actinic keratosis,symptom:Acute bronchitis,symptom:Adrenal crisis,symptom:Ageusia,symptom:Alcoholism,symptom:Allergic conjunctivitis,symptom:Allergy,symptom:Amblyopia,symptom:Amenorrhea,symptom:Amnesia,symptom:Anal fissure,symptom:Anaphylaxis,symptom:Anemia,symptom:Angina pectoris,symptom:Angioedema,symptom:Angular cheilitis,symptom:Anosmia,symptom:Anxiety,symptom:Aphasia,symptom:Aphonia,symptom:Apnea,symptom:Arthralgia,symptom:Arthritis,symptom:Ascites,symptom:Asperger syndrome,symptom:Asphyxia,symptom:Asthma,symptom:Astigmatism,symptom:Ataxia,symptom:Atheroma,symptom:Attention deficit hyperactivity disorder,symptom:Auditory hallucination,symptom:Autoimmune disease,symptom:Avoidant personality disorder,symptom:Back pain,symptom:Bacterial vaginosis,symptom:Balance disorder,symptom:Beau's lines,symptom:Bell's palsy,symptom:Biliary colic,symptom:Binge eating,symptom:Bleeding,symptom:Bleeding on probing,symptom:Blepharospasm,symptom:Bloating,symptom:Blood in stool,symptom:Blurred vision,symptom:Blushing,symptom:Boil,symptom:Bone fracture,symptom:Bone tumor,symptom:Bowel obstruction,symptom:Bradycardia,symptom:Braxton Hicks contractions,symptom:Breakthrough bleeding,symptom:Breast pain,symptom:Bronchitis,symptom:Bruise,symptom:Bruxism,symptom:Bunion,symptom:Burn,symptom:Burning Chest Pain,symptom:Burning mouth syndrome,symptom:Candidiasis,symptom:Canker sore,symptom:Cardiac arrest,symptom:Carpal tunnel syndrome,symptom:Cataplexy,symptom:Cataract,symptom:Chancre,symptom:Cheilitis,symptom:Chest pain,symptom:Chills,symptom:Chorea,symptom:Chronic pain,symptom:Cirrhosis,symptom:Cleft lip and cleft palate,symptom:Clouding of consciousness,symptom:Cluster headache,symptom:Colitis,symptom:Coma,symptom:Common cold,symptom:Compulsive behavior,symptom:Compulsive hoarding,symptom:Confusion,symptom:Congenital heart defect,symptom:Conjunctivitis,symptom:Constipation,symptom:Convulsion,symptom:Cough,symptom:Crackles,symptom:Cramp,symptom:Crepitus,symptom:Croup,symptom:Cyanosis,symptom:Dandruff,symptom:Delayed onset muscle soreness,symptom:Dementia,symptom:Dentin hypersensitivity,symptom:Depersonalization,symptom:Depression,symptom:Dermatitis,symptom:Desquamation,symptom:Developmental disability,symptom:Diabetes,symptom:Diabetic ketoacidosis,symptom:Diarrhea,symptom:Dizziness,symptom:Dry eye syndrome,symptom:Dysautonomia,symptom:Dysgeusia,symptom:Dysmenorrhea,symptom:Dyspareunia,symptom:Dysphagia,symptom:Dysphoria,symptom:Dystonia,symptom:Dysuria,symptom:Ear pain,symptom:Eczema,symptom:Edema,symptom:Encephalitis,symptom:Encephalopathy,symptom:Epidermoid cyst,symptom:Epilepsy,symptom:Epiphora,symptom:Erectile dysfunction,symptom:Erythema,symptom:Erythema chronicum migrans,symptom:Esophagitis,symptom:Excessive daytime sleepiness,symptom:Eye pain,symptom:Eye strain,symptom:Facial nerve paralysis,symptom:Facial swelling,symptom:Fasciculation,symptom:Fatigue,symptom:Fatty liver disease,symptom:Fecal incontinence,symptom:Fever,symptom:Fibrillation,symptom:Fibrocystic breast changes,symptom:Fibromyalgia,symptom:Flatulence,symptom:Floater,symptom:Focal seizure,symptom:Folate deficiency,symptom:Food craving,symptom:Food intolerance,symptom:Frequent urination,symptom:Gastroesophageal reflux disease,symptom:Gastroparesis,symptom:Generalized anxiety disorder,symptom:Generalized tonic–clonic seizure,symptom:Genital wart,symptom:Gingival recession,symptom:Gingivitis,symptom:Globus pharyngis,symptom:Goitre,symptom:Gout,symptom:Grandiosity,symptom:Granuloma,symptom:Guilt,symptom:Hair loss,symptom:Halitosis,symptom:Hay fever,symptom:Headache,symptom:Heart arrhythmia,symptom:Heart murmur,symptom:Heartburn,symptom:Hematochezia,symptom:Hematoma,symptom:Hematuria,symptom:Hemolysis,symptom:Hemoptysis,symptom:Hemorrhoids,symptom:Hepatic encephalopathy,symptom:Hepatitis,symptom:Hepatotoxicity,symptom:Hiccup,symptom:Hip pain,symptom:Hives,symptom:Hot flash,symptom:Hydrocephalus,symptom:Hypercalcaemia,symptom:Hypercapnia,symptom:Hypercholesterolemia,symptom:Hyperemesis gravidarum,symptom:Hyperglycemia,symptom:Hyperkalemia,symptom:Hyperlipidemia,symptom:Hypermobility,symptom:Hyperpigmentation,symptom:Hypersomnia,symptom:Hypertension,symptom:Hyperthermia,symptom:Hyperthyroidism,symptom:Hypertriglyceridemia,symptom:Hypertrophy,symptom:Hyperventilation,symptom:Hypocalcaemia,symptom:Hypochondriasis,symptom:Hypoglycemia,symptom:Hypogonadism,symptom:Hypokalemia,symptom:Hypomania,symptom:Hyponatremia,symptom:Hypotension,symptom:Hypothyroidism,symptom:Hypoxemia,symptom:Hypoxia,symptom:Impetigo,symptom:Implantation bleeding,symptom:Impulsivity,symptom:Indigestion,symptom:Infection,symptom:Inflammation,symptom:Inflammatory bowel disease,symptom:Ingrown hair,symptom:Insomnia,symptom:Insulin resistance,symptom:Intermenstrual bleeding,symptom:Intracranial pressure,symptom:Iron deficiency,symptom:Irregular menstruation,symptom:Itch,symptom:Jaundice,symptom:Kidney failure,symptom:Kidney stone,symptom:Knee Pain,symptom:Kyphosis,symptom:Lactose intolerance,symptom:Laryngitis,symptom:Leg cramps,symptom:Lesion,symptom:Leukorrhea,symptom:Lightheadedness,symptom:Low back pain,symptom:Low-grade fever,symptom:Lymphedema,symptom:Major depressive disorder,symptom:Malabsorption,symptom:Male infertility,symptom:Manic Disorder,symptom:Melasma,symptom:Melena,symptom:Meningitis,symptom:Menorrhagia,symptom:Middle back pain,symptom:Migraine,symptom:Milium,symptom:Mitral insufficiency,symptom:Mood disorder,symptom:Mood swing,symptom:Morning sickness,symptom:Motion sickness,symptom:Mouth ulcer,symptom:Muscle atrophy,symptom:Muscle weakness,symptom:Myalgia,symptom:Mydriasis,symptom:Myocardial infarction,symptom:Myoclonus,symptom:Nasal congestion,symptom:Nasal polyp,symptom:Nausea,symptom:Neck mass,symptom:Neck pain,symptom:Neonatal jaundice,symptom:Nerve injury,symptom:Neuralgia,symptom:Neutropenia,symptom:Night sweats,symptom:Night terror,symptom:Nocturnal enuresis,symptom:Nodule,symptom:Nosebleed,symptom:Nystagmus,symptom:Obesity,symptom:Onychorrhexis,symptom:Oral candidiasis,symptom:Orthostatic hypotension,symptom:Osteopenia,symptom:Osteophyte,symptom:Osteoporosis,symptom:Otitis,symptom:Otitis externa,symptom:Otitis media,symptom:Pain,symptom:Palpitations,symptom:Panic attack,symptom:Papule,symptom:Paranoia,symptom:Paresthesia,symptom:Pelvic inflammatory disease,symptom:Pericarditis,symptom:Periodontal disease,symptom:Periorbital puffiness,symptom:Peripheral neuropathy,symptom:Perspiration,symptom:Petechia,symptom:Phlegm,symptom:Photodermatitis,symptom:Photophobia,symptom:Photopsia,symptom:Pleural effusion,symptom:Pleurisy,symptom:Pneumonia,symptom:Podalgia,symptom:Polycythemia,symptom:Polydipsia,symptom:Polyneuropathy,symptom:Polyuria,symptom:Poor posture,symptom:Post-nasal drip,symptom:Postural orthostatic tachycardia syndrome,symptom:Prediabetes,symptom:Proteinuria,symptom:Pruritus ani,symptom:Psychosis,symptom:Ptosis,symptom:Pulmonary edema,symptom:Pulmonary hypertension,symptom:Purpura,symptom:Pus,symptom:Pyelonephritis,symptom:Radiculopathy,symptom:Rectal pain,symptom:Rectal prolapse,symptom:Red eye,symptom:Renal colic,symptom:Restless legs syndrome,symptom:Rheum,symptom:Rhinitis,symptom:Rhinorrhea,symptom:Rosacea,symptom:Round ligament pain,symptom:Rumination,symptom:Scar,symptom:Sciatica,symptom:Scoliosis,symptom:Seborrheic dermatitis,symptom:Self-harm,symptom:Sensitivity to sound,symptom:Sexual dysfunction,symptom:Shallow breathing,symptom:Sharp pain,symptom:Shivering,symptom:Shortness of breath,symptom:Shyness,symptom:Sinusitis,symptom:Skin condition,symptom:Skin rash,symptom:Skin tag,symptom:Skin ulcer,symptom:Sleep apnea,symptom:Sleep deprivation,symptom:Sleep disorder,symptom:Snoring,symptom:Sore throat,symptom:Spasticity,symptom:Splenomegaly,symptom:Sputum,symptom:Stomach rumble,symptom:Strabismus,symptom:Stretch marks,symptom:Stridor,symptom:Stroke,symptom:Stuttering,symptom:Subdural hematoma,symptom:Suicidal ideation,symptom:Swelling,symptom:Swollen feet,symptom:Swollen lymph nodes,symptom:Syncope,symptom:Tachycardia,symptom:Tachypnea,symptom:Telangiectasia,symptom:Tenderness,symptom:Testicular pain,symptom:Throat irritation,symptom:Thrombocytopenia,symptom:Thyroid nodule,symptom:Tic,symptom:Tinnitus,symptom:Tonsillitis,symptom:Toothache,symptom:Tremor,symptom:Trichoptilosis,symptom:Tumor,symptom:Type 2 diabetes,symptom:Unconsciousness,symptom:Underweight,symptom:Upper respiratory tract infection,symptom:Urethritis,symptom:Urinary incontinence,symptom:Urinary tract infection,symptom:Urinary urgency,symptom:Uterine contraction,symptom:Vaginal bleeding,symptom:Vaginal discharge,symptom:Vaginitis,symptom:Varicose veins,symptom:Vasculitis,symptom:Ventricular fibrillation,symptom:Ventricular tachycardia,symptom:Vertigo,symptom:Viral pneumonia,symptom:Visual acuity,symptom:Vomiting,symptom:Wart,symptom:Water retention,symptom:Weakness,symptom:Weight gain,symptom:Wheeze,symptom:Xeroderma,symptom:Xerostomia,symptom:Yawn,symptom:hyperhidrosis,symptom:pancreatitis
GB,United Kingdom,Falkirk,GB-FAL,,,ChIJw-xIZyJ6iEgRM9AQrv2dHr0,2021-01-01,2.82,7.03,8.42,,,,,6.42,,8.28,,,,,,1.75,0.75,,,,7.53,,,,,5.46,,2.46,,3.14,,,,2.85,,,,6.53,0.75,,,,,,4.5,,,2.75,,,,,3.42,,,,,,1.0,,1.71,,,2.14,,,2.07,1.57,,1.07,,,,,2.0,,,,,,,,,,9.13,,,,,,4.42,,4.71,,3.53,,,,1.46,,3.96,,,4.35,2.85,,,4.96,,3.92,2.67,,,,1.39,,,,,,0.93,,1.0,,,,1.32,,1.89,,,,,,,,,,5.67,,,3.5,,,,1.89,,,,,,,6.49,,1.71,,1.46,,,,,0.75,,,,4.57,,1.32,6.71,0.89,,5.21,,,,,,2.0,,,,,,0.89,1.03,,,,,,0.89,,,,,,4.57,,0.79,,,,,,,,,,,1.21,0.89,,,,1.03,,3.35,19.01,4.89,0.96,,2.78,,,,1.46,,8.92,,1.71,1.14,1.39,,0.86,,,,,,3.17,,,2.67,,,,,,,0.96,,4.82,,,1.28,,1.11,,1.46,,,,,2.5,,2.03,,2.53,,2.0,,,,,,,,,,,6.35,,,,,,0.75,1.32,,0.82,42.48,,1.43,,,3.35,,,1.32,0.96,,1.89,,0.82,,,,,,,0.96,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,,,,2.57,1.46,,,,,,,1.07,,,,2.0,4.14,6.71,0.89,2.07,,,2.32,,2.43,,,,,,,,1.64,,,,6.99,,1.14,,0.82,,,,,,,,,1.35,1.39,1.11,,,,2.39,,1.03,,,1.75,3.78,,1.0,0.79,2.6,,,,,,1.75,,,3.78,1.35,,,2.89,,4.14,,,,
GB,United Kingdom,Falkirk,GB-FAL,,,ChIJw-xIZyJ6iEgRM9AQrv2dHr0,2021-01-02,2.75,6.3,8.22,,,,,6.0,,7.92,,,,,,1.82,0.73,,,,9.22,,,,,5.5,,1.59,,2.09,,,,2.32,,0.93,,7.16,1.03,,,,,,4.94,,,2.69,,,,1.03,3.08,,,,,0.76,1.33,,2.22,,,1.76,,,2.82,,,0.7,,,,,2.22,,,0.86,,,,,,,8.39,,,,,,3.85,,4.08,,3.15,,,,0.76,,5.27,,,4.48,2.75,,,5.87,,4.05,2.19,0.73,,,1.72,,,,,,1.03,,,,,,1.39,,1.26,,,,,,,,,0.93,5.77,,,3.65,,,0.93,2.88,,,,,1.09,,5.74,,,,1.19,,,,,1.59,,,,4.34,,0.99,5.27,1.03,,3.91,,,,,,1.99,,,,,1.62,1.16,1.43,,,,,,0.9,,,,0.76,,4.31,,0.73,,,,,,,,,,,0.9,0.86,,,,1.43,,2.79,19.83,4.91,1.16,,2.88,,,,1.23,,8.29,,0.99,1.33,1.56,,,,,0.76,,0.99,3.78,,,3.15,,,,,,,0.76,,4.81,,,0.86,,1.33,,0.96,,,,,2.85,,2.19,,2.15,,1.96,,,,,,,,,,,6.57,,0.7,,,,,1.72,,0.99,42.81,,1.99,,,2.92,,,0.86,1.16,,1.79,,0.83,,,,,,,1.16,,,,,,,,0.86,,,1.33,,,,,,,,,,,,,,,,,,,2.49,1.43,,,,,,,1.62,,0.96,,1.56,4.64,6.17,,2.06,0.7,,2.45,,2.42,,,,,,,,1.92,,,,6.8,,0.93,,0.93,,,,,,,,,1.03,0.7,1.23,,,,3.48,,0.9,,,0.96,4.68,,0.99,1.09,3.12,,,,,,1.03,,,3.38,1.72,,,3.15,,4.61,,,,
GB,United Kingdom,Falkirk,GB-FAL,,,ChIJw-xIZyJ6iEgRM9AQrv2dHr0,2021-01-03,3.77,5.77,8.79,,,,,4.66,,8.53,,,,,,2.26,1.34,,,,9.74,,,,,5.44,,2.1,,1.84,,,,2.52,,1.05,,7.77,1.05,,,,,,5.74,,,3.34,,,,0.98,3.44,,,,,1.11,1.31,,2.75,,,1.38,,,3.15,0.92,,1.18,,,,,2.39,,,,,,,,,,9.8,,,,,,3.87,,5.48,,4.36,,,,1.67,,3.21,,,5.08,3.51,,,5.74,,4.56,1.87,,,,2.26,,,,,,0.69,,,,,,0.98,,1.93,,,,,,,,,,6.85,,,4.46,,,0.92,3.12,,,,,1.87,,5.77,,1.38,,0.89,,,,,0.85,,,,5.97,,1.41,4.69,1.34,,3.94,,,,,,1.93,,,,,1.18,0.95,0.98,,,,,,0.69,,,,,,4.69,,0.82,,,,,,,,,,,1.02,1.15,,,,1.44,,2.1,21.41,5.25,1.41,,3.51,,,,1.51,,8.49,,0.98,1.48,1.11,,1.21,,,0.92,,,4.53,,,3.34,,,,,,,1.11,,4.29,,,0.95,,1.02,,1.25,,,,,2.1,,2.26,,1.97,,2.33,,,,,,,,,,,7.15,,0.82,,,,,1.11,,0.69,45.41,,1.51,,,3.48,,,1.08,1.21,1.11,1.97,,1.38,,,,,,0.98,1.28,,,,,0.98,,,0.82,,,1.64,,,,,,,,,,,,,,,,,,,1.9,2.03,,,,,,,1.61,,1.05,,1.8,4.95,6.98,0.98,1.93,0.79,,3.12,1.64,1.57,,,,,,,,2.33,,,,7.31,,1.15,,0.85,,,,,,,,,1.31,1.08,1.64,,,0.69,2.56,,0.82,,,1.64,4.13,,1.05,0.92,3.18,,,,,,1.57,,,2.56,1.93,,,3.8,,4.46,,,,
GB,United Kingdom,Falkirk,GB-FAL,,,ChIJw-xIZyJ6iEgRM9AQrv2dHr0,2021-01-04,4.22,6.09,7.35,,,,,3.8,,7.8,,,,,,1.55,0.89,,,,9.6,,,,,4.91,,2.0,,2.15,,,,3.07,,1.36,,6.94,,,,,,,4.95,,,2.19,,,,0.76,3.3,,,,,1.08,0.82,,1.93,,,1.93,,,2.41,1.05,,1.17,,,,,2.28,,,1.11,,,,,,,8.4,,,,,,3.39,,4.56,,3.83,,,,1.01,,2.6,,,4.41,3.55,,,5.55,,3.61,1.77,0.73,,,1.81,,,,,,1.05,,1.11,,,,0.95,,1.68,,,,,,,,,0.73,5.23,,,4.15,,,0.92,2.06,,,,,,,4.75,,1.58,,0.86,,,,,,,,,4.91,,1.17,5.55,1.4,,3.39,,,,,,1.65,,,,,0.95,1.08,0.73,,,,,,0.73,,,,,,4.95,,,,,,,,,,,,,1.24,1.2,,,,1.01,,1.14,20.95,5.45,0.98,,3.42,,,,0.92,,7.96,,0.67,0.98,1.87,,0.86,,,0.67,,1.2,3.3,,,2.82,,,,,,,,,5.55,,,0.7,,0.82,,,,,,,1.52,,1.24,,1.74,,1.9,,,,,,,,,,,7.99,,,,,,,1.55,,0.89,41.52,,2.0,,,3.01,,,0.79,1.05,,1.65,,,,,,,,1.11,0.98,,,,,0.67,,,,,,1.71,,,,,,,,,,,,,,,,,,,2.28,1.4,,,,,,,1.52,,1.05,,0.86,4.18,7.0,0.86,1.46,0.92,,2.79,1.49,1.68,,,,,,,,2.03,,,,7.29,,,,0.82,,,,,,,,,1.46,0.7,1.9,,,,2.41,,0.7,,,1.84,4.98,,1.2,0.82,4.31,,,,,,0.98,,,2.03,1.49,,,3.96,,3.87,,,,
GB,United Kingdom,Falkirk,GB-FAL,,,ChIJw-xIZyJ6iEgRM9AQrv2dHr0,2021-01-05,3.46,6.65,8.04,,,,,4.13,,8.69,,,,,,1.68,1.2,,,,9.07,,,,,6.33,,2.26,,2.87,,,,2.58,,1.45,,6.72,1.16,,,,,,6.72,,,3.58,,,,0.68,3.65,,,,,0.68,,,2.42,,,1.55,,,3.36,1.2,,1.23,,,,,2.52,,,0.74,,,,,,,8.36,,,,,,4.68,,4.78,,4.0,,,,1.58,,3.0,,,5.46,3.29,,,6.55,,4.0,2.68,1.03,,,1.97,,,,,,1.0,,0.74,,,,1.74,,2.0,,,,,,,,,1.0,6.68,,,3.94,,,,1.32,,,,,1.1,,5.26,,1.55,,1.0,,,,,0.78,,,,3.16,,1.55,5.49,1.23,,3.42,,,,,,2.45,,,,,1.36,0.81,1.03,,,,,,1.2,,,,1.0,,6.0,,0.97,,,,,,,,,,,1.06,1.65,,,,1.55,,2.26,21.6,6.13,1.2,,3.94,,,,1.45,,8.27,,0.87,1.74,1.97,,1.03,,,1.1,,,3.68,,,3.71,,,,,,,1.13,,5.17,,,,,0.84,,1.39,,,,,2.52,,1.29,,2.03,,1.71,,,,,,,,,,,7.81,,0.81,,,,0.74,1.52,,0.9,44.23,,2.07,,,2.39,,,1.61,0.97,1.06,2.39,,,,,,,,0.87,1.45,,,,,0.74,,,0.9,,,1.2,,,,,,,,,,,,,,,,,,,2.26,1.65,,,,,,,1.45,,1.06,,1.26,4.88,7.17,0.74,1.81,1.2,,3.33,1.49,1.71,,,,,,,,3.0,,,,7.65,,1.2,,1.42,,,,,,,,,1.52,0.94,,,,,3.42,,1.2,,,1.55,5.68,,0.74,1.0,3.33,,,,,,1.49,,,2.39,1.61,,,3.16,,4.29,,,,
GB,United Kingdom,Falkirk,GB-FAL,,,ChIJw-xIZyJ6iEgRM9AQrv2dHr0,2021-01-06,3.0,6.67,8.02,,,,,3.0,,7.76,,,,,,2.48,,,,,9.15,,,,,5.19,,3.38,,1.97,,,,1.97,,1.45,,6.38,1.0,,,,,,6.8,,,3.0,,,,1.13,2.83,,,,,,1.29,,1.84,,,1.16,,,2.45,1.09,,0.9,,,,,2.13,,,1.61,,,,,,,8.89,,,,,,4.09,,3.74,,4.19,,,,1.13,,2.13,,,5.57,4.19,,,6.41,,4.32,1.93,0.97,,,1.8,,,,,,0.84,,1.0,,,,1.58,,1.55,,,,,,,,,,5.64,,,4.16,,,1.58,2.09,,,,,0.77,,4.74,,1.32,,,,,,,1.06,,,,4.35,,1.32,4.96,0.97,,3.06,,,,,,1.58,,,,,1.35,0.81,1.19,,,,1.16,,0.68,,,,0.68,,6.15,,,,,,,,,,,,,1.39,1.64,,,,1.06,,1.06,21.36,5.19,1.55,,4.38,,,,1.87,,9.18,,1.35,1.16,1.68,,0.93,,,0.93,,0.68,3.58,,,4.22,,,,,,,1.19,,5.35,,,0.9,,1.29,,1.26,,,,,2.83,,1.35,,2.25,,1.77,,,,,,,,,,,7.99,,1.19,,,,1.03,1.19,,0.81,42.26,,2.16,,,2.58,,,0.97,1.26,,1.64,,0.68,,,,,,1.03,1.06,,,,,0.9,,,0.97,,,1.09,,,,,,,,,,,,,,,,,,,2.13,1.48,,,,,,,1.68,,0.84,,2.0,5.35,6.86,,1.68,0.68,,2.93,1.55,1.71,,,,,,,,2.8,,,,5.93,,1.42,,0.71,,,,,,,,,1.26,1.19,1.19,,,,3.12,,1.48,,,1.8,4.48,,0.9,,3.38,,,,,,1.03,,,2.48,1.19,,,2.9,,3.93,,,,
GB,United Kingdom,Falkirk,GB-FAL,,,ChIJw-xIZyJ6iEgRM9AQrv2dHr0,2021-01-07,2.75,7.22,7.06,,,,,3.24,,8.42,,,,,,2.69,0.74,,,,8.68,,,,,5.63,,4.47,,2.17,,,,3.04,,1.68,,7.09,1.07,,,,,,4.79,,,3.53,,,,,2.85,,,,,0.84,0.91,,1.81,,,2.27,,,3.85,0.94,,0.91,,,,,2.72,,,0.97,,,,,,,7.87,0.81,,,,0.71,4.4,,4.47,,3.88,,,,1.59,,2.27,,,4.73,3.37,,,5.92,,4.4,2.14,,,,1.98,,,,,,1.46,,1.04,,,,1.39,,1.55,,,,,,,,,0.87,6.12,,,4.99,,,0.84,2.56,,,,,1.13,,5.05,,1.0,,0.91,,,,,1.13,,,,5.08,,0.81,4.37,1.36,,3.04,,,,,,1.98,,,,,1.29,0.68,1.1,,,,0.68,,,,,,,,4.89,,1.17,,,,,,,,,,,1.13,1.65,,,,1.26,,1.65,20.55,5.73,1.59,,4.14,,,,1.26,,9.74,,0.91,1.26,1.36,,0.84,,,0.81,,0.87,4.08,,,4.14,,,,,,,0.87,,4.27,,,0.78,,0.97,,1.62,,,,,2.33,,,,1.65,,1.42,,,,,,,,,,,6.93,,1.26,,,,0.68,0.94,,,42.82,,1.88,,,2.85,,,1.23,,,1.81,,,,,,,,1.0,1.04,,,,,,,,0.97,,,1.0,,,,,,,,,,,,,,,,,,,2.98,1.75,,,,,,,,,1.13,,1.65,4.6,7.64,,2.2,,,3.43,1.39,1.17,,,,,,,,2.04,,,,7.32,,1.46,,0.87,,,,,,,,,1.42,1.0,1.23,,,,3.14,,1.36,,,2.17,4.11,,0.97,,2.85,,,,,,1.59,,,1.91,1.26,,,3.24,,3.72,,,,
GB,United Kingdom,Falkirk,GB-FAL,,,ChIJw-xIZyJ6iEgRM9AQrv2dHr0,2021-01-08,2.76,6.4,8.09,,,,,4.16,,8.55,,,,,,2.76,,,,,7.77,,,,,5.43,,1.89,,1.75,,,,3.02,,1.1,,6.24,1.3,,,,,,4.29,,,2.54,,,,0.75,2.89,,,,,0.97,0.78,,2.6,,,1.59,,,3.06,0.84,,1.66,,,,,1.95,,,1.72,,,,,,,8.81,0.68,,,,0.78,3.9,,4.36,,3.28,,,,1.24,,3.02,,,4.36,3.84,,,7.02,,3.61,1.69,,,,1.59,,,,,,0.88,,,,,,1.56,,1.72,,,,,,,,,0.97,6.27,,,3.67,,,0.84,2.37,,,,,0.71,,4.23,,1.14,,0.84,,,,,1.46,,,,5.23,,1.04,4.97,1.59,,2.89,,,,,,2.21,,,,,1.14,1.1,,,,,,,1.07,,,,0.88,,5.1,,1.04,,,,,,,,,,,,1.98,,,,1.43,,1.14,21.39,5.4,0.94,,3.15,,,,2.02,,8.81,,,0.84,1.75,,0.84,,,,,0.75,3.51,,,3.25,,,,,,,1.04,,4.32,,,0.68,,1.17,,0.91,,,,,2.47,,1.33,,1.75,,1.82,,,,,,,,,,,6.21,,1.3,,,,,0.78,,0.68,41.8,,1.59,,,3.12,,,0.88,1.14,1.07,1.27,,0.71,,,,,,1.01,0.97,,,,,0.84,,,,,,1.5,,,,,,,,,,,,,,,,,,,2.11,1.92,,,,,,,1.92,,1.04,,1.92,4.52,6.66,,1.53,0.75,,2.7,1.53,1.69,,,,,,0.84,,2.44,,,,8.06,,0.78,,0.94,,,,,,,,,,0.75,1.17,,,1.01,3.45,,0.94,,,0.97,4.29,,1.36,,3.64,,,,,,1.36,,,3.22,1.46,,,3.35,,4.19,,,,
GB,United Kingdom,Falkirk,GB-FAL,,,ChIJw-xIZyJ6iEgRM9AQrv2dHr0,2021-01-09,3.22,6.63,8.59,,,,,3.91,,10.28,,,,,,2.32,,,,,8.59,,,,,5.64,,1.39,,2.12,,,,2.65,,1.19,,6.9,1.23,,,,,,4.18,,,2.85,,,,1.23,3.22,,,,,1.16,,,1.82,,,2.22,,,3.78,0.73,,1.09,,,,,2.12,,,1.33,,,,,,,9.02,,,,,1.09,4.21,,4.25,,3.22,,,,1.06,,2.16,,,4.58,3.71,,,6.37,,4.14,2.65,1.06,,,0.7,,,,,,0.9,,0.9,,,,1.16,,2.09,,,,,,,,,0.76,5.77,,,3.75,,,0.86,2.62,,,,,0.93,,4.68,,1.33,,0.9,,,,,0.83,,,,5.27,,1.49,6.1,1.39,,3.78,,,,,,2.35,,,,,1.43,1.06,,,,,0.9,,0.86,,,,,,3.25,,1.16,,,,,,,,,,,0.73,1.43,,,,1.73,,1.56,21.16,5.01,0.83,,3.15,,,,1.96,,9.25,,0.93,1.46,2.32,,1.23,,,,,0.86,2.95,,,3.22,,,,,,,1.03,,6.27,,,0.83,,0.73,,0.8,,,,,2.92,,2.12,,1.76,,1.92,,,,,,,,,,,6.9,,1.09,,,,1.09,1.56,,,43.64,,2.16,,,2.79,,,1.09,1.16,0.96,1.49,,,,,,,,0.83,1.03,,,,,0.76,,,0.76,,,1.43,,,,,,,,,,,,,,,,,,,2.75,1.29,,,,,,,1.59,,0.8,,1.56,4.21,6.83,1.13,1.92,0.73,,3.12,0.8,1.56,,,,,,1.06,,2.25,,,,8.03,,1.03,,0.99,,,,,,,,,1.46,0.86,1.49,,,,3.32,,1.53,,,1.66,4.18,,,,4.01,,,,,,1.39,,,2.25,0.99,,,3.71,,4.34,,,,
GB,United Kingdom,Falkirk,GB-FAL,,,ChIJw-xIZyJ6iEgRM9AQrv2dHr0,2021-01-10,3.27,6.17,8.92,,,,,4.43,,9.09,,,,,,1.88,0.94,,,,8.47,,,,,5.3,,1.13,,2.3,,,,3.49,,1.03,,7.73,,,,,,,4.14,,,3.46,,,,1.1,3.69,,,,,0.97,,,1.78,,,1.84,,,2.88,1.1,,0.91,,,,,2.1,,,,,,,,,,7.92,1.07,,,,1.39,4.66,,5.04,,3.78,,,,1.65,,2.3,,,5.72,4.11,,,6.82,,3.78,2.59,0.71,,,1.36,,,,,,1.03,,1.1,,,,1.36,,2.13,,,,,,,,,,6.82,,,3.72,,,1.03,3.3,,,,,0.74,,4.56,,1.07,,,,,,,0.74,,,,5.33,,0.84,5.4,1.26,,2.26,,,,,,2.1,,,,,1.65,1.07,1.07,,,,,,,,,,,,4.75,,,,,,,,,,,,,1.42,0.94,,,,1.49,,1.42,20.79,5.21,1.16,,3.69,,,,1.68,,9.44,,0.74,1.33,1.52,,0.68,,,,,1.1,4.49,,,2.78,,,,,,,1.07,,4.69,,,0.81,,1.29,,,,,,,2.23,,1.52,,1.75,,1.55,,,,,,,,,,,7.57,,1.0,,,,0.87,1.03,,1.42,43.32,,1.65,,,2.88,,,0.87,1.0,0.84,1.75,,0.78,,,,,,0.68,1.46,,,,,0.94,,,,,,1.16,,,,,,,,,,,,,,,,,,,2.36,1.94,,,,,,,1.91,,0.87,,1.65,4.88,6.82,0.84,1.88,0.81,,3.36,1.36,1.33,,,,,,1.16,,2.23,,,,7.89,,1.26,,,,,,,,,,,1.46,,1.07,,,,4.17,,1.13,,,1.58,4.17,,0.97,1.46,2.65,,,,,,1.39,,,2.52,1.29,,,4.4,,5.95,,,,
