,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Aberdeen City,GB-ABE,,,ChIJs6qVe2kRhEgRkLBCBhpoDAM,2021-01-01,,,2.03,,4.64,3.97,6.64,3.88,5.97,4.49,1.83,3.3,1.13,0.75,2.0,4.4,44
1,GB,United Kingdom,Aberdeen City,GB-ABE,,,ChIJs6qVe2kRhEgRkLBCBhpoDAM,2021-01-02,,,1.99,,4.79,4.02,6.5,3.94,5.22,4.81,2.04,2.56,,1.06,1.63,3.73,97
2,GB,United Kingdom,Aberdeen City,GB-ABE,,,ChIJs6qVe2kRhEgRkLBCBhpoDAM,2021-01-03,,,2.59,,5.52,4.09,6.76,4.45,5.31,4.47,1.75,1.94,0.89,1.21,1.83,2.48,78
3,GB,United Kingdom,Aberdeen City,GB-ABE,,,ChIJs6qVe2kRhEgRkLBCBhpoDAM,2021-01-04,,,2.22,,4.64,3.76,6.36,4.24,5.25,4.92,1.11,1.89,0.78,1.14,1.92,3.05,127
4,GB,United Kingdom,Aberdeen City,GB-ABE,,,ChIJs6qVe2kRhEgRkLBCBhpoDAM,2021-01-05,,,2.11,,4.32,4.12,6.95,4.49,4.49,4.42,1.31,2.04,0.74,1.04,1.76,2.31,137
5,GB,United Kingdom,Aberdeen City,GB-ABE,,,ChIJs6qVe2kRhEgRkLBCBhpoDAM,2021-01-06,,,2.5,,4.15,4.45,5.53,4.5,5.58,4.84,1.58,2.3,1.09,1.31,1.43,2.72,87
6,GB,United Kingdom,Aberdeen City,GB-ABE,,,ChIJs6qVe2kRhEgRkLBCBhpoDAM,2021-01-07,,,2.14,,4.58,3.64,6.3,3.76,5.17,5.04,1.72,1.75,0.74,1.23,1.7,2.31,96
7,GB,United Kingdom,Aberdeen City,GB-ABE,,,ChIJs6qVe2kRhEgRkLBCBhpoDAM,2021-01-08,,,2.13,,3.86,3.89,5.42,4.11,4.66,4.66,1.0,1.43,1.1,0.75,1.8,2.41,67
8,GB,United Kingdom,Aberdeen City,GB-ABE,,,ChIJs6qVe2kRhEgRkLBCBhpoDAM,2021-01-09,,,2.48,,4.96,3.55,6.35,4.46,5.53,5.04,1.74,1.95,1.23,1.01,1.66,2.0,58
9,GB,United Kingdom,Aberdeen City,GB-ABE,,,ChIJs6qVe2kRhEgRkLBCBhpoDAM,2021-01-10,,,1.65,,4.24,3.95,7.09,4.16,5.78,5.65,1.54,2.15,0.79,1.41,1.39,2.72,54
10,GB,United Kingdom,Aberdeen City,GB-ABE,,,ChIJs6qVe2kRhEgRkLBCBhpoDAM,2021-01-11,,,2.01,,3.75,4.86,6.62,4.09,4.97,4.97,1.31,1.49,0.84,1.06,1.56,2.82,100
11,GB,United Kingdom,Aberdeen City,GB-ABE,,,ChIJs6qVe2kRhEgRkLBCBhpoDAM,2021-01-12,,,1.86,,3.84,4.14,6.82,4.16,4.96,4.58,1.47,1.95,1.02,0.56,1.02,2.56,116
12,GB,United Kingdom,Aberdeen City,GB-ABE,,,ChIJs6qVe2kRhEgRkLBCBhpoDAM,2021-01-13,,,1.91,,4.17,3.85,6.43,3.97,5.17,4.33,1.57,2.26,1.04,0.9,1.34,2.61,73
13,GB,United Kingdom,Aberdeen City,GB-ABE,,,ChIJs6qVe2kRhEgRkLBCBhpoDAM,2021-01-14,,,1.91,,4.38,3.96,6.62,4.63,5.01,5.05,1.35,1.98,0.84,0.89,1.68,2.84,85
14,GB,United Kingdom,Aberdeen City,GB-ABE,,,ChIJs6qVe2kRhEgRkLBCBhpoDAM,2021-01-15,,,1.57,,4.44,3.7,5.72,4.29,4.79,5.32,1.57,1.62,1.1,1.1,1.55,2.53,68
15,GB,United Kingdom,Aberdeen City,GB-ABE,,,ChIJs6qVe2kRhEgRkLBCBhpoDAM,2021-01-16,,,1.33,,3.93,4.09,6.45,4.22,5.47,5.5,1.27,2.07,,1.09,1.73,2.81,44
16,GB,United Kingdom,Aberdeen City,GB-ABE,,,ChIJs6qVe2kRhEgRkLBCBhpoDAM,2021-01-17,,,1.97,,3.81,4.12,6.88,3.68,4.97,5.62,1.76,1.68,0.74,1.0,1.73,2.6,42
17,GB,United Kingdom,Aberdeen City,GB-ABE,,,ChIJs6qVe2kRhEgRkLBCBhpoDAM,2021-01-18,,,2.23,,4.43,4.15,6.84,3.57,4.66,4.75,1.25,2.13,1.41,1.44,1.04,2.71,58
18,GB,United Kingdom,Aberdeen City,GB-ABE,,,ChIJs6qVe2kRhEgRkLBCBhpoDAM,2021-01-19,,,1.31,,4.73,4.47,6.64,4.61,5.0,5.03,1.27,2.03,0.97,1.31,1.5,3.37,67
19,GB,United Kingdom,Aberdeen City,GB-ABE,,,ChIJs6qVe2kRhEgRkLBCBhpoDAM,2021-01-20,,,1.96,,3.67,4.55,6.3,3.88,5.13,4.78,1.66,1.99,0.62,1.39,1.89,2.42,36
20,GB,United Kingdom,Aberdeen City,GB-ABE,,,ChIJs6qVe2kRhEgRkLBCBhpoDAM,2021-01-21,,,2.06,,3.54,4.41,6.95,4.0,5.16,5.21,0.87,2.03,1.14,1.17,1.49,2.47,60
21,GB,United Kingdom,Aberdeen City,GB-ABE,,,ChIJs6qVe2kRhEgRkLBCBhpoDAM,2021-01-22,,,2.38,,3.71,3.95,6.49,4.52,4.71,4.37,1.09,1.71,0.78,1.19,1.54,2.62,44
