,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-01,,,2.46,,5.29,4.42,6.56,4.17,6.52,4.71,2.61,2.97,,0.91,1.7,4.02,38
1,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-02,,,2.4,,5.58,4.4,7.08,4.04,5.22,4.72,2.15,2.54,1.0,1.07,2.18,2.93,91
2,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-03,,,2.56,,4.45,4.02,7.65,3.84,5.41,4.2,1.74,2.67,1.14,1.03,1.64,3.02,99
3,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-04,,,2.33,,4.29,4.25,5.57,4.96,4.96,4.79,1.76,2.8,1.11,1.01,1.62,3.07,100
4,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-05,,,2.55,,4.52,4.72,7.2,5.19,5.13,5.09,1.98,2.28,1.24,1.11,2.11,3.12,64
5,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-06,,,1.9,,3.73,4.48,6.58,4.41,5.73,6.0,1.12,2.85,0.81,0.88,1.63,3.19,76
6,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-07,,,1.96,,4.18,3.74,7.48,4.38,5.53,5.6,1.89,2.06,0.88,,1.52,2.19,58
7,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-08,,,2.21,,5.21,3.99,6.0,4.46,4.97,4.5,1.74,1.94,1.06,1.09,1.57,3.17,70
8,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-09,,,2.48,,4.71,4.85,6.15,4.24,5.75,5.54,1.47,2.41,1.19,,1.76,2.73,49
9,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-10,,,2.31,,4.42,5.33,7.79,4.28,5.44,5.26,1.82,2.81,1.05,,1.51,3.79,35
10,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-11,,,1.9,,5.07,5.04,6.78,4.32,4.98,4.98,1.51,2.46,1.24,1.57,2.39,3.9,55
11,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-12,,,2.63,,3.95,4.29,7.83,3.04,5.7,5.7,1.86,2.7,0.84,1.69,1.75,2.9,52
12,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-13,,,2.04,,3.89,3.96,6.83,4.95,5.41,5.41,1.91,2.14,,1.35,1.91,2.31,53
13,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-14,,,2.19,,3.97,4.91,6.93,5.21,5.41,5.45,1.04,2.25,1.04,,1.11,2.52,50
14,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-15,,,2.37,,4.54,3.86,6.47,4.44,4.54,4.57,1.19,1.86,1.19,1.05,1.02,2.57,34
15,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-16,,,2.52,,4.76,4.18,6.7,3.75,5.87,5.51,1.8,2.77,0.9,1.3,1.98,2.52,34
16,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-17,,,2.04,,4.54,3.84,8.1,3.69,6.16,6.86,,2.57,,2.22,1.37,2.67,35
17,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-18,,,2.43,,4.46,4.13,7.92,4.19,5.89,5.79,1.47,2.26,1.56,1.0,1.53,3.03,49
18,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-19,,,1.98,,4.35,4.81,7.25,4.29,5.93,5.7,0.99,2.6,0.99,0.96,1.52,2.87,50
19,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-20,,,1.51,,3.77,5.01,7.87,3.53,5.32,4.95,1.25,2.32,0.77,0.74,1.35,2.25,49
20,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-21,,,2.4,,4.13,4.71,7.04,3.79,5.55,5.65,1.15,2.57,1.22,,1.52,2.84,30
21,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-22,,,2.07,,3.66,4.62,6.69,4.14,6.04,5.45,1.1,2.42,0.79,,1.62,3.24,18
22,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-23,,,2.03,,4.61,4.36,6.03,4.9,5.55,5.26,2.11,2.36,0.8,1.31,1.6,2.21,11
23,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-24,,,2.12,,3.63,4.09,6.86,3.2,5.46,4.96,1.51,2.41,,1.4,1.4,3.2,24
24,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-25,,,2.61,,4.45,5.75,7.72,4.51,4.65,6.32,1.87,2.04,1.17,1.34,1.6,3.21,31
25,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-26,,,1.96,,3.72,5.05,6.61,4.58,5.31,5.21,1.56,2.02,1.23,1.33,1.76,2.79,45
26,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-27,,,1.28,,4.2,3.8,6.62,3.93,4.84,5.61,1.61,2.38,1.04,0.97,1.41,2.28,32
27,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-28,,,2.43,,4.54,3.81,7.62,3.29,6.38,6.54,1.15,2.0,0.92,1.12,0.99,2.83,29
28,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-29,,,2.27,,3.72,3.82,6.59,4.33,5.48,6.32,0.95,2.2,1.01,0.95,1.11,2.87,29
29,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-30,,,1.66,,3.61,3.79,6.17,4.0,4.47,4.33,1.7,2.17,0.79,1.3,1.26,2.67,21
30,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-01-31,,,2.43,,3.98,4.09,7.33,3.35,5.89,4.65,1.27,1.8,1.73,1.06,1.09,2.33,25
31,GB,United Kingdom,Ards and North Down,GB-AND,,,ChIJZUDzJ452YUgRrifX_btxxMY,2021-02-01,,,2.06,,3.73,4.79,7.59,3.23,5.73,6.06,1.17,2.7,1.93,1.03,2.06,3.7,23
