,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Bedford,GB-BDF,,,ChIJpQ1uuWG3d0gREKjDu6gcDgM,2021-01-01,,,1.94,,6.15,4.21,6.21,5.35,6.06,4.92,2.21,2.55,1.26,1.17,1.91,3.66,129
1,GB,United Kingdom,Bedford,GB-BDF,,,ChIJpQ1uuWG3d0gREKjDu6gcDgM,2021-01-02,,,1.84,,5.94,4.22,6.06,5.28,6.0,5.82,2.08,2.29,0.99,1.72,2.2,2.98,226
2,GB,United Kingdom,Bedford,GB-BDF,,,ChIJpQ1uuWG3d0gREKjDu6gcDgM,2021-01-03,,,2.43,,6.13,4.71,8.32,6.45,5.45,4.74,1.45,2.63,1.24,1.09,1.72,3.31,235
3,GB,United Kingdom,Bedford,GB-BDF,,,ChIJpQ1uuWG3d0gREKjDu6gcDgM,2021-01-04,,,1.82,,5.96,3.92,6.09,5.66,5.09,4.52,1.2,2.42,1.11,1.33,1.47,2.39,319
4,GB,United Kingdom,Bedford,GB-BDF,,,ChIJpQ1uuWG3d0gREKjDu6gcDgM,2021-01-05,,,1.96,,5.56,3.76,7.52,5.28,5.37,4.79,1.44,2.1,1.55,1.17,2.02,2.51,252
5,GB,United Kingdom,Bedford,GB-BDF,,,ChIJpQ1uuWG3d0gREKjDu6gcDgM,2021-01-06,,,1.91,,5.29,4.06,6.9,6.22,5.04,4.99,1.53,2.1,1.31,1.55,2.02,2.75,213
6,GB,United Kingdom,Bedford,GB-BDF,,,ChIJpQ1uuWG3d0gREKjDu6gcDgM,2021-01-07,,,1.92,,6.19,4.35,5.91,5.97,5.61,4.63,1.42,2.41,1.51,0.74,1.78,2.88,209
7,GB,United Kingdom,Bedford,GB-BDF,,,ChIJpQ1uuWG3d0gREKjDu6gcDgM,2021-01-08,,,1.92,,4.75,4.48,6.46,4.86,4.89,5.22,1.57,2.0,1.21,0.91,1.7,2.64,196
8,GB,United Kingdom,Bedford,GB-BDF,,,ChIJpQ1uuWG3d0gREKjDu6gcDgM,2021-01-09,,,2.05,,6.25,3.87,6.13,4.49,5.12,4.17,1.81,1.75,1.4,0.95,2.38,2.62,148
9,GB,United Kingdom,Bedford,GB-BDF,,,ChIJpQ1uuWG3d0gREKjDu6gcDgM,2021-01-10,,,2.63,,5.46,4.99,7.04,4.75,5.25,5.11,1.58,2.18,1.19,1.19,1.67,2.57,125
10,GB,United Kingdom,Bedford,GB-BDF,,,ChIJpQ1uuWG3d0gREKjDu6gcDgM,2021-01-11,,,2.47,,5.67,4.19,7.5,5.78,4.49,4.33,1.88,2.12,1.24,1.32,1.56,2.85,216
11,GB,United Kingdom,Bedford,GB-BDF,,,ChIJpQ1uuWG3d0gREKjDu6gcDgM,2021-01-12,,,2.02,,5.17,4.02,6.9,5.12,5.23,5.14,1.07,2.19,1.42,1.78,1.72,2.82,203
12,GB,United Kingdom,Bedford,GB-BDF,,,ChIJpQ1uuWG3d0gREKjDu6gcDgM,2021-01-13,,,1.76,,5.54,4.11,7.35,5.38,4.73,4.46,1.43,1.92,1.51,0.95,1.65,2.97,170
13,GB,United Kingdom,Bedford,GB-BDF,,,ChIJpQ1uuWG3d0gREKjDu6gcDgM,2021-01-14,,,2.35,,5.28,5.12,6.76,5.07,5.42,5.2,1.54,2.24,1.21,1.13,1.43,3.26,164
14,GB,United Kingdom,Bedford,GB-BDF,,,ChIJpQ1uuWG3d0gREKjDu6gcDgM,2021-01-15,,,2.22,,5.5,4.25,6.34,5.31,4.59,4.62,1.36,2.03,1.17,1.22,1.7,2.81,183
15,GB,United Kingdom,Bedford,GB-BDF,,,ChIJpQ1uuWG3d0gREKjDu6gcDgM,2021-01-16,,,2.87,,4.63,4.07,6.31,4.61,4.81,5.74,1.68,2.06,1.11,1.05,1.79,2.87,147
16,GB,United Kingdom,Bedford,GB-BDF,,,ChIJpQ1uuWG3d0gREKjDu6gcDgM,2021-01-17,,,2.12,,5.95,4.09,6.22,4.81,5.02,5.5,1.64,2.45,1.41,1.23,2.09,2.81,103
17,GB,United Kingdom,Bedford,GB-BDF,,,ChIJpQ1uuWG3d0gREKjDu6gcDgM,2021-01-18,,,2.09,,5.51,4.51,6.76,5.3,5.05,5.08,1.49,2.06,1.66,1.3,1.44,2.5,194
18,GB,United Kingdom,Bedford,GB-BDF,,,ChIJpQ1uuWG3d0gREKjDu6gcDgM,2021-01-19,,,2.09,,5.17,4.13,6.91,5.25,5.09,4.81,1.71,2.31,1.2,1.33,1.82,3.24,146
19,GB,United Kingdom,Bedford,GB-BDF,,,ChIJpQ1uuWG3d0gREKjDu6gcDgM,2021-01-20,,,2.27,,4.89,4.11,6.89,5.22,5.19,5.03,1.43,1.92,1.24,1.35,1.78,2.87,141
20,GB,United Kingdom,Bedford,GB-BDF,,,ChIJpQ1uuWG3d0gREKjDu6gcDgM,2021-01-21,,,1.45,,5.02,5.08,6.53,4.55,4.53,4.2,1.43,1.81,1.04,1.1,1.78,2.69,96
21,GB,United Kingdom,Bedford,GB-BDF,,,ChIJpQ1uuWG3d0gREKjDu6gcDgM,2021-01-22,,,2.06,,4.5,5.2,6.11,4.95,4.78,4.81,0.93,2.18,1.53,1.02,2.29,3.22,126
22,GB,United Kingdom,Bedford,GB-BDF,,,ChIJpQ1uuWG3d0gREKjDu6gcDgM,2021-01-23,,,2.2,,5.08,3.73,5.69,5.18,5.05,5.18,1.17,1.05,1.02,1.53,2.53,2.65,97
23,GB,United Kingdom,Bedford,GB-BDF,,,ChIJpQ1uuWG3d0gREKjDu6gcDgM,2021-01-24,,,1.75,,4.49,4.4,7.17,4.21,5.43,4.74,1.34,2.46,1.37,1.0,1.47,3.15,44
24,GB,United Kingdom,Bedford,GB-BDF,,,ChIJpQ1uuWG3d0gREKjDu6gcDgM,2021-01-25,,,2.37,,5.05,4.0,5.76,4.52,4.94,5.27,1.32,1.85,0.99,1.1,2.23,2.9,126
