,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-01,,,2.43,,4.67,3.06,6.38,2.88,6.92,3.51,2.25,2.52,,,2.43,2.61,33
1,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-02,,,,,3.05,5.23,6.63,3.92,6.02,4.53,1.83,2.35,,,,2.79,59
2,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-03,,,2.27,,4.97,4.18,6.54,2.96,4.88,4.71,2.0,,,,,2.0,47
3,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-04,,,2.61,,5.38,3.45,7.24,4.29,4.71,3.79,,2.19,,,1.77,2.69,74
4,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-05,,,2.58,,6.12,4.74,6.98,3.88,4.74,4.57,,2.67,,,2.41,2.24,43
5,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-06,,,2.39,,3.96,1.81,7.67,3.38,4.95,5.2,,2.31,,,2.06,1.98,30
6,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-07,,,,,3.47,4.21,7.02,2.81,4.05,5.12,,2.15,,,,2.31,30
7,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-08,,,,,3.81,4.64,6.46,3.89,3.89,4.22,,2.57,,,,,20
8,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-09,,,,,4.49,4.05,6.78,2.2,6.25,7.39,,,,,,2.82,11
9,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-10,,,2.87,,2.87,3.65,9.21,3.21,5.64,4.25,2.26,2.08,,,,2.17,19
10,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-11,,,2.68,,5.04,4.47,7.73,4.15,5.37,5.21,,1.79,,,2.03,2.85,30
11,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-12,,,2.11,,3.98,3.49,6.25,3.81,5.27,5.68,,2.68,,,2.03,2.68,21
12,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-13,,,2.81,,4.58,3.94,7.96,4.66,5.39,5.07,,2.09,,,,2.65,21
13,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-14,,,1.96,,2.12,3.59,7.1,5.55,4.98,4.73,,1.88,,,,3.51,15
14,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-15,,,2.4,,4.21,3.63,6.69,2.73,4.54,3.63,,1.82,,,2.31,3.55,8
15,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-16,,,1.81,,2.85,4.14,8.63,2.16,4.57,3.37,,2.33,,,,3.19,10
16,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-17,,,2.57,,4.71,4.11,8.05,3.43,6.43,4.63,,3.08,,,,2.23,9
17,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-18,,,2.17,,2.98,3.86,6.36,4.91,5.39,4.43,,2.41,,,,2.33,22
18,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-19,,,2.92,,4.06,3.65,7.15,2.84,4.39,4.06,,2.27,,,,1.95,27
19,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-20,,,2.35,,3.24,4.05,7.94,3.24,4.13,4.37,,2.67,,,1.7,3.08,13
20,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-21,,,1.91,,3.31,4.14,5.97,3.15,4.06,4.14,,1.99,,,,2.65,15
21,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-22,,,2.2,,5.0,3.98,6.1,3.56,5.51,6.19,,2.12,,,,2.54,8
22,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-23,,,,,3.56,4.08,6.07,6.16,4.51,5.2,,,,,,3.29,9
23,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-24,,,,,3.33,3.94,6.31,3.5,6.05,5.17,,,,,,2.45,6
24,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-25,,,1.92,,3.42,4.66,6.66,3.25,6.0,6.33,,1.92,,,,,14
25,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-26,,,4.19,,3.94,4.6,7.07,3.7,4.11,4.76,,,,,,,19
26,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-27,,,3.3,,4.53,4.86,7.17,3.13,4.62,5.11,,1.73,,,,3.05,15
27,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-28,,,1.97,,3.36,4.92,6.81,3.61,5.5,5.66,,2.87,,,2.3,3.28,14
28,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-29,,,,,4.79,4.29,6.11,3.05,5.7,5.04,,2.06,,,,1.73,9
29,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-30,,,2.73,,4.09,3.92,3.75,2.81,5.45,4.94,2.21,1.96,,,,1.96,6
30,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-01-31,,,2.53,,3.21,3.71,6.16,4.22,4.47,5.49,,,,,,3.04,6
31,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-02-01,,,,,2.56,4.3,7.69,2.81,6.29,4.22,,2.15,,,2.07,1.74,16
32,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-02-02,,,2.54,,3.69,3.53,7.63,3.61,5.66,4.43,,2.87,,,1.97,2.87,11
33,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-02-03,,,3.32,,4.32,4.57,6.56,2.49,6.32,5.82,,,,,,2.16,7
34,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-02-04,,,2.06,,3.21,3.37,6.91,3.21,6.66,6.0,,1.89,,,,2.47,9
35,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-02-05,,,3.4,,4.25,3.57,8.33,2.89,2.98,4.0,,2.81,,,,1.96,5
36,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-02-06,,,2.49,,3.61,3.35,6.53,,5.33,5.42,,,,,,,12
37,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-02-07,,,2.03,,2.03,4.15,6.53,2.82,6.09,4.24,2.12,2.12,,,,3.0,10
38,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-02-08,,,1.91,,2.58,4.32,7.15,2.74,3.99,3.49,,2.74,,,,2.49,12
39,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-02-09,,,2.89,,3.83,3.57,7.31,3.32,5.27,4.85,,,,,,2.3,10
40,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-02-10,,,2.64,,4.42,4.25,6.55,3.49,5.02,4.59,,2.21,,,,2.38,8
41,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-02-11,,,,,3.83,2.56,7.92,2.04,2.47,4.09,,,,,2.38,3.07,6
42,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-02-12,,,,,3.61,5.29,6.17,3.88,3.79,4.41,,,,,,2.12,6
43,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-02-13,,,,,3.33,4.77,6.3,2.61,5.4,4.59,,3.51,,,,2.7,3
44,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-02-14,,,2.32,,4.01,3.3,6.15,5.0,6.33,5.08,,2.23,,,,3.21,1
45,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-02-15,,,2.85,,3.74,5.17,8.02,3.21,4.63,5.26,,2.23,,,,3.56,5
46,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-02-16,,,4.02,,4.11,4.54,8.13,4.2,6.38,7.17,,2.54,,,,4.37,9
47,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-02-17,,,2.0,,3.47,4.94,7.63,3.04,5.72,5.38,,2.17,,,,3.56,12
48,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-02-18,,,2.3,,3.0,4.51,8.84,3.27,6.18,6.1,,,,,,3.36,2
49,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-02-19,,,1.9,,2.93,3.62,7.5,2.15,4.74,5.6,,2.59,,,,3.36,2
50,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-02-20,,,,,2.26,3.57,6.26,,5.31,5.31,,2.26,,,,2.09,4
51,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-02-21,,,1.92,,3.4,4.89,6.63,2.62,4.19,5.67,,2.01,,,,3.31,3
52,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-02-22,,,,,3.28,4.05,6.73,3.54,5.26,3.97,,2.67,,,,2.59,6
53,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-02-23,,,2.55,,2.98,4.68,8.93,3.48,4.25,4.25,,3.06,,,2.38,2.55,5
54,GB,United Kingdom,Blaenau Gwent,GB-BGW,,,ChIJaas2DhEmbkgRIbLKMOJN2wQ,2021-02-24,,,,,3.17,2.75,7.58,1.83,4.83,6.33,2.0,,,,1.75,2.42,8
