,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-01,,,2.27,,4.26,3.94,5.86,3.14,5.5,4.93,1.34,1.98,0.9,0.99,1.98,3.1,66
1,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-02,,,1.85,,4.34,4.53,6.4,4.28,5.26,4.96,1.35,1.54,0.71,1.42,1.78,2.15,89
2,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-03,,,2.31,,4.9,3.68,6.8,3.65,5.78,5.24,1.84,2.28,1.25,1.22,1.41,2.12,72
3,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-04,,,2.29,,4.93,4.13,6.66,4.55,4.4,4.43,1.57,2.11,1.25,1.16,1.34,2.73,104
4,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-05,,,2.1,,4.16,4.13,7.36,3.92,4.44,3.98,1.31,2.01,1.34,1.09,1.37,2.61,122
5,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-06,,,2.5,,4.02,4.17,6.38,4.59,4.17,3.99,1.43,2.12,1.37,1.31,1.31,2.29,62
6,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-07,,,1.98,,3.84,3.84,6.11,4.28,4.11,4.34,1.25,2.15,0.7,1.02,1.75,2.04,83
7,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-08,,,2.01,,3.87,3.81,6.31,3.99,4.25,4.63,0.76,1.6,0.67,1.54,1.8,1.86,90
8,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-09,,,1.85,,3.93,3.93,6.19,3.96,5.03,4.78,1.6,2.17,1.35,1.0,1.48,1.89,53
9,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-10,,,2.15,,3.77,3.89,7.39,4.05,4.32,4.51,1.59,1.5,0.64,0.95,1.35,2.36,69
10,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-11,,,1.9,,4.39,3.94,6.6,4.22,4.87,4.82,1.1,1.87,0.91,1.02,1.87,2.44,78
11,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-12,,,2.13,,3.45,4.06,6.47,4.69,4.58,4.75,1.18,1.99,1.04,1.06,1.01,2.88,136
12,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-13,,,2.37,,3.89,4.35,6.55,4.03,5.15,5.29,1.49,2.09,1.46,0.74,1.43,2.2,70
13,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-14,,,2.28,,3.26,3.55,7.44,4.24,4.73,4.15,1.24,1.64,,1.33,1.44,2.48,79
14,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-15,,,2.35,,3.87,3.19,6.25,3.51,4.08,4.08,1.16,1.79,0.86,1.13,1.46,1.94,55
15,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-16,,,2.02,,3.54,3.25,6.19,3.19,5.05,4.8,0.88,2.08,0.66,1.67,1.52,2.43,40
16,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-17,,,2.24,,3.46,3.9,7.29,3.27,4.67,5.36,1.03,2.12,0.75,1.06,1.34,2.49,37
17,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-18,,,2.01,,4.08,3.76,6.78,4.45,4.71,4.42,1.03,2.79,0.66,1.49,1.38,2.93,69
18,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-19,,,1.58,,3.73,4.53,7.0,3.93,5.22,4.59,0.97,1.69,0.72,0.86,1.35,2.41,71
19,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-20,,,1.76,,3.12,4.8,7.21,3.35,4.46,4.4,1.05,2.42,0.71,1.02,0.71,2.64,74
20,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-21,,,1.53,,3.89,3.89,6.74,4.13,4.28,4.85,0.96,1.92,0.9,1.35,1.23,2.1,54
21,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-22,,,2.27,,2.84,3.35,5.62,4.43,4.91,5.29,1.23,1.91,0.9,0.93,1.52,2.87,44
22,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-23,,,1.79,,3.46,3.31,6.2,3.62,4.82,4.75,0.94,2.42,0.85,1.17,1.29,2.71,25
23,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-24,,,2.54,,3.91,3.63,4.8,4.1,4.55,3.75,1.18,1.81,1.4,0.92,1.69,1.91,16
24,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-25,,,2.17,,3.62,3.82,5.32,4.12,4.17,5.0,1.29,1.29,0.62,1.65,1.24,2.23,43
25,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-26,,,1.46,,3.5,3.9,7.54,4.08,5.68,5.21,1.57,1.54,0.79,0.79,1.86,2.3,57
26,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-27,,,2.23,,3.99,4.19,7.08,3.53,4.71,4.08,1.04,1.68,0.78,1.04,1.16,1.94,50
27,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-28,,,1.51,,2.74,3.61,7.02,4.87,4.92,4.34,0.93,2.19,0.93,1.02,1.37,3.0,36
28,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-29,,,2.1,,3.63,4.1,6.25,3.84,4.63,3.95,0.86,1.33,0.94,1.0,1.65,2.21,45
29,GB,United Kingdom,Carmarthenshire,GB-CMN,,,ChIJgzFDhgnVaEgRpXZPqENoWyQ,2021-01-30,,,1.47,,3.57,3.04,5.89,3.89,4.76,4.39,0.88,1.88,1.19,1.1,1.22,2.26,33
