,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Causeway Coast and Glens,GB-CCG,,,ChIJry1VbDM6YEgRpC9fY13q-mI,2021-01-01,,,3.67,,5.57,4.45,6.78,4.36,5.92,5.14,2.59,2.85,1.17,,2.03,3.63,62
1,GB,United Kingdom,Causeway Coast and Glens,GB-CCG,,,ChIJry1VbDM6YEgRpC9fY13q-mI,2021-01-02,,,2.91,,4.68,3.88,6.58,3.92,4.39,4.72,1.77,2.45,0.97,1.43,1.18,2.7,116
2,GB,United Kingdom,Causeway Coast and Glens,GB-CCG,,,ChIJry1VbDM6YEgRpC9fY13q-mI,2021-01-03,,,1.96,,5.91,5.23,7.9,3.99,5.4,4.84,2.34,2.42,,,1.66,2.17,119
3,GB,United Kingdom,Causeway Coast and Glens,GB-CCG,,,ChIJry1VbDM6YEgRpC9fY13q-mI,2021-01-04,,,2.41,,5.39,3.35,6.9,4.37,4.94,4.74,1.51,2.86,1.18,1.22,1.55,2.53,99
4,GB,United Kingdom,Causeway Coast and Glens,GB-CCG,,,ChIJry1VbDM6YEgRpC9fY13q-mI,2021-01-05,,,2.12,,4.9,3.55,7.55,4.78,5.59,4.94,1.88,2.0,1.18,1.27,1.31,2.37,79
5,GB,United Kingdom,Causeway Coast and Glens,GB-CCG,,,ChIJry1VbDM6YEgRpC9fY13q-mI,2021-01-06,,,2.17,,5.15,2.94,6.37,4.58,4.98,4.13,1.76,1.76,1.14,1.23,1.8,3.02,88
6,GB,United Kingdom,Causeway Coast and Glens,GB-CCG,,,ChIJry1VbDM6YEgRpC9fY13q-mI,2021-01-07,,,1.66,,5.17,4.4,6.62,3.47,4.97,5.13,1.45,1.9,,1.29,2.06,2.58,77
7,GB,United Kingdom,Causeway Coast and Glens,GB-CCG,,,ChIJry1VbDM6YEgRpC9fY13q-mI,2021-01-08,,,2.58,,4.46,1.93,5.86,4.34,4.63,3.85,1.06,1.93,1.39,1.31,1.68,2.79,66
8,GB,United Kingdom,Causeway Coast and Glens,GB-CCG,,,ChIJry1VbDM6YEgRpC9fY13q-mI,2021-01-09,,,2.44,,4.01,4.84,6.1,3.79,5.88,5.01,2.22,2.27,0.96,,,2.79,45
9,GB,United Kingdom,Causeway Coast and Glens,GB-CCG,,,ChIJry1VbDM6YEgRpC9fY13q-mI,2021-01-10,,,2.27,,4.24,3.95,7.4,4.96,5.88,5.42,1.51,2.19,,,1.39,2.23,39
