,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-01,,,,,5.03,4.48,6.03,3.84,4.57,3.75,,,,,2.29,2.29,7
1,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-02,,,3.25,,3.78,4.92,5.71,2.73,3.69,4.75,,2.55,,,2.37,2.29,12
2,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-03,,,,,4.86,3.36,6.19,3.45,5.3,4.33,,,,,1.94,,22
3,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-04,,,2.41,,4.15,3.57,6.47,4.48,4.56,3.98,1.99,1.99,,,,2.16,30
4,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-05,,,,,4.38,3.12,4.21,4.72,5.14,5.31,,,,,,1.94,14
5,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-06,,,2.74,,3.73,3.98,5.89,5.47,3.81,3.4,,2.16,,,1.99,2.32,14
6,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-07,,,2.01,,3.29,5.22,7.46,3.21,6.02,4.58,,,,,,1.69,16
7,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-08,,,2.44,,3.42,3.01,5.12,2.11,3.9,3.42,,2.03,,,2.28,2.52,22
8,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-09,,,,,3.69,3.69,4.13,3.52,4.75,3.6,,,,,2.64,2.11,9
9,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-10,,,2.58,,2.41,3.96,6.8,2.58,5.59,3.61,,1.89,,,1.98,2.24,9
10,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-11,,,2.03,,4.45,4.76,7.11,4.22,5.0,4.68,,2.19,,,1.87,2.58,23
11,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-12,,,1.68,,3.59,4.79,6.31,4.87,3.43,3.19,,,,,,3.27,13
12,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-13,,,,,3.67,4.23,7.1,4.31,4.31,3.83,,,,,,2.08,24
13,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-14,,,,,4.22,4.14,6.86,4.14,3.03,5.18,,,,,1.91,3.51,18
14,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-15,,,,,4.19,3.78,6.33,3.78,4.44,3.94,,,,,1.89,2.96,19
15,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-16,,,,,4.97,4.27,6.02,5.06,4.8,4.97,,,,,2.7,2.44,7
16,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-17,,,1.84,,3.59,4.03,6.57,3.42,5.25,3.85,,2.28,,,1.84,1.84,6
17,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-18,,,1.74,,5.06,5.14,6.24,5.37,3.95,5.69,,1.82,,,1.66,,28
18,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-19,,,1.83,,4.53,2.78,6.28,4.85,4.29,4.69,,2.23,,,,2.78,11
19,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-20,,,2.72,,4.05,4.12,6.61,4.43,3.66,4.43,,1.71,,,,2.33,5
20,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-21,,,1.78,,3.33,3.73,6.57,3.97,5.35,4.7,1.7,1.87,,,2.35,3.24,3
21,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-22,,,2.32,,3.48,3.56,6.13,5.64,5.39,4.89,,2.24,,,,2.82,3
22,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-23,,,,,3.45,3.63,3.81,3.63,5.84,5.58,,2.21,,,,2.48,1
23,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-24,,,2.7,,4.09,2.61,6.71,3.75,4.27,4.01,,,,,,1.92,5
24,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-25,,,1.8,,,3.44,5.64,3.03,4.17,4.83,,3.93,,,,2.62,7
25,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-26,,,,,4.13,3.08,5.67,3.56,4.54,4.94,,2.67,,,3.4,3.0,4
26,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-27,,,2.24,,4.47,3.04,5.99,4.24,3.6,4.63,,,,,,2.16,3
27,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-28,,,2.36,,3.3,3.06,6.13,2.83,3.3,3.14,,2.44,,,,3.38,3
28,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-29,,,1.85,,3.45,3.61,4.81,2.49,4.33,3.85,,1.93,,,,1.93,5
29,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-30,,,,,2.68,3.28,5.44,3.89,4.41,3.97,,1.9,,,2.42,2.16,8
30,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-01-31,,,3.18,,3.01,3.27,6.78,3.6,4.19,3.68,,2.34,,,,2.34,10
31,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-01,,,3.79,,4.11,4.11,6.93,2.9,5.48,4.68,,2.58,,,1.85,2.26,6
32,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-02,,,2.26,,2.5,4.75,6.7,2.96,5.92,5.14,,1.64,,,,3.43,7
33,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-03,,,,,3.56,3.4,6.63,2.83,5.34,4.93,,2.43,,,2.43,1.86,4
34,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-04,,,,,3.71,4.11,6.86,4.2,4.2,4.11,,1.69,,,,1.77,3
35,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-05,,,1.71,,2.44,3.91,7.0,4.56,4.96,4.31,,,,,,2.28,4
36,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-06,,,,,3.32,2.53,5.59,5.24,4.19,4.71,,2.1,,,,2.1,0
37,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-07,,,,,4.5,4.33,5.97,3.55,4.07,3.46,,,,,1.82,3.64,4
38,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-08,,,2.25,,2.97,4.25,7.3,3.21,4.09,3.45,1.77,2.25,,,2.01,1.85,2
39,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-09,,,,,2.69,4.48,6.6,3.99,5.29,5.13,,3.42,,,1.96,3.01,3
40,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-10,,,2.25,,2.59,3.68,6.6,3.42,4.84,4.18,,,,,,2.42,2
41,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-11,,,,,4.37,3.63,5.52,3.63,4.2,3.46,,,,,,2.72,3
42,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-12,,,2.67,,2.75,3.75,6.08,3.75,3.83,3.58,,,,,2.67,2.92,4
43,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-13,,,2.02,,2.37,2.55,5.97,2.81,4.48,4.13,,,,,,,1
44,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-14,,,,,3.45,5.67,6.55,3.98,4.87,5.58,,,,,,2.92,1
45,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-15,,,,,3.02,3.84,6.87,3.68,4.91,4.25,,2.45,,,,2.7,10
46,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-16,,,2.46,,3.44,3.69,7.38,3.52,5.49,5.0,,3.85,,,2.71,3.03,1
47,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-17,,,2.4,,3.47,4.22,7.61,3.23,3.97,4.71,,2.32,,,,3.39,4
48,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-18,,,1.96,,3.76,2.29,5.32,3.35,4.83,5.64,,,,,,2.04,2
49,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-19,,,,,3.01,4.15,6.67,4.55,5.77,5.53,,2.85,,,1.87,2.68,1
50,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-20,,,,,3.09,3.52,5.76,2.32,5.41,4.9,,2.32,,,,2.84,3
51,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-21,,,2.53,,3.57,4.27,6.36,2.18,5.84,4.7,,1.83,,,,3.48,2
52,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-22,,,,,3.27,3.76,7.37,3.68,4.83,4.5,,3.93,,,,3.52,1
53,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-23,,,,,3.57,4.44,5.79,4.2,5.79,5.23,,2.06,,,,2.38,5
54,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-24,,,1.66,,3.63,3.95,6.32,3.32,5.37,6.16,,2.53,,,,1.82,2
55,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-25,,,2.03,,3.73,2.92,6.17,2.68,4.79,3.82,,1.95,,,,3.33,4
56,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-26,,,,,2.99,3.33,8.37,3.5,5.38,4.27,,2.05,,,,2.9,1
57,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-27,,,,,3.75,3.57,5.03,4.58,4.12,4.67,,2.1,,,,,0
58,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-02-28,,,2.27,,2.54,4.71,5.44,3.26,3.81,3.9,1.9,,,,2.27,2.45,1
59,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-03-01,,,,,2.91,4.91,6.4,2.91,3.66,3.33,,,,,2.99,2.99,3
60,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-03-02,,,2.85,,2.51,5.1,8.2,3.01,4.1,4.35,,2.26,,,2.68,2.51,1
61,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-03-03,,,,,3.47,4.18,7.02,2.76,4.26,3.71,,,,,,2.44,1
62,GB,United Kingdom,Ceredigion,GB-CGN,,,ChIJcYOiuisEb0gR1zA-l2ZepU0,2021-03-04,,,,,3.21,5.68,6.59,4.53,5.68,5.6,,2.14,,,,1.9,1
