,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Cheshire West and Chester,GB-CHW,,,ChIJjZkTmD_vekgRsKdrWLxiEAM,2021-01-01,,,2.45,0.46,5.08,4.32,6.67,4.26,6.01,5.02,1.72,2.44,1.02,0.96,1.91,3.26,156
1,GB,United Kingdom,Cheshire West and Chester,GB-CHW,,,ChIJjZkTmD_vekgRsKdrWLxiEAM,2021-01-02,,,2.45,0.31,5.43,3.77,6.83,4.41,5.21,4.17,2.13,2.24,1.11,1.18,1.92,2.87,348
2,GB,United Kingdom,Cheshire West and Chester,GB-CHW,,,ChIJjZkTmD_vekgRsKdrWLxiEAM,2021-01-03,,,2.79,0.36,6.0,3.99,7.57,4.95,5.3,4.51,1.86,2.52,0.93,0.87,2.11,2.91,309
3,GB,United Kingdom,Cheshire West and Chester,GB-CHW,,,ChIJjZkTmD_vekgRsKdrWLxiEAM,2021-01-04,,,2.08,0.33,4.97,3.98,5.86,4.67,4.94,4.41,1.5,1.88,1.28,1.14,1.62,2.48,304
4,GB,United Kingdom,Cheshire West and Chester,GB-CHW,,,ChIJjZkTmD_vekgRsKdrWLxiEAM,2021-01-05,,,2.1,0.32,5.55,3.94,5.97,4.65,5.47,5.0,1.41,2.14,1.41,1.1,1.95,2.58,306
5,GB,United Kingdom,Cheshire West and Chester,GB-CHW,,,ChIJjZkTmD_vekgRsKdrWLxiEAM,2021-01-06,,,1.96,0.3,4.76,3.64,6.56,5.16,5.09,4.91,1.3,2.23,1.26,0.98,1.8,2.58,241
6,GB,United Kingdom,Cheshire West and Chester,GB-CHW,,,ChIJjZkTmD_vekgRsKdrWLxiEAM,2021-01-07,,,1.85,0.38,5.09,3.75,6.14,4.99,4.97,4.82,1.28,2.16,1.26,1.03,1.88,2.43,245
7,GB,United Kingdom,Cheshire West and Chester,GB-CHW,,,ChIJjZkTmD_vekgRsKdrWLxiEAM,2021-01-08,,,2.26,0.37,4.63,3.41,5.84,4.77,4.68,4.35,1.12,1.84,1.15,1.0,1.46,2.47,225
8,GB,United Kingdom,Cheshire West and Chester,GB-CHW,,,ChIJjZkTmD_vekgRsKdrWLxiEAM,2021-01-09,,,2.0,0.31,5.23,3.88,6.28,4.62,5.09,4.55,1.57,1.81,1.15,1.22,1.78,2.67,205
9,GB,United Kingdom,Cheshire West and Chester,GB-CHW,,,ChIJjZkTmD_vekgRsKdrWLxiEAM,2021-01-10,,,2.0,,5.24,3.92,7.01,4.65,5.65,5.04,1.54,2.22,1.44,1.05,1.7,2.71,206
