,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Darlington,GB-DAL,,,ChIJ52hV6ribfkgRkKBv7Z75DAM,2021-01-01,,,2.0,,3.27,4.93,6.73,3.76,5.9,4.54,1.61,2.49,,1.12,2.15,2.88,37
1,GB,United Kingdom,Darlington,GB-DAL,,,ChIJ52hV6ribfkgRkKBv7Z75DAM,2021-01-02,,,1.38,,4.99,2.9,5.42,3.57,4.47,4.33,2.0,1.71,,1.19,2.0,2.47,63
2,GB,United Kingdom,Darlington,GB-DAL,,,ChIJ52hV6ribfkgRkKBv7Z75DAM,2021-01-03,,,2.9,,4.92,4.63,6.55,4.49,5.52,5.34,1.45,2.15,1.36,,2.29,3.0,73
3,GB,United Kingdom,Darlington,GB-DAL,,,ChIJ52hV6ribfkgRkKBv7Z75DAM,2021-01-04,,,2.65,,4.39,3.8,5.42,3.92,4.78,4.99,1.15,1.41,,1.24,1.58,2.65,92
4,GB,United Kingdom,Darlington,GB-DAL,,,ChIJ52hV6ribfkgRkKBv7Z75DAM,2021-01-05,,,2.06,,5.08,4.0,6.5,3.66,5.29,4.34,0.9,2.24,0.99,0.95,1.55,2.45,75
5,GB,United Kingdom,Darlington,GB-DAL,,,ChIJ52hV6ribfkgRkKBv7Z75DAM,2021-01-06,,,2.34,,4.73,3.95,6.89,3.47,4.81,4.99,1.73,2.0,1.08,1.0,2.08,2.73,75
6,GB,United Kingdom,Darlington,GB-DAL,,,ChIJ52hV6ribfkgRkKBv7Z75DAM,2021-01-07,,,1.6,,5.24,3.2,5.63,3.51,4.59,4.72,0.95,1.43,1.17,1.17,1.08,2.34,72
7,GB,United Kingdom,Darlington,GB-DAL,,,ChIJ52hV6ribfkgRkKBv7Z75DAM,2021-01-08,,,1.75,,3.81,2.59,6.14,3.86,4.6,4.87,1.23,1.84,,1.01,1.97,2.76,59
8,GB,United Kingdom,Darlington,GB-DAL,,,ChIJ52hV6ribfkgRkKBv7Z75DAM,2021-01-09,,,1.81,,3.91,3.62,6.2,3.48,5.48,4.29,1.81,2.0,,1.0,1.38,2.72,34
9,GB,United Kingdom,Darlington,GB-DAL,,,ChIJ52hV6ribfkgRkKBv7Z75DAM,2021-01-10,,,2.16,,4.6,3.99,6.95,2.96,5.02,5.49,1.36,1.97,,1.27,2.54,3.0,30
10,GB,United Kingdom,Darlington,GB-DAL,,,ChIJ52hV6ribfkgRkKBv7Z75DAM,2021-01-11,,,2.19,,4.43,3.92,7.14,3.61,4.95,4.6,1.25,1.76,0.95,1.51,1.94,3.53,84
11,GB,United Kingdom,Darlington,GB-DAL,,,ChIJ52hV6ribfkgRkKBv7Z75DAM,2021-01-12,,,1.57,,4.57,4.61,7.18,3.91,5.35,5.44,1.35,2.44,1.22,1.26,1.7,3.26,50
12,GB,United Kingdom,Darlington,GB-DAL,,,ChIJ52hV6ribfkgRkKBv7Z75DAM,2021-01-13,,,1.95,,4.03,3.2,6.93,4.85,4.89,4.89,1.17,2.04,0.91,1.47,1.3,2.55,52
13,GB,United Kingdom,Darlington,GB-DAL,,,ChIJ52hV6ribfkgRkKBv7Z75DAM,2021-01-14,,,1.87,,3.78,3.34,5.69,3.6,4.91,4.69,,1.35,1.17,1.48,,2.48,63
14,GB,United Kingdom,Darlington,GB-DAL,,,ChIJ52hV6ribfkgRkKBv7Z75DAM,2021-01-15,,,2.91,,4.36,3.66,4.98,2.82,4.67,4.8,1.85,1.76,1.28,0.93,1.32,1.9,55
15,GB,United Kingdom,Darlington,GB-DAL,,,ChIJ52hV6ribfkgRkKBv7Z75DAM,2021-01-16,,,2.09,,4.04,4.19,6.95,2.95,4.9,4.42,1.05,1.9,,1.14,1.09,3.23,47
16,GB,United Kingdom,Darlington,GB-DAL,,,ChIJ52hV6ribfkgRkKBv7Z75DAM,2021-01-17,,,2.07,,4.8,3.48,6.77,4.0,5.17,5.6,1.74,2.07,,,1.18,2.68,31
17,GB,United Kingdom,Darlington,GB-DAL,,,ChIJ52hV6ribfkgRkKBv7Z75DAM,2021-01-18,,,1.54,,3.56,4.46,7.72,3.04,4.76,5.27,1.33,2.44,1.8,1.11,1.89,3.09,76
