,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Dorset,GB-DOR,,,ChIJd_Gr7aqAbUgRX23auoH0oTM,2021-01-01,0.33,0.37,2.23,0.33,5.35,4.31,7.1,5.11,6.25,5.04,2.0,2.25,1.03,1.09,2.09,3.3,111
1,GB,United Kingdom,Dorset,GB-DOR,,,ChIJd_Gr7aqAbUgRX23auoH0oTM,2021-01-02,0.3,0.38,2.62,0.5,5.4,4.37,6.81,5.4,5.67,5.23,1.82,2.26,0.99,1.16,2.15,2.9,217
2,GB,United Kingdom,Dorset,GB-DOR,,,ChIJd_Gr7aqAbUgRX23auoH0oTM,2021-01-03,0.3,0.34,2.17,0.39,6.35,4.42,7.13,6.14,5.35,4.87,1.76,2.46,1.04,1.28,1.85,2.87,171
3,GB,United Kingdom,Dorset,GB-DOR,,,ChIJd_Gr7aqAbUgRX23auoH0oTM,2021-01-04,0.16,0.36,2.16,0.41,5.33,3.92,5.8,6.49,5.0,4.59,1.37,1.92,1.18,1.18,1.83,2.5,228
4,GB,United Kingdom,Dorset,GB-DOR,,,ChIJd_Gr7aqAbUgRX23auoH0oTM,2021-01-05,0.19,0.21,2.23,0.52,5.45,4.07,6.27,5.46,5.34,4.76,1.37,1.94,1.16,1.36,1.98,2.6,227
5,GB,United Kingdom,Dorset,GB-DOR,,,ChIJd_Gr7aqAbUgRX23auoH0oTM,2021-01-06,0.28,0.56,2.2,0.49,5.26,4.5,6.45,5.96,5.41,5.02,1.54,2.24,1.32,1.05,1.83,2.82,159
6,GB,United Kingdom,Dorset,GB-DOR,,,ChIJd_Gr7aqAbUgRX23auoH0oTM,2021-01-07,,0.37,2.28,0.31,5.67,3.92,6.77,5.79,4.86,4.72,1.34,2.08,1.12,1.14,1.9,2.54,185
7,GB,United Kingdom,Dorset,GB-DOR,,,ChIJd_Gr7aqAbUgRX23auoH0oTM,2021-01-08,0.27,0.35,2.05,0.43,5.24,3.91,7.13,5.53,4.75,4.61,1.63,1.89,1.18,1.17,1.76,2.38,172
8,GB,United Kingdom,Dorset,GB-DOR,,,ChIJd_Gr7aqAbUgRX23auoH0oTM,2021-01-09,0.28,0.38,1.97,0.62,5.57,3.9,6.49,6.15,5.3,5.34,1.81,1.95,0.97,0.93,1.79,2.45,127
9,GB,United Kingdom,Dorset,GB-DOR,,,ChIJd_Gr7aqAbUgRX23auoH0oTM,2021-01-10,0.29,0.43,2.47,0.51,5.15,4.54,7.47,5.98,5.64,5.16,1.79,2.14,1.25,1.46,1.64,2.78,126
10,GB,United Kingdom,Dorset,GB-DOR,,,ChIJd_Gr7aqAbUgRX23auoH0oTM,2021-01-11,0.29,0.32,2.29,0.49,5.47,4.35,7.14,6.62,4.97,4.8,1.5,2.17,1.13,1.37,1.83,2.63,186
