,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Falkirk,GB-FAL,,,ChIJw-xIZyJ6iEgRM9AQrv2dHr0,2021-01-01,,,2.0,,4.71,3.92,5.67,3.5,6.71,4.82,2.03,2.53,,,2.43,3.78,41
1,GB,United Kingdom,Falkirk,GB-FAL,,,ChIJw-xIZyJ6iEgRM9AQrv2dHr0,2021-01-02,,,2.22,,4.08,4.05,5.77,3.65,5.27,4.81,2.19,2.15,,0.96,2.42,3.38,72
2,GB,United Kingdom,Falkirk,GB-FAL,,,ChIJw-xIZyJ6iEgRM9AQrv2dHr0,2021-01-03,,,2.39,,5.48,4.56,6.85,4.46,4.69,4.29,2.26,1.97,0.98,1.05,1.57,2.56,77
3,GB,United Kingdom,Falkirk,GB-FAL,,,ChIJw-xIZyJ6iEgRM9AQrv2dHr0,2021-01-04,,,2.28,,4.56,3.61,5.23,4.15,5.55,5.55,1.24,1.74,1.11,1.05,1.68,2.03,61
4,GB,United Kingdom,Falkirk,GB-FAL,,,ChIJw-xIZyJ6iEgRM9AQrv2dHr0,2021-01-05,,,2.52,,4.78,4.0,6.68,3.94,5.49,5.17,1.29,2.03,0.87,1.06,1.71,2.39,101
5,GB,United Kingdom,Falkirk,GB-FAL,,,ChIJw-xIZyJ6iEgRM9AQrv2dHr0,2021-01-06,,,2.13,,3.74,4.32,5.64,4.16,4.96,5.35,1.35,2.25,1.03,0.84,1.71,2.48,83
6,GB,United Kingdom,Falkirk,GB-FAL,,,ChIJw-xIZyJ6iEgRM9AQrv2dHr0,2021-01-07,,,2.72,,4.47,4.4,6.12,4.99,4.37,4.27,,1.65,1.0,1.13,1.17,1.91,59
7,GB,United Kingdom,Falkirk,GB-FAL,,,ChIJw-xIZyJ6iEgRM9AQrv2dHr0,2021-01-08,,,1.95,,4.36,3.61,6.27,3.67,4.97,4.32,1.33,1.75,1.01,1.04,1.69,3.22,47
8,GB,United Kingdom,Falkirk,GB-FAL,,,ChIJw-xIZyJ6iEgRM9AQrv2dHr0,2021-01-09,,,2.12,,4.25,4.14,5.77,3.75,6.1,6.27,2.12,1.76,0.83,0.8,1.56,2.25,48
9,GB,United Kingdom,Falkirk,GB-FAL,,,ChIJw-xIZyJ6iEgRM9AQrv2dHr0,2021-01-10,,,2.1,,5.04,3.78,6.82,3.72,5.4,4.69,1.52,1.75,0.68,0.87,1.33,2.52,41
