,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Fife,GB-FIF,,,ChIJGfnLttUwhkgRPBsRigOAVnY,2021-01-01,,,2.03,,4.29,4.51,6.54,3.51,6.68,5.08,1.7,2.17,0.62,1.18,1.91,3.66,60
1,GB,United Kingdom,Fife,GB-FIF,,,ChIJGfnLttUwhkgRPBsRigOAVnY,2021-01-02,,,2.63,0.39,4.33,4.36,6.62,3.16,4.96,5.27,1.69,2.63,0.76,1.25,2.09,2.61,96
2,GB,United Kingdom,Fife,GB-FIF,,,ChIJGfnLttUwhkgRPBsRigOAVnY,2021-01-03,,,2.39,,4.89,4.73,6.51,3.66,5.5,4.76,2.04,2.42,1.03,0.82,1.88,2.79,115
3,GB,United Kingdom,Fife,GB-FIF,,,ChIJGfnLttUwhkgRPBsRigOAVnY,2021-01-04,,,2.41,,5.17,3.96,5.86,4.34,4.71,4.82,1.38,2.04,0.72,1.07,1.89,3.04,136
4,GB,United Kingdom,Fife,GB-FIF,,,ChIJGfnLttUwhkgRPBsRigOAVnY,2021-01-05,,,2.54,0.39,4.9,4.19,6.67,4.35,5.69,5.33,1.45,2.06,0.79,0.95,1.83,3.06,145
5,GB,United Kingdom,Fife,GB-FIF,,,ChIJGfnLttUwhkgRPBsRigOAVnY,2021-01-06,,,2.15,0.42,4.14,3.93,6.4,4.66,5.1,5.19,1.1,1.94,0.9,0.97,1.97,2.83,144
6,GB,United Kingdom,Fife,GB-FIF,,,ChIJGfnLttUwhkgRPBsRigOAVnY,2021-01-07,,,2.28,,4.47,4.0,6.51,4.18,5.49,4.84,1.38,2.27,1.34,1.04,1.48,3.12,130
7,GB,United Kingdom,Fife,GB-FIF,,,ChIJGfnLttUwhkgRPBsRigOAVnY,2021-01-08,,,2.31,0.46,4.62,4.12,6.71,4.09,5.24,4.99,1.63,2.04,1.11,1.09,1.7,2.39,118
8,GB,United Kingdom,Fife,GB-FIF,,,ChIJGfnLttUwhkgRPBsRigOAVnY,2021-01-09,,,2.49,0.35,4.43,4.3,6.18,3.79,5.31,4.99,1.97,2.04,0.99,1.12,1.44,2.82,72
9,GB,United Kingdom,Fife,GB-FIF,,,ChIJGfnLttUwhkgRPBsRigOAVnY,2021-01-10,,,2.34,0.33,4.08,4.6,7.41,3.85,5.24,4.72,1.53,2.05,1.25,1.29,1.94,2.84,77
10,GB,United Kingdom,Fife,GB-FIF,,,ChIJGfnLttUwhkgRPBsRigOAVnY,2021-01-11,,,2.14,0.32,3.99,4.39,7.23,4.5,5.22,5.21,1.31,2.46,0.98,1.1,1.75,2.95,122
11,GB,United Kingdom,Fife,GB-FIF,,,ChIJGfnLttUwhkgRPBsRigOAVnY,2021-01-12,,,2.04,0.38,3.83,3.86,7.4,3.89,4.93,5.13,1.39,2.41,1.04,0.97,1.6,2.57,114
12,GB,United Kingdom,Fife,GB-FIF,,,ChIJGfnLttUwhkgRPBsRigOAVnY,2021-01-13,,,1.9,0.31,3.78,4.23,7.2,4.48,5.17,5.02,1.18,1.94,0.94,1.06,1.79,2.72,95
