,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-01,,,3.02,,5.3,3.83,5.64,4.43,5.84,5.3,1.81,2.05,1.41,1.38,1.75,3.79,81
1,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-02,,,2.72,,5.94,4.13,5.32,4.53,4.96,4.56,1.54,2.23,0.89,0.95,2.3,2.53,210
2,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-03,,,2.4,,6.28,4.64,7.2,5.62,4.97,4.47,1.42,1.68,0.92,1.28,2.47,2.04,126
3,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-04,,,2.48,,5.41,4.28,7.03,5.5,4.37,4.64,1.07,2.02,1.07,1.01,1.65,3.33,245
4,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-05,,,1.91,,5.21,3.85,5.88,5.79,4.46,5.12,1.58,2.18,1.06,1.3,1.91,2.15,166
5,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-06,,,2.24,,5.24,2.94,5.7,4.58,5.09,5.09,1.43,1.43,1.21,1.06,1.7,1.94,117
6,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-07,,,2.04,,4.69,3.85,6.07,4.51,5.05,4.54,1.2,1.77,1.02,1.08,1.74,2.31,129
7,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-08,,,1.53,,5.15,3.44,6.76,4.73,4.82,4.13,1.59,1.82,1.05,0.96,1.14,2.39,138
8,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-09,,,1.63,,5.54,4.33,5.54,4.3,4.47,4.03,1.73,1.67,1.47,1.0,1.6,2.43,86
9,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-10,,,2.91,,5.07,3.3,6.63,4.61,4.9,4.77,1.63,2.19,,1.27,1.57,1.67,97
10,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-11,,,2.42,,5.48,4.48,6.37,5.36,4.07,4.01,0.74,1.92,1.12,1.21,1.71,2.89,134
11,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-12,,,2.25,,4.22,4.4,7.42,5.12,4.7,4.58,0.78,1.74,1.14,1.08,1.41,2.15,130
12,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-13,,,1.96,,4.54,3.8,7.03,5.04,5.37,4.39,1.66,1.75,1.01,1.22,1.48,2.4,106
13,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-14,,,1.75,,4.53,3.7,6.83,4.44,5.24,4.76,1.33,2.43,1.48,1.3,1.95,2.43,112
14,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-15,,,2.1,,4.93,3.38,5.85,4.36,5.02,4.38,1.71,2.04,1.4,0.88,1.31,2.22,89
15,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-16,,,2.08,,5.34,4.05,5.87,4.38,4.84,4.78,1.45,2.04,1.48,1.09,1.78,2.64,80
16,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-17,,,2.36,,4.24,3.68,7.75,4.83,5.94,6.73,1.67,1.54,0.89,0.69,2.1,2.59,74
17,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-18,,,1.84,,5.41,3.27,7.16,4.04,5.05,5.05,1.04,1.99,1.22,1.01,1.99,2.73,117
18,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-19,,,2.19,,4.91,4.34,7.04,5.57,4.49,4.61,1.17,1.56,1.5,1.02,1.68,2.13,86
19,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-20,,,2.49,,5.04,4.3,6.23,4.57,5.43,5.25,1.33,1.84,1.19,0.68,1.81,2.37,88
20,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-21,,,2.36,,5.08,4.19,6.12,4.59,5.14,4.35,0.98,2.05,1.41,1.01,1.32,1.77,96
21,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-22,,,2.1,,4.84,3.98,6.78,4.35,4.62,4.07,0.99,2.4,1.23,1.05,1.51,2.44,61
22,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-23,,,2.49,,4.68,3.4,5.92,4.91,5.4,5.17,1.54,1.86,1.15,1.31,2.85,2.29,55
23,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-24,,,2.46,,5.72,3.46,5.06,4.53,5.46,5.16,1.46,1.83,1.6,1.17,2.13,2.76,23
24,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-25,,,2.09,,5.37,3.55,6.46,4.34,4.64,5.07,1.21,2.46,1.21,1.4,2.31,2.82,75
25,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-26,,,2.43,,4.94,4.0,6.91,4.34,5.25,5.21,0.94,1.82,1.3,1.3,1.79,2.73,52
26,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-27,,,1.27,,4.66,3.96,6.11,4.17,5.02,4.96,1.21,1.84,1.21,0.82,1.51,2.06,53
27,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-28,,,1.96,,4.76,3.79,6.78,4.73,4.25,4.13,0.93,1.84,1.11,0.87,1.39,1.81,69
28,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-29,,,2.79,,3.59,3.78,5.59,4.33,5.04,4.21,1.14,1.81,,1.57,1.6,2.0,56
29,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-30,,,1.43,,4.13,3.35,5.17,4.16,5.95,4.65,1.69,1.46,,0.88,1.3,2.27,47
30,GB,United Kingdom,Flintshire,GB-FLN,,,ChIJa62Y31DVZEgRAGq22Ew29rU,2021-01-31,,,1.44,,4.38,4.19,6.81,3.63,6.12,4.84,1.47,1.73,1.6,0.98,1.37,1.96,53
