,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-01,,0.26,2.06,0.27,4.2,4.15,5.87,3.24,5.76,4.24,1.7,2.58,0.83,1.02,1.81,4.03,137
1,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-02,,,2.0,0.39,4.33,4.0,5.62,3.51,4.5,3.95,1.64,2.03,0.9,0.94,1.86,2.64,265
2,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-03,,0.28,2.02,0.48,4.8,4.25,6.22,3.83,4.74,4.54,1.95,2.42,0.92,1.11,1.71,2.99,328
3,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-04,,0.23,1.83,0.31,4.27,3.48,5.46,3.75,4.78,4.44,1.37,1.9,1.04,0.85,1.56,2.66,359
4,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-05,,0.27,1.9,0.38,4.9,3.97,6.11,4.2,5.03,4.87,1.47,2.15,1.05,1.24,1.7,2.61,489
5,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-06,,0.26,1.89,0.29,4.18,3.41,5.91,3.86,4.71,4.77,1.46,2.29,0.84,0.82,1.95,2.52,416
6,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-07,,0.22,1.81,0.3,4.0,3.5,6.25,3.8,4.76,4.76,1.31,2.05,1.01,1.09,1.53,2.65,325
7,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-08,,0.31,1.78,0.33,4.05,3.47,5.38,3.65,4.64,4.7,1.3,2.0,0.87,1.04,1.53,2.12,336
8,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-09,,0.19,1.91,0.2,4.02,3.75,5.75,3.64,4.99,4.73,1.32,2.13,0.9,0.91,1.64,2.66,296
9,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-10,,0.23,1.76,0.31,4.41,4.16,5.72,3.48,4.96,4.9,1.53,2.05,0.97,0.97,1.56,2.56,292
10,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-11,,0.24,1.87,0.31,3.94,4.09,5.94,4.3,5.03,4.76,1.28,2.17,1.03,1.12,1.46,2.51,369
11,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-12,,0.2,2.0,0.35,4.18,4.06,6.39,3.72,4.75,4.54,1.09,2.32,1.16,1.17,1.44,2.44,328
12,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-13,,0.22,1.97,0.32,4.1,3.7,6.23,4.01,4.7,4.84,1.41,1.99,1.11,1.18,1.44,2.27,282
13,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-14,,0.35,1.87,0.39,4.13,4.13,6.18,3.8,4.77,4.62,1.07,1.85,1.06,1.29,1.39,2.44,253
14,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-15,,0.27,1.97,0.4,3.81,3.65,5.99,3.62,4.51,4.76,1.22,2.11,1.11,0.99,1.25,2.64,309
15,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-16,,0.26,1.85,0.3,3.92,3.8,5.71,3.23,4.98,4.87,1.39,1.84,0.98,1.07,1.51,2.67,222
16,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-17,,0.24,1.72,0.24,3.98,4.38,6.44,3.5,5.13,5.17,1.38,2.19,0.84,1.08,1.5,3.04,198
17,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-18,,0.25,2.19,0.36,4.15,4.41,6.81,3.79,5.08,5.21,1.26,2.36,1.08,1.13,1.62,2.92,283
18,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-19,,0.27,1.86,,3.95,4.01,6.8,3.8,5.05,5.0,1.24,2.01,1.03,1.35,1.45,2.6,259
19,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-20,,0.17,2.16,0.27,3.45,4.03,6.51,4.0,4.75,4.88,1.15,2.1,0.99,1.31,1.29,2.7,277
20,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-21,,,2.06,0.3,3.66,4.1,6.36,3.67,4.79,4.78,1.24,1.9,1.11,1.18,1.36,2.57,220
21,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-22,,0.17,1.83,0.31,3.9,3.96,5.92,4.0,4.72,5.03,1.32,2.07,1.24,0.94,1.42,2.67,248
22,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-23,,0.18,1.77,0.36,3.59,3.88,5.36,3.83,4.61,4.38,1.22,1.92,0.83,0.98,1.38,2.75,156
23,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-24,,0.16,2.15,0.29,3.57,3.79,5.92,3.57,4.75,4.49,1.34,1.92,1.03,1.03,1.48,2.35,182
24,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-25,,0.16,2.02,0.35,3.72,4.2,6.24,3.35,4.64,5.81,1.2,2.08,1.06,1.05,1.3,2.55,236
25,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-26,,0.17,1.93,0.32,3.96,4.24,6.74,3.8,4.55,4.74,1.29,2.03,1.21,1.11,1.68,2.6,186
26,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-27,,0.3,1.86,0.29,3.65,3.62,6.26,3.81,4.85,4.71,1.27,2.08,1.1,0.96,1.26,2.61,185
27,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-28,,0.29,1.85,0.29,3.54,4.12,6.41,3.35,4.55,4.64,1.24,1.75,1.01,1.0,1.29,2.54,222
28,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-29,,0.25,1.77,0.27,3.43,3.92,6.22,3.09,4.49,4.7,1.05,1.9,0.92,1.05,1.16,2.47,162
29,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-30,,0.29,1.76,0.24,3.21,4.05,5.69,3.32,4.36,4.35,1.23,1.93,0.76,1.05,1.35,2.54,138
30,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-01-31,,0.17,2.05,0.28,4.1,4.09,6.65,3.32,4.78,4.52,1.34,2.13,1.39,1.23,1.6,2.67,135
31,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-02-01,,0.16,2.24,0.36,4.17,4.17,7.36,3.48,5.05,4.5,1.19,2.42,1.41,1.36,1.41,3.01,199
32,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-02-02,,0.15,2.0,0.31,4.28,3.91,6.76,3.57,4.7,4.96,1.19,2.16,1.79,0.95,1.33,2.61,157
33,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-02-03,,0.14,1.94,0.28,3.86,4.01,6.62,3.55,4.74,4.82,1.19,1.95,1.2,1.06,1.4,2.54,161
34,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-02-04,,0.17,1.97,0.25,3.96,3.96,6.4,3.38,5.24,4.8,1.15,2.25,1.06,0.96,1.39,2.34,159
35,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-02-05,,0.2,1.71,0.21,3.54,3.98,6.5,3.42,4.76,4.32,0.98,2.01,0.99,0.9,1.46,2.45,127
36,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-02-06,,0.21,1.59,0.25,3.07,3.78,5.91,3.19,4.89,4.51,1.34,1.93,0.81,0.96,1.27,2.67,136
37,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-02-07,,0.32,2.04,0.44,3.28,4.18,6.13,3.22,4.73,4.8,1.25,1.87,0.89,1.02,1.36,2.64,109
38,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-02-08,,,1.9,0.28,3.5,3.87,6.03,3.2,4.52,4.66,1.22,2.02,0.93,1.06,1.54,2.79,158
39,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-02-09,,0.24,1.84,0.31,3.16,3.74,6.09,3.21,4.83,4.72,1.15,2.17,1.18,1.06,1.6,2.45,131
40,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-02-10,,0.36,1.78,0.29,3.42,3.83,6.36,3.31,5.11,4.89,1.02,1.95,1.04,1.12,1.65,2.36,124
41,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-02-11,,0.24,1.62,0.29,3.25,3.92,5.93,3.43,4.5,4.64,1.2,2.12,0.95,1.02,1.41,2.47,136
42,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-02-12,,0.23,1.79,0.28,3.18,3.71,5.81,2.91,4.24,4.57,1.07,1.96,0.66,0.96,1.27,2.83,107
43,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-02-13,,,1.8,0.16,3.04,3.44,5.54,2.87,4.61,4.38,1.19,1.77,0.62,0.69,1.32,2.61,76
44,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-02-14,,0.17,1.91,0.26,3.32,4.11,5.98,3.15,4.49,3.99,1.62,2.08,0.81,0.88,1.36,2.62,99
45,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-02-15,,,1.87,0.27,3.23,3.95,6.89,3.76,5.05,4.83,1.19,2.26,0.76,1.23,1.31,2.83,143
46,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-02-16,,0.24,1.91,0.22,3.68,3.94,6.79,3.39,4.99,5.1,1.06,2.08,0.86,1.08,1.43,2.92,135
47,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-02-17,,0.24,1.79,0.31,3.46,4.23,6.95,3.39,5.19,5.18,1.07,2.32,0.81,1.17,1.27,2.66,130
48,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-02-18,,0.18,2.21,0.35,3.6,4.1,7.05,3.69,5.16,5.02,0.99,2.18,0.99,1.08,1.33,2.61,139
49,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-02-19,,0.15,2.08,0.26,3.5,3.88,6.11,3.27,5.1,4.77,1.18,2.15,0.81,1.05,1.34,2.56,135
50,GB,United Kingdom,Glasgow City,GB-GLG,,,ChIJ368eA69GiEgRELNCBhpoDAM,2021-02-20,,,1.88,0.21,3.46,4.17,6.11,3.28,5.07,4.78,1.22,2.22,0.63,1.02,1.4,2.93,111
