,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-01,,,1.57,,4.03,2.71,4.15,2.46,4.3,3.49,1.14,1.79,0.79,0.95,1.25,2.6,153
1,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-02,,,1.53,0.33,4.34,2.94,4.42,2.69,3.58,3.24,1.73,1.7,0.67,0.65,1.69,1.99,299
2,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-03,,,1.43,,4.17,3.21,4.24,3.12,3.44,2.96,1.46,1.62,0.92,0.59,1.28,2.26,299
3,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-04,,,1.63,,3.76,2.94,4.56,3.25,3.45,3.07,1.17,1.44,0.95,0.58,1.21,2.14,351
4,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-05,,,1.52,0.31,4.09,2.93,4.4,3.22,3.78,3.71,1.61,1.44,0.86,0.86,1.17,1.78,316
5,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-06,,,1.49,,4.06,3.11,4.36,3.74,3.57,3.32,1.33,1.65,1.0,0.77,1.39,2.05,334
6,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-07,,,1.44,0.26,3.51,2.85,4.75,3.33,3.59,3.41,1.12,1.46,1.0,0.83,1.34,1.95,274
7,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-08,,,1.43,,3.79,2.71,4.49,2.97,3.27,3.42,1.24,1.19,0.84,0.95,0.97,1.9,258
8,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-09,,,1.52,0.46,4.0,3.09,4.2,3.15,3.33,3.03,1.52,1.78,0.87,0.71,1.49,2.04,210
9,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-10,,,1.62,0.51,3.84,3.1,4.12,3.41,4.13,3.44,1.28,1.83,0.81,0.78,1.29,2.53,186
10,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-11,,,1.73,,3.47,3.04,5.14,3.36,4.06,3.56,1.23,1.51,0.8,0.74,1.34,2.01,314
11,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-12,,,1.4,,3.53,3.06,4.95,3.24,3.51,3.52,1.13,1.38,0.98,0.89,1.07,2.05,379
12,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-13,,,1.48,,4.2,3.06,4.92,3.15,3.42,3.66,0.97,1.45,1.2,0.95,1.43,1.7,264
13,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-14,,,1.54,0.27,3.81,2.92,5.09,3.2,3.61,3.55,0.89,1.47,1.12,0.95,1.44,2.07,289
14,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-15,,,1.33,0.34,3.54,2.93,4.67,3.22,3.61,3.18,1.14,1.7,0.79,0.83,1.55,1.93,284
15,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-16,,,1.69,,4.21,2.94,4.3,3.06,3.91,3.26,1.31,1.4,0.76,0.83,1.25,1.86,217
16,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-17,,,1.57,0.31,3.8,2.58,4.51,3.3,4.33,3.64,1.39,1.73,0.8,1.2,1.39,2.17,266
17,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-18,,,1.6,0.32,3.38,2.83,5.35,3.44,3.74,3.38,0.84,1.6,0.98,1.03,1.29,2.32,318
18,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-19,,,1.67,0.42,3.88,3.31,5.64,3.48,4.18,3.68,1.15,1.57,0.89,0.91,1.14,2.24,362
19,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-20,,,1.47,,4.08,3.77,5.26,3.57,3.57,3.39,1.0,1.52,0.99,1.06,1.38,2.42,295
20,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-21,,,1.69,0.29,3.85,2.78,4.73,3.06,3.78,3.56,1.06,1.69,0.94,1.31,1.17,2.08,262
21,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-22,,,1.62,,3.75,3.18,4.98,3.28,3.76,3.49,1.04,1.72,0.85,1.01,1.23,2.28,246
22,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-23,,,1.46,,3.86,2.99,4.58,3.08,3.96,3.79,1.18,1.42,0.94,0.74,1.51,2.65,167
23,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-24,,,1.69,,3.18,2.4,4.02,2.79,3.98,3.82,0.84,1.6,0.64,0.82,1.43,1.83,104
24,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-25,,,1.77,0.27,3.66,2.91,4.92,3.05,3.7,4.21,0.79,1.4,1.15,0.76,1.47,1.98,171
25,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-26,,,1.65,0.31,4.21,3.02,5.03,3.07,3.82,3.46,1.15,1.44,1.2,1.08,1.41,2.13,234
26,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-27,,,1.74,,3.06,2.96,4.8,3.36,3.55,3.31,1.15,1.82,1.2,1.0,1.51,2.04,231
27,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-28,,,1.65,,3.46,3.12,5.01,3.24,3.9,3.58,0.88,1.67,0.71,0.99,1.15,2.0,204
28,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-29,,,1.73,,3.15,3.0,4.88,2.6,3.43,3.37,1.04,1.79,1.15,0.97,1.33,2.12,183
29,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-30,,,1.68,0.26,3.36,3.02,4.57,2.89,3.91,3.57,1.27,1.38,0.82,0.7,1.29,2.13,141
30,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-01-31,,,1.54,0.4,4.0,2.89,4.31,2.86,4.16,3.49,1.1,1.45,1.29,0.75,1.21,1.95,143
31,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-02-01,,,1.4,,3.78,2.92,5.09,3.02,4.12,3.93,1.08,1.78,1.39,0.83,1.23,2.14,190
32,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-02-02,,,1.44,0.24,3.82,2.99,5.09,3.18,3.74,3.41,0.9,1.82,2.0,0.75,1.48,2.13,179
33,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-02-03,,,1.6,,3.76,2.88,4.74,3.04,3.54,3.41,1.16,1.45,1.28,0.91,1.18,2.1,173
34,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-02-04,,,1.65,,3.45,3.42,5.25,3.18,3.94,4.1,0.84,1.71,1.11,1.18,1.2,2.36,157
35,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-02-05,,,1.79,,3.19,2.66,4.68,2.79,3.59,3.64,0.91,1.69,0.76,0.83,1.19,1.86,129
36,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-02-06,,,1.49,,3.31,3.12,4.92,2.67,3.88,3.79,1.03,1.55,0.54,0.77,1.36,2.06,94
37,GB,United Kingdom,Leicester,GB-LCE,,,ChIJoezi2B5hd0gRsJ_Du6gcDgM,2021-02-07,,,1.35,0.26,3.57,3.11,4.45,2.65,3.69,3.37,0.93,1.47,0.94,0.92,1.32,2.08,114
