,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-01,,,2.32,,4.52,4.29,7.5,3.87,6.3,5.76,1.47,2.82,1.08,1.24,2.36,3.75,58
1,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-02,,,1.44,,5.41,4.01,7.79,4.28,5.52,4.69,1.59,2.61,1.21,1.02,1.93,3.82,115
2,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-03,,,2.11,,6.29,5.12,7.27,4.9,6.78,4.67,2.71,2.98,1.02,,2.56,3.17,84
3,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-04,,,3.2,,5.49,4.0,5.7,5.66,4.62,4.38,1.22,1.98,1.74,1.91,2.15,2.64,82
4,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-05,,,1.86,,4.24,3.86,6.93,4.87,4.97,5.21,1.66,2.42,1.52,0.97,1.66,2.93,76
5,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-06,,,1.74,,4.39,3.8,6.07,4.71,4.29,4.36,1.53,1.81,0.77,1.15,1.74,2.23,78
6,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-07,,,2.21,,3.67,3.81,7.16,4.6,5.37,4.98,2.01,1.9,1.66,1.21,1.52,2.87,59
7,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-08,,,2.45,,4.9,2.94,5.75,4.48,4.17,4.62,1.65,2.21,1.02,0.84,1.68,2.21,56
8,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-09,,,1.64,,4.22,4.83,6.85,4.61,4.91,4.42,1.75,1.86,0.91,1.14,1.33,2.51,50
9,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-10,,,1.92,,4.87,4.28,7.46,4.47,5.54,5.06,1.92,1.85,0.81,1.81,1.48,2.21,54
10,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-11,,,2.25,,5.17,4.67,7.08,4.7,5.27,5.17,1.58,2.08,1.27,1.11,1.68,3.29,78
11,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-12,,,2.25,,4.16,4.03,6.45,4.33,5.8,4.98,1.09,2.29,1.36,1.6,1.26,2.97,67
12,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-13,,,1.74,,4.54,4.61,7.3,3.85,4.67,5.12,1.19,1.84,0.85,1.23,1.77,1.26,46
13,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-14,,,2.46,,3.99,4.23,7.95,4.62,5.73,5.62,1.11,2.4,1.35,1.28,1.56,3.23,48
14,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-15,,,1.48,,4.22,4.29,6.02,3.59,5.31,4.64,,2.64,1.02,1.34,1.76,2.85,50
15,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-16,,,1.68,,3.73,4.38,7.01,4.95,6.02,5.49,1.3,2.74,1.1,0.99,1.49,3.16,33
16,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-17,,,2.0,,4.38,3.97,7.19,4.12,6.9,6.71,1.82,2.63,1.22,1.45,2.04,3.3,35
17,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-18,,,2.14,,4.0,4.31,7.38,4.93,4.83,4.55,1.48,2.24,1.62,1.03,1.34,2.65,40
18,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-19,,,1.94,,4.52,4.72,7.78,4.49,5.95,5.61,1.43,2.48,1.29,1.22,1.53,2.48,41
19,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-20,,,2.13,,5.01,4.33,7.48,4.98,5.05,5.25,1.2,2.23,1.34,0.89,1.61,2.81,40
20,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-21,,,2.64,,3.92,4.34,7.22,3.78,4.65,5.83,1.28,2.74,1.11,1.04,2.05,2.12,47
21,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-22,,,1.61,,4.1,4.21,6.85,5.25,5.07,4.96,1.32,1.75,0.79,0.79,1.64,3.17,40
22,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-23,,,2.42,,4.39,5.15,5.91,4.09,5.61,4.39,1.44,2.01,0.98,1.1,1.1,3.07,35
23,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-24,,,2.11,,3.84,3.95,6.33,3.57,6.14,5.26,1.23,2.53,1.04,1.5,1.15,3.26,22
24,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-25,,,2.21,,3.73,4.46,7.53,3.14,6.43,7.15,1.14,2.42,1.24,0.8,1.04,2.31,30
25,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-26,,,2.01,,3.98,4.56,8.17,4.36,5.86,5.21,1.74,2.83,0.95,,1.16,3.0,26
26,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-27,,,2.04,,4.42,3.57,6.81,4.46,5.34,6.5,1.7,1.87,1.46,1.16,1.7,3.03,32
27,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-28,,,1.86,,3.62,4.76,6.66,3.82,5.2,5.85,1.42,2.43,0.71,0.95,1.62,3.89,25
28,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-29,,,2.46,,2.81,4.29,6.57,3.44,5.06,4.6,1.62,2.39,1.33,0.95,1.79,2.56,33
29,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-30,,,2.52,,4.55,4.82,5.78,3.21,4.97,4.71,1.11,2.91,0.88,1.26,1.76,3.17,25
30,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-01-31,,,2.1,,4.02,3.94,6.27,3.54,4.5,4.79,1.22,2.43,1.18,1.18,1.29,2.73,18
31,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-02-01,,,3.19,,4.21,4.31,8.14,4.0,4.85,5.7,1.66,2.0,1.25,1.76,1.49,3.19,23
32,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-02-02,,,2.05,,4.95,4.11,5.86,3.8,4.17,4.61,1.04,3.23,2.52,1.28,1.72,2.79,15
33,GB,United Kingdom,Lisburn and Castlereagh,GB-LBC,,,ChIJQZTUJSwFYUgRv_t7DVlGEwc,2021-02-03,,,2.07,,3.87,4.41,6.65,4.34,5.33,5.84,1.53,2.24,1.73,,1.63,2.78,26
