,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-01,,,2.74,,6.25,4.46,7.27,5.19,7.25,5.89,1.83,2.51,1.13,1.57,2.27,4.04,206
1,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-02,,,2.2,,5.78,4.73,7.41,5.58,5.78,5.66,2.2,2.72,1.09,1.3,2.51,3.81,452
2,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-03,,,2.68,,6.83,4.66,7.13,6.27,5.7,4.97,2.15,2.0,1.53,1.17,2.64,3.15,414
3,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-04,,,2.2,,6.37,3.74,6.39,6.31,4.4,4.1,1.75,1.88,1.58,1.39,2.31,2.59,523
4,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-05,,,2.62,,6.29,4.51,6.51,6.23,5.42,5.21,1.4,2.16,1.47,1.43,2.04,2.85,401
5,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-06,,,2.25,,5.74,4.7,6.57,5.64,5.05,4.92,1.73,1.71,1.44,1.04,2.13,3.09,360
6,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-07,,,2.5,,5.65,4.24,5.8,5.63,5.38,4.45,1.64,2.11,1.41,1.08,2.15,3.06,307
7,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-08,,,2.02,,5.49,3.88,6.17,5.59,5.36,5.16,2.02,2.29,1.61,1.4,1.98,2.79,268
8,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-09,,,2.69,,5.18,3.87,5.78,5.08,5.63,4.92,2.27,2.19,0.98,1.02,1.84,2.44,221
9,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-10,,,2.52,,5.76,4.23,6.41,4.84,6.15,5.43,2.16,1.93,1.06,1.63,1.65,3.17,196
10,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-11,,,2.15,,5.38,4.41,6.82,4.96,4.43,4.46,1.46,2.35,1.73,1.33,1.63,3.06,299
11,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-12,,,2.64,,5.43,4.41,7.4,5.51,5.57,4.78,1.56,2.47,1.7,1.27,1.73,3.2,231
12,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-13,,,2.31,,5.61,4.39,7.06,5.27,5.4,5.29,1.37,2.52,1.79,1.16,2.02,3.23,229
13,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-14,,,2.36,,5.76,3.82,7.66,5.49,5.51,5.34,1.46,1.94,1.58,1.39,1.79,2.81,239
14,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-15,,,2.53,,4.8,4.26,6.3,4.51,5.04,4.96,1.4,1.98,1.77,1.36,1.95,2.63,196
15,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-16,,,2.18,,5.06,4.33,6.51,4.59,6.73,5.71,1.65,2.14,0.98,0.96,2.06,2.88,170
16,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-17,,,2.73,,4.51,4.56,6.75,4.76,5.49,6.01,1.68,2.15,1.45,1.47,1.53,3.6,129
17,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-18,,,2.79,,5.37,4.21,8.09,5.24,5.97,5.36,1.36,2.16,1.19,1.57,2.18,3.23,232
18,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-19,,,2.54,,5.25,4.22,6.86,5.35,5.79,5.75,1.49,2.22,1.3,1.05,1.72,2.73,178
19,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-20,,,2.23,,4.9,4.79,6.45,4.52,5.18,4.96,1.15,2.18,1.46,1.55,1.4,2.76,157
20,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-21,,,2.15,,4.55,4.28,6.66,4.07,5.16,5.6,1.65,2.48,1.02,1.32,2.07,2.46,164
21,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-22,,,2.4,,5.41,4.59,6.23,4.34,5.31,4.92,1.54,2.21,1.45,1.37,1.84,3.2,124
22,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-23,,,2.35,,4.87,4.48,6.77,4.54,5.81,5.11,1.8,2.25,0.98,1.25,1.7,2.78,136
23,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-24,,,2.46,,5.02,4.27,6.45,4.31,5.59,5.04,1.87,2.5,0.83,1.1,1.67,3.31,92
24,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-25,,,1.96,,4.39,4.28,6.33,4.09,5.2,5.87,1.61,2.48,0.9,0.86,2.21,3.03,119
25,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-26,,,1.85,,4.49,4.38,6.31,4.51,5.26,5.18,1.42,2.18,1.28,1.4,1.68,2.79,121
26,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-27,,,2.09,,4.6,4.04,7.18,4.5,5.36,5.25,1.63,2.09,0.79,1.28,1.71,2.8,89
27,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-28,,,2.18,,4.93,4.38,7.11,5.25,5.5,5.12,1.22,1.83,1.3,1.32,1.6,3.31,105
28,GB,United Kingdom,Medway,GB-MDW,,,ChIJU_bgGgnS2EcRQJ_toi2uDgM,2021-01-29,,,1.76,,4.0,4.29,6.38,4.21,4.83,4.97,1.16,2.46,0.87,1.3,1.43,2.82,79
