,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Mid Ulster,GB-MUL,,,ChIJoaVNT6lhYEgRhD4lwDmJNtw,2021-01-01,,,2.5,,7.14,3.97,7.94,5.25,6.71,4.68,2.03,3.5,1.18,1.09,1.89,3.4,159
1,GB,United Kingdom,Mid Ulster,GB-MUL,,,ChIJoaVNT6lhYEgRhD4lwDmJNtw,2021-01-02,,,2.2,,5.21,3.66,7.0,5.12,5.31,4.03,2.01,2.38,1.88,,1.65,2.93,205
2,GB,United Kingdom,Mid Ulster,GB-MUL,,,ChIJoaVNT6lhYEgRhD4lwDmJNtw,2021-01-03,,,3.4,,6.49,4.55,7.36,5.89,6.16,4.6,2.81,2.44,1.1,1.61,2.07,3.22,160
3,GB,United Kingdom,Mid Ulster,GB-MUL,,,ChIJoaVNT6lhYEgRhD4lwDmJNtw,2021-01-04,,,2.44,,5.74,3.85,5.78,5.01,4.79,4.37,1.84,2.91,1.75,1.33,1.8,3.04,227
4,GB,United Kingdom,Mid Ulster,GB-MUL,,,ChIJoaVNT6lhYEgRhD4lwDmJNtw,2021-01-05,,,1.86,,5.68,3.94,7.75,4.75,5.34,4.7,1.19,2.8,1.65,0.97,1.82,2.92,163
5,GB,United Kingdom,Mid Ulster,GB-MUL,,,ChIJoaVNT6lhYEgRhD4lwDmJNtw,2021-01-06,,,2.3,,4.64,3.36,7.58,4.34,4.68,4.51,1.92,2.68,1.49,,1.87,2.94,154
6,GB,United Kingdom,Mid Ulster,GB-MUL,,,ChIJoaVNT6lhYEgRhD4lwDmJNtw,2021-01-07,,,1.98,,4.92,4.13,8.71,5.01,5.14,4.42,1.77,2.02,1.01,1.09,2.02,2.9,127
7,GB,United Kingdom,Mid Ulster,GB-MUL,,,ChIJoaVNT6lhYEgRhD4lwDmJNtw,2021-01-08,,,1.8,,5.71,4.49,5.54,4.32,4.62,4.62,1.22,2.73,1.01,1.01,1.55,2.94,120
8,GB,United Kingdom,Mid Ulster,GB-MUL,,,ChIJoaVNT6lhYEgRhD4lwDmJNtw,2021-01-09,,,2.34,,5.55,4.72,6.74,4.86,6.33,5.69,1.97,2.06,1.24,0.96,1.74,3.85,129
9,GB,United Kingdom,Mid Ulster,GB-MUL,,,ChIJoaVNT6lhYEgRhD4lwDmJNtw,2021-01-10,,,3.14,,5.45,4.38,8.55,4.69,5.8,5.05,2.44,2.88,1.33,1.2,1.77,2.79,113
10,GB,United Kingdom,Mid Ulster,GB-MUL,,,ChIJoaVNT6lhYEgRhD4lwDmJNtw,2021-01-11,,,1.89,,4.34,4.5,8.48,5.47,5.63,4.42,1.49,3.06,1.0,1.33,1.65,3.3,154
11,GB,United Kingdom,Mid Ulster,GB-MUL,,,ChIJoaVNT6lhYEgRhD4lwDmJNtw,2021-01-12,,,2.42,,5.8,5.13,8.38,4.42,4.75,4.0,2.29,2.34,1.83,1.38,1.96,3.04,129
12,GB,United Kingdom,Mid Ulster,GB-MUL,,,ChIJoaVNT6lhYEgRhD4lwDmJNtw,2021-01-13,,,1.48,,5.46,4.31,7.31,5.75,5.54,4.89,2.05,1.31,,1.23,1.4,2.71,119
13,GB,United Kingdom,Mid Ulster,GB-MUL,,,ChIJoaVNT6lhYEgRhD4lwDmJNtw,2021-01-14,,,2.0,,5.63,4.42,8.1,4.34,4.76,5.13,,2.71,,1.04,1.42,2.63,104
