,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-01,,,2.55,,5.59,3.49,7.2,4.87,6.48,5.68,2.5,2.59,,,1.97,3.35,66
1,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-02,,,2.56,,4.94,5.2,7.32,4.85,5.47,5.86,1.98,2.91,0.93,,1.81,3.4,113
2,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-03,,,2.23,,5.86,4.81,6.87,4.72,5.78,5.38,2.36,1.53,1.36,1.31,2.06,2.93,102
3,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-04,,,1.78,,4.27,4.06,6.84,4.97,5.14,4.73,2.11,2.49,1.08,0.91,1.66,3.07,142
4,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-05,,,1.54,,4.07,4.78,7.56,5.4,5.94,5.36,1.91,2.29,1.08,0.96,2.08,1.75,111
5,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-06,,,1.93,,4.49,3.98,6.42,4.32,5.58,5.49,0.88,1.93,1.43,,1.76,2.68,94
6,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-07,,,2.81,,5.13,3.51,6.57,4.63,5.08,4.79,1.65,2.48,2.03,1.49,1.78,3.1,101
7,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-08,,,1.6,,5.18,3.96,6.03,5.99,5.27,5.1,1.9,2.19,0.89,1.35,,2.91,80
8,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-09,,,2.43,,5.61,4.02,6.31,4.19,5.03,5.7,1.24,2.78,1.06,0.93,1.72,2.87,80
9,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-10,,,2.33,,4.67,4.97,7.61,6.22,5.01,5.01,1.69,2.38,0.91,1.3,2.07,2.68,49
10,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-11,,,1.86,,5.06,4.86,7.61,4.86,5.5,5.42,1.5,2.83,1.13,0.85,1.58,3.52,90
11,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-12,,,2.37,,5.36,3.2,7.18,4.86,5.9,5.27,1.62,3.07,1.41,1.08,1.54,3.24,71
12,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-13,,,2.13,,4.59,4.59,8.03,5.04,5.82,6.39,1.15,2.29,1.19,1.31,1.8,3.03,67
13,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-14,,,2.08,,4.25,3.92,7.67,5.25,5.21,5.88,1.63,1.83,,1.21,1.71,2.29,49
14,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-15,,,2.24,,3.92,3.67,6.92,3.59,6.92,6.16,0.97,1.94,1.05,1.14,1.14,3.46,57
15,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-16,,,2.13,,4.58,4.71,6.88,4.4,5.55,5.78,1.55,3.06,1.47,,1.69,3.38,36
16,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-17,,,2.73,,5.42,4.95,7.81,3.99,5.08,6.03,1.95,2.17,1.26,,1.08,2.69,50
17,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-18,,,1.53,,4.73,4.11,7.76,4.19,5.44,4.77,1.62,3.19,,1.25,1.62,3.19,51
18,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-19,,,2.69,,4.24,4.11,7.33,4.85,5.5,5.86,1.75,2.81,,1.55,1.71,2.97,55
19,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-20,,,2.37,,3.87,5.61,7.27,4.7,5.74,5.36,1.62,2.33,1.08,1.12,1.54,3.33,42
20,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-21,,,2.37,,4.44,5.4,7.77,4.15,5.57,4.94,0.87,2.58,1.04,1.04,1.62,3.41,37
21,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-22,,,1.85,,4.59,3.71,7.37,4.46,4.5,4.67,1.52,2.32,1.14,,1.47,3.41,43
22,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-23,,,2.1,,3.28,4.29,6.7,4.29,4.55,3.41,1.49,2.54,1.01,,1.79,3.06,28
23,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-24,,,2.05,,4.63,4.68,6.91,4.41,6.24,5.61,1.83,2.0,1.16,0.98,1.47,3.48,29
24,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-25,,,2.11,,4.26,4.68,8.2,5.63,5.34,6.42,1.16,2.19,0.95,1.24,1.45,2.24,38
25,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-26,,,2.37,,4.05,5.07,7.4,5.23,5.44,4.62,1.68,2.33,1.35,2.41,1.55,3.15,43
26,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-27,,,2.13,,4.63,4.13,8.3,4.59,5.51,5.46,1.92,2.46,1.08,,1.5,2.34,45
27,GB,United Kingdom,Mid and East Antrim,GB-MEA,,,ChIJrXNHHSKzYUgR1MZ2Fi03uzo,2021-01-28,,,2.27,,4.01,4.94,8.78,3.32,5.54,4.45,1.46,2.51,1.21,1.01,1.62,2.71,31
