,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Midlothian,GB-MLN,,,ChIJZ7buTdWUh0gRMR4ePyT9MbY,2021-01-01,,,2.04,,3.85,4.36,4.19,4.59,6.52,4.99,1.47,2.78,1.3,,1.98,3.63,12
1,GB,United Kingdom,Midlothian,GB-MLN,,,ChIJZ7buTdWUh0gRMR4ePyT9MbY,2021-01-02,,,2.73,,4.76,3.31,4.92,3.15,5.03,3.74,2.03,1.93,,1.12,2.08,2.73,31
2,GB,United Kingdom,Midlothian,GB-MLN,,,ChIJZ7buTdWUh0gRMR4ePyT9MbY,2021-01-03,,,2.11,,5.65,5.28,7.02,3.43,4.64,5.17,1.48,3.27,1.21,1.48,2.32,3.43,39
3,GB,United Kingdom,Midlothian,GB-MLN,,,ChIJZ7buTdWUh0gRMR4ePyT9MbY,2021-01-04,,,2.33,,4.6,3.74,5.41,5.01,4.7,4.2,1.77,2.07,1.36,,2.33,3.34,19
4,GB,United Kingdom,Midlothian,GB-MLN,,,ChIJZ7buTdWUh0gRMR4ePyT9MbY,2021-01-05,,,2.38,,4.6,5.12,6.46,5.22,6.62,5.94,1.45,2.12,1.24,1.29,1.55,2.43,40
5,GB,United Kingdom,Midlothian,GB-MLN,,,ChIJZ7buTdWUh0gRMR4ePyT9MbY,2021-01-06,,,1.5,,3.82,3.98,7.54,4.75,5.32,4.39,1.34,2.07,1.24,1.08,,2.48,31
6,GB,United Kingdom,Midlothian,GB-MLN,,,ChIJZ7buTdWUh0gRMR4ePyT9MbY,2021-01-07,,,1.94,,4.54,2.85,6.12,5.0,4.84,4.59,1.43,2.09,,,1.68,2.96,21
7,GB,United Kingdom,Midlothian,GB-MLN,,,ChIJZ7buTdWUh0gRMR4ePyT9MbY,2021-01-08,,,1.93,,4.65,4.44,7.36,3.86,5.17,3.92,,2.87,1.15,,1.46,2.98,8
8,GB,United Kingdom,Midlothian,GB-MLN,,,ChIJZ7buTdWUh0gRMR4ePyT9MbY,2021-01-09,,,3.06,,4.65,4.44,6.34,3.81,5.29,5.34,1.69,1.85,,1.27,1.74,2.48,15
9,GB,United Kingdom,Midlothian,GB-MLN,,,ChIJZ7buTdWUh0gRMR4ePyT9MbY,2021-01-10,,,2.02,,4.71,4.35,6.73,3.78,4.87,3.83,1.24,1.97,,,1.71,3.47,14
