,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Milton Keynes,GB-MIK,,,ChIJPbtYnTiqd0gRgJ_Du6gcDgM,2021-01-01,,,2.17,,5.27,4.38,6.33,4.68,5.53,4.77,2.03,2.63,1.09,1.39,2.05,3.6,249
1,GB,United Kingdom,Milton Keynes,GB-MIK,,,ChIJPbtYnTiqd0gRgJ_Du6gcDgM,2021-01-02,,,2.19,,5.1,3.98,6.57,4.59,5.21,4.57,1.98,1.9,1.25,1.02,1.84,2.82,351
2,GB,United Kingdom,Milton Keynes,GB-MIK,,,ChIJPbtYnTiqd0gRgJ_Du6gcDgM,2021-01-03,,,1.76,,5.28,4.16,6.38,5.1,5.47,5.0,2.11,2.47,1.08,1.37,1.45,3.07,325
3,GB,United Kingdom,Milton Keynes,GB-MIK,,,ChIJPbtYnTiqd0gRgJ_Du6gcDgM,2021-01-04,,,1.88,,5.31,3.47,5.17,5.09,4.47,4.71,1.43,2.07,1.33,0.79,1.88,2.79,428
4,GB,United Kingdom,Milton Keynes,GB-MIK,,,ChIJPbtYnTiqd0gRgJ_Du6gcDgM,2021-01-05,,,1.64,,4.52,3.2,5.52,5.26,4.74,4.17,1.38,1.92,1.49,1.04,1.44,2.77,375
5,GB,United Kingdom,Milton Keynes,GB-MIK,,,ChIJPbtYnTiqd0gRgJ_Du6gcDgM,2021-01-06,,,2.19,,4.92,3.69,6.4,5.44,4.73,4.79,1.4,1.84,1.58,1.58,1.58,2.43,282
6,GB,United Kingdom,Milton Keynes,GB-MIK,,,ChIJPbtYnTiqd0gRgJ_Du6gcDgM,2021-01-07,,,1.75,,4.92,3.94,6.08,5.14,4.29,4.34,1.46,1.72,1.08,1.39,1.89,2.52,283
7,GB,United Kingdom,Milton Keynes,GB-MIK,,,ChIJPbtYnTiqd0gRgJ_Du6gcDgM,2021-01-08,,,1.64,,4.8,3.26,5.6,4.87,4.52,4.26,1.43,2.18,1.31,1.24,1.66,2.3,290
8,GB,United Kingdom,Milton Keynes,GB-MIK,,,ChIJPbtYnTiqd0gRgJ_Du6gcDgM,2021-01-09,,,2.03,,4.88,3.92,5.83,4.5,4.71,4.55,1.43,2.1,1.1,1.31,1.52,2.7,203
9,GB,United Kingdom,Milton Keynes,GB-MIK,,,ChIJPbtYnTiqd0gRgJ_Du6gcDgM,2021-01-10,,,1.94,,4.79,3.9,6.72,4.44,4.63,4.38,1.9,1.86,0.91,1.05,1.69,2.48,178
10,GB,United Kingdom,Milton Keynes,GB-MIK,,,ChIJPbtYnTiqd0gRgJ_Du6gcDgM,2021-01-11,,,2.04,,4.88,3.29,6.46,4.7,5.14,4.95,1.49,2.09,1.32,1.29,1.61,3.17,254
11,GB,United Kingdom,Milton Keynes,GB-MIK,,,ChIJPbtYnTiqd0gRgJ_Du6gcDgM,2021-01-12,,,2.0,,4.77,3.69,6.54,4.65,4.74,4.79,1.34,2.03,1.69,1.24,1.57,2.7,257
12,GB,United Kingdom,Milton Keynes,GB-MIK,,,ChIJPbtYnTiqd0gRgJ_Du6gcDgM,2021-01-13,,,1.76,,4.79,4.11,6.44,4.82,5.34,4.65,1.59,1.86,1.21,1.14,1.38,2.63,250
13,GB,United Kingdom,Milton Keynes,GB-MIK,,,ChIJPbtYnTiqd0gRgJ_Du6gcDgM,2021-01-14,,,1.99,,4.19,3.92,6.29,4.22,4.65,4.67,1.08,1.65,0.94,1.19,1.68,2.39,226
