,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Monmouthshire,GB-MON,,,ChIJlUugHBMebkgROLnkYuEj4DI,2021-01-01,,,2.19,,5.72,4.83,6.5,3.99,6.63,5.02,,2.57,,,1.8,4.57,27
1,GB,United Kingdom,Monmouthshire,GB-MON,,,ChIJlUugHBMebkgROLnkYuEj4DI,2021-01-02,,,3.44,,3.88,4.88,7.0,4.19,4.44,4.88,,2.0,,,2.56,1.5,33
2,GB,United Kingdom,Monmouthshire,GB-MON,,,ChIJlUugHBMebkgROLnkYuEj4DI,2021-01-03,,,2.0,,4.49,4.68,7.04,4.43,4.99,4.68,2.37,1.81,,,1.87,2.37,34
3,GB,United Kingdom,Monmouthshire,GB-MON,,,ChIJlUugHBMebkgROLnkYuEj4DI,2021-01-04,,,2.56,,2.73,5.53,6.22,3.72,5.47,4.89,,1.98,,,,1.75,75
4,GB,United Kingdom,Monmouthshire,GB-MON,,,ChIJlUugHBMebkgROLnkYuEj4DI,2021-01-05,,,1.99,,4.89,3.69,5.98,4.83,5.02,5.32,1.63,2.3,,,1.87,2.96,28
5,GB,United Kingdom,Monmouthshire,GB-MON,,,ChIJlUugHBMebkgROLnkYuEj4DI,2021-01-06,,,2.54,,4.59,4.65,6.4,4.71,5.2,4.95,,1.69,,,1.63,2.66,61
6,GB,United Kingdom,Monmouthshire,GB-MON,,,ChIJlUugHBMebkgROLnkYuEj4DI,2021-01-07,,,1.62,,3.97,4.09,7.21,5.05,4.09,5.71,1.32,1.26,,,1.44,2.4,34
7,GB,United Kingdom,Monmouthshire,GB-MON,,,ChIJlUugHBMebkgROLnkYuEj4DI,2021-01-08,,,2.9,,4.23,3.39,7.74,4.78,3.45,5.2,,1.94,,,1.57,1.88,27
8,GB,United Kingdom,Monmouthshire,GB-MON,,,ChIJlUugHBMebkgROLnkYuEj4DI,2021-01-09,,,1.85,,4.22,3.64,7.22,4.73,5.18,4.79,1.92,2.49,,,,1.66,17
9,GB,United Kingdom,Monmouthshire,GB-MON,,,ChIJlUugHBMebkgROLnkYuEj4DI,2021-01-10,,,2.22,,3.55,3.61,8.3,4.69,5.57,5.26,,2.53,,,1.71,3.55,21
