,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-01,,,3.45,,4.32,4.96,5.61,4.32,6.33,5.04,,1.65,,,2.45,3.38,8
1,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-02,,,2.66,,4.12,5.25,6.25,4.39,4.92,3.72,,3.19,,,2.92,3.52,11
2,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-03,,,2.91,,5.01,3.46,7.18,4.2,4.81,4.81,1.42,3.25,,,2.03,3.93,11
3,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-04,,,2.56,,5.37,3.2,6.59,4.03,4.48,3.84,,1.53,,,1.73,2.24,26
4,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-05,,,1.8,,4.19,3.93,7.35,4.9,4.64,4.64,,2.71,,,1.93,2.58,31
5,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-06,,,1.37,,4.84,3.14,5.75,5.36,6.34,5.49,,2.48,,,2.09,1.7,22
6,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-07,,,2.24,,4.28,4.6,6.64,4.67,3.49,4.47,,2.17,,,1.71,3.29,26
7,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-08,,,,,3.18,5.3,6.89,3.84,5.1,4.7,,2.32,,,,2.19,26
8,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-09,,,1.48,,2.9,3.7,6.6,5.05,6.73,4.51,,1.82,,,1.95,2.22,10
9,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-10,,,1.79,,3.98,5.04,8.3,4.25,5.91,4.25,1.86,1.73,,,1.93,3.25,4
10,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-11,,,2.54,,2.91,3.51,7.03,4.67,3.88,4.12,,3.21,,,1.33,2.97,11
11,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-12,,,2.01,,4.65,3.77,7.04,2.83,6.22,5.28,,2.2,,,1.76,2.01,19
12,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-13,,,2.3,,3.97,3.41,7.57,4.1,6.33,5.52,,1.49,,,,2.79,9
13,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-14,,,2.13,,3.31,3.56,6.44,4.25,4.38,5.19,1.44,,,,1.44,3.06,24
14,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-15,,,1.96,,3.26,4.37,6.2,3.2,4.04,4.24,,1.76,,,1.44,1.37,13
15,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-16,,,1.76,,3.79,5.0,6.49,3.79,4.13,4.46,1.69,2.1,,,1.49,3.04,10
16,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-17,,,1.61,,4.17,4.71,6.12,4.24,5.32,6.39,,2.83,,,1.68,2.96,31
17,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-18,,,3.79,,3.79,4.04,6.57,4.23,3.92,3.6,,1.64,,,2.65,1.96,22
18,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-19,,,2.28,,3.49,5.2,7.67,3.62,5.39,5.45,1.46,2.66,,,,3.11,18
19,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-20,,,1.9,,3.23,5.32,6.46,3.86,5.57,4.37,,1.9,,,,1.84,9
20,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-21,,,1.63,,3.88,3.0,6.51,4.57,6.45,6.07,1.56,2.75,,,1.44,2.63,16
21,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-22,,,2.02,,4.7,3.72,7.11,3.33,4.18,3.92,1.5,2.02,,,1.63,2.74,24
22,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-23,,,2.25,,3.47,4.29,6.13,4.09,5.04,5.65,1.43,2.52,,,,3.07,12
23,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-24,,,2.31,,3.6,3.12,6.66,4.21,5.03,4.96,1.76,2.65,,,2.04,2.72,11
24,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-25,,,1.66,,3.83,5.62,5.49,4.79,5.43,6.33,1.79,1.85,,,1.47,2.3,17
25,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-26,,,2.64,,4.32,3.74,8.12,2.96,4.96,4.06,,1.93,,,1.61,2.51,23
26,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-27,,,2.88,,4.42,3.84,7.56,3.84,5.25,4.61,1.47,3.14,,,,2.37,7
27,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-28,,,2.11,,3.64,3.07,6.46,3.39,5.24,4.47,1.66,1.6,,,2.04,3.32,12
28,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-29,,,2.62,,4.2,3.21,6.23,3.87,4.0,4.13,1.38,2.36,,,,3.28,16
29,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-30,,,2.15,,4.03,4.65,5.9,4.38,5.0,3.96,2.78,2.5,,,1.67,3.47,2
30,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-01-31,,,2.98,,4.08,4.57,5.12,3.32,6.02,5.12,1.94,4.22,,,1.87,2.49,9
31,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-02-01,,,1.94,,3.81,3.62,7.49,3.81,5.1,4.07,,2.13,,,1.55,2.65,18
32,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-02-02,,,2.06,,4.06,4.06,6.25,3.67,3.8,4.45,,1.55,,,1.74,2.38,15
33,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-02-03,,,,,3.57,3.9,8.18,2.66,4.35,3.96,,1.95,,,1.75,2.86,6
34,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-02-04,,,1.87,,3.54,4.32,7.86,3.03,5.03,3.8,,1.68,,,,1.93,18
35,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-02-05,,,1.93,,2.6,4.0,5.67,3.27,4.47,3.47,,1.93,,,,2.2,4
36,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-02-06,,,,,2.81,4.52,7.73,3.22,5.13,4.59,1.51,1.71,,,1.44,2.88,9
37,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-02-07,,,2.21,,2.97,3.45,6.49,4.0,5.45,4.97,,,,,1.52,2.42,6
38,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-02-08,,,1.67,,2.93,4.46,7.46,4.8,6.79,5.53,,1.86,,,,3.8,13
39,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-02-09,,,,,2.59,3.58,7.57,2.92,4.58,4.05,,3.12,,,,2.26,8
40,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-02-10,,,,,3.74,3.74,5.08,2.87,4.81,4.14,,1.8,,,,3.07,12
41,GB,United Kingdom,Moray,GB-MRY,,,ChIJYchqHiUMhUgRiqJTVJBl-eU,2021-02-11,,,1.54,,3.42,4.09,7.65,3.56,5.44,4.56,,2.01,,,,1.68,10
