,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-01,,,2.64,,5.25,4.68,6.29,3.79,5.5,4.68,2.61,2.75,1.5,1.64,2.68,3.46,64
1,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-02,,,2.15,,5.87,4.38,6.18,4.17,4.73,4.73,1.35,2.68,1.46,1.46,1.91,2.78,92
2,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-03,,,2.01,,5.19,4.6,7.58,4.74,5.82,5.57,1.7,2.25,1.87,1.49,1.49,2.91,84
3,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-04,,,2.25,,5.0,3.36,6.65,4.15,5.0,4.97,1.8,2.03,1.2,1.08,2.38,3.07,119
4,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-05,,,2.59,,5.31,3.92,6.44,4.08,4.3,4.4,1.65,2.17,1.59,1.17,1.68,3.24,134
5,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-06,,,2.35,,4.96,4.29,7.47,4.45,4.71,4.83,1.59,2.32,1.11,0.89,1.88,3.09,128
6,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-07,,,2.21,,4.73,3.41,6.72,4.64,5.55,5.05,1.36,2.11,1.04,0.76,1.61,2.9,74
7,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-08,,,1.95,,4.66,3.89,5.87,5.17,4.66,4.05,1.53,2.1,1.08,1.18,1.95,2.55,71
8,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-09,,,1.8,,4.3,3.92,5.83,4.27,4.72,4.65,2.15,1.74,,1.04,1.91,2.26,64
9,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-10,,,2.49,,4.35,4.01,7.64,4.53,5.53,5.04,1.94,2.56,0.9,,1.62,2.45,66
10,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-11,,,1.6,,4.21,4.3,7.22,5.12,4.99,5.18,1.91,2.54,1.19,1.25,1.85,2.6,79
11,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-12,,,1.87,,4.76,4.41,7.46,3.9,5.17,4.92,1.01,2.35,1.78,1.14,2.0,1.81,49
12,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-13,,,1.81,,4.57,4.32,6.63,4.41,5.4,5.87,1.33,2.44,1.4,0.86,1.65,2.92,69
13,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-14,,,2.55,,4.02,3.29,7.18,4.53,5.49,5.23,1.12,2.08,0.8,0.93,1.95,3.13,88
14,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-15,,,2.1,,3.78,4.59,6.3,3.75,4.97,5.01,1.39,2.39,0.78,1.13,1.1,3.04,75
15,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-16,,,1.82,,4.28,3.58,6.38,3.79,5.99,5.54,1.12,2.35,0.88,0.98,1.68,2.45,74
16,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-17,,,2.35,,4.47,4.54,6.02,3.08,5.43,6.4,1.9,2.6,1.0,1.49,1.73,3.36,46
17,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-18,,,2.27,,4.45,4.8,6.82,4.36,4.99,4.99,1.07,1.96,0.88,1.39,1.42,2.62,83
18,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-19,,,2.14,,4.4,3.96,7.51,4.02,4.81,4.87,1.7,2.23,0.94,0.88,1.54,3.33,54
19,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-20,,,2.98,,3.95,4.58,6.05,4.61,6.05,6.02,1.47,1.72,1.03,0.85,1.57,2.66,45
20,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-21,,,2.15,,3.82,3.88,7.19,3.82,5.01,5.01,1.16,2.31,0.8,1.28,1.64,2.89,45
21,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-22,,,2.38,,3.45,3.74,5.83,3.32,5.25,5.06,1.16,1.97,1.22,1.09,1.35,2.51,35
22,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-23,,,1.87,,4.29,4.29,6.75,4.36,5.65,4.61,2.08,1.97,1.14,1.14,2.04,3.01,27
23,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-24,,,2.75,,3.87,3.14,5.13,2.89,4.95,4.95,1.16,2.17,0.9,1.48,1.63,2.67,21
24,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-25,,,2.0,,3.96,4.05,6.37,4.28,4.89,5.18,1.48,1.9,0.9,1.16,1.45,2.64,45
25,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-26,,,1.75,,4.54,4.44,7.39,4.63,4.73,4.6,1.33,2.06,1.52,1.49,0.98,2.82,35
26,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-27,,,2.08,,3.63,4.26,6.53,4.54,5.49,5.27,1.8,1.83,0.82,1.36,0.72,2.43,37
27,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-28,,,2.51,,3.83,3.86,6.97,4.12,3.99,4.81,1.54,2.39,1.0,1.04,1.48,2.1,30
28,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-29,,,2.36,,3.23,4.39,6.36,3.68,4.2,5.1,1.0,2.1,1.03,1.0,1.45,3.36,27
29,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-30,,,2.24,,3.76,4.82,5.59,3.36,5.22,5.25,1.22,1.76,0.98,,1.66,2.75,22
30,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-01-31,,,1.95,,4.68,4.75,6.18,3.21,5.06,4.65,1.02,2.73,1.37,1.37,1.64,3.38,21
31,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-02-01,,,2.46,,5.28,4.08,8.18,2.72,6.03,4.9,1.17,2.21,1.26,1.01,1.67,2.72,29
32,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-02-02,,,2.46,,4.33,3.88,6.88,3.38,5.3,4.99,1.2,2.27,2.15,1.48,1.67,2.49,22
33,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-02-03,,,1.9,,3.99,3.09,6.67,3.64,4.83,5.02,1.32,2.16,1.9,1.0,1.45,2.38,28
34,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-02-04,,,2.26,,4.62,3.79,7.7,3.47,5.32,4.97,1.4,2.42,,1.27,1.59,2.55,19
35,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-02-05,,,1.98,,3.38,4.25,6.82,3.86,4.12,4.84,1.01,2.27,0.88,1.66,1.72,2.21,31
36,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-02-06,,,2.46,,3.67,3.71,6.34,2.74,5.86,4.85,1.28,1.94,1.04,,1.59,2.42,18
37,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-02-07,,,2.12,,3.66,4.67,6.83,3.66,5.33,3.9,1.39,2.4,,,1.53,3.34,15
38,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-02-08,,,2.35,,4.33,4.14,5.89,3.47,5.16,5.06,1.24,2.35,0.95,0.99,1.78,3.02,22
39,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-02-09,,,1.68,,4.22,4.06,6.61,3.77,4.9,4.9,1.23,2.0,,1.32,1.81,2.35,27
40,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-02-10,,,2.07,,4.01,3.88,6.89,3.43,4.69,4.98,1.42,2.07,0.71,0.78,1.39,2.1,22
41,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-02-11,,,1.78,,3.92,3.43,6.87,4.21,4.92,4.76,1.26,2.79,1.46,1.33,1.78,2.56,18
42,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-02-12,,,1.84,,3.44,3.91,6.24,3.61,4.74,4.37,1.37,2.07,0.77,0.73,1.7,2.1,13
43,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-02-13,,,1.49,,3.57,3.22,6.61,3.5,3.82,3.96,1.8,2.12,0.92,1.31,1.45,2.69,19
44,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-02-14,,,1.96,,3.96,3.49,6.81,4.03,4.45,4.06,1.14,1.78,1.03,1.1,1.53,2.35,15
45,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-02-15,,,2.17,,3.96,3.05,6.78,4.24,5.22,4.91,1.12,2.3,,1.49,1.56,2.58,33
46,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-02-16,,,1.9,,3.59,3.96,6.85,3.86,5.22,4.52,1.3,3.09,1.03,0.9,1.73,2.89,21
47,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-02-17,,,2.26,,3.91,3.0,7.71,4.01,6.4,5.89,0.91,2.15,0.84,0.81,1.99,1.82,24
48,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-02-18,,,2.02,,3.78,4.42,6.48,4.05,4.79,4.83,1.32,2.19,1.45,0.94,1.25,2.23,23
49,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-02-19,,,2.71,,3.31,4.04,6.92,3.58,5.18,5.05,1.27,2.77,,0.87,,2.51,10
50,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-02-20,,,2.29,,4.05,3.85,5.99,2.98,5.41,5.27,0.97,3.08,1.0,0.76,1.39,2.98,8
51,GB,United Kingdom,Newport,GB-NWP,,,ChIJ5YhihIXmcUgRwKGZ1COLDQM,2021-02-21,,,1.87,,3.95,4.43,8.13,4.12,5.19,4.85,1.8,2.7,,1.18,1.56,3.25,24
