,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,"Newry, Mourne and Down",GB-NMD,,,ChIJz4eCb5YmYUgRHl-FT4Lt9kA,2021-01-01,,,3.28,,5.81,5.14,7.38,5.07,6.15,4.06,2.23,2.98,1.49,1.27,1.94,4.43,158
1,GB,United Kingdom,"Newry, Mourne and Down",GB-NMD,,,ChIJz4eCb5YmYUgRHl-FT4Lt9kA,2021-01-02,,,3.25,,5.0,5.65,7.62,5.29,6.12,4.7,2.3,2.95,1.35,1.6,1.97,3.46,240
2,GB,United Kingdom,"Newry, Mourne and Down",GB-NMD,,,ChIJz4eCb5YmYUgRHl-FT4Lt9kA,2021-01-03,,,2.35,,5.85,4.22,7.97,5.63,5.2,4.66,2.49,3.07,1.01,0.87,2.06,3.21,223
3,GB,United Kingdom,"Newry, Mourne and Down",GB-NMD,,,ChIJz4eCb5YmYUgRHl-FT4Lt9kA,2021-01-04,,,2.21,,6.11,4.38,6.55,5.67,5.16,4.21,1.66,2.89,0.95,1.09,2.72,3.46,302
4,GB,United Kingdom,"Newry, Mourne and Down",GB-NMD,,,ChIJz4eCb5YmYUgRHl-FT4Lt9kA,2021-01-05,,,2.35,,5.66,3.82,7.19,5.56,5.35,4.84,1.77,2.08,1.64,1.02,2.18,2.69,234
5,GB,United Kingdom,"Newry, Mourne and Down",GB-NMD,,,ChIJz4eCb5YmYUgRHl-FT4Lt9kA,2021-01-06,,,2.43,,4.96,4.56,6.31,5.47,5.0,5.94,2.02,2.29,1.11,,1.55,2.4,198
6,GB,United Kingdom,"Newry, Mourne and Down",GB-NMD,,,ChIJz4eCb5YmYUgRHl-FT4Lt9kA,2021-01-07,,,2.36,,5.57,4.22,7.79,5.67,5.43,5.19,1.58,2.36,1.62,0.78,2.23,3.2,155
7,GB,United Kingdom,"Newry, Mourne and Down",GB-NMD,,,ChIJz4eCb5YmYUgRHl-FT4Lt9kA,2021-01-08,,,2.6,,4.52,3.66,6.09,4.28,5.17,4.21,1.68,2.5,1.4,,1.88,2.12,190
8,GB,United Kingdom,"Newry, Mourne and Down",GB-NMD,,,ChIJz4eCb5YmYUgRHl-FT4Lt9kA,2021-01-09,,,2.05,,4.54,4.47,5.06,4.65,6.59,5.39,1.98,3.33,1.5,0.84,1.83,2.9,128
9,GB,United Kingdom,"Newry, Mourne and Down",GB-NMD,,,ChIJz4eCb5YmYUgRHl-FT4Lt9kA,2021-01-10,,,2.26,,6.05,4.44,6.81,4.84,5.16,4.51,2.04,1.29,1.61,1.07,1.83,3.01,124
10,GB,United Kingdom,"Newry, Mourne and Down",GB-NMD,,,ChIJz4eCb5YmYUgRHl-FT4Lt9kA,2021-01-11,,,1.77,,5.48,5.19,6.99,5.83,5.29,4.35,1.8,2.64,1.32,1.35,2.0,3.06,148
11,GB,United Kingdom,"Newry, Mourne and Down",GB-NMD,,,ChIJz4eCb5YmYUgRHl-FT4Lt9kA,2021-01-12,,,2.55,,5.33,4.76,8.35,4.56,4.72,4.52,2.35,2.61,1.07,1.41,2.51,3.25,103
12,GB,United Kingdom,"Newry, Mourne and Down",GB-NMD,,,ChIJz4eCb5YmYUgRHl-FT4Lt9kA,2021-01-13,,,2.54,,5.29,4.96,7.07,5.09,5.06,5.26,1.62,2.51,1.26,1.39,1.92,3.34,124
