,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,North Lanarkshire,GB-NLK,,,ChIJXYIxhgFsiEgRU5MEdnHLRng,2021-01-01,,,2.11,,4.52,4.33,5.51,3.53,5.98,4.18,1.65,2.71,0.86,0.83,2.01,3.53,124
1,GB,United Kingdom,North Lanarkshire,GB-NLK,,,ChIJXYIxhgFsiEgRU5MEdnHLRng,2021-01-02,,,2.01,0.33,4.1,3.96,5.22,3.3,4.89,4.21,1.63,1.98,0.51,1.03,1.83,2.74,221
2,GB,United Kingdom,North Lanarkshire,GB-NLK,,,ChIJXYIxhgFsiEgRU5MEdnHLRng,2021-01-03,,,2.09,0.5,4.54,4.63,6.07,3.92,4.44,3.91,1.71,2.24,0.8,1.26,1.98,2.94,198
3,GB,United Kingdom,North Lanarkshire,GB-NLK,,,ChIJXYIxhgFsiEgRU5MEdnHLRng,2021-01-04,,,1.84,0.39,4.69,4.25,5.56,3.94,4.43,4.18,1.43,1.69,0.82,1.01,1.62,2.26,177
4,GB,United Kingdom,North Lanarkshire,GB-NLK,,,ChIJXYIxhgFsiEgRU5MEdnHLRng,2021-01-05,,,2.11,0.35,4.9,4.03,6.08,3.67,5.16,5.13,1.19,2.15,1.12,1.3,1.68,2.58,258
5,GB,United Kingdom,North Lanarkshire,GB-NLK,,,ChIJXYIxhgFsiEgRU5MEdnHLRng,2021-01-06,,,2.19,0.35,4.14,3.48,6.42,3.85,4.8,4.63,1.38,2.09,0.99,1.09,1.66,2.48,246
6,GB,United Kingdom,North Lanarkshire,GB-NLK,,,ChIJXYIxhgFsiEgRU5MEdnHLRng,2021-01-07,,,1.92,0.38,3.7,4.61,5.46,3.74,5.36,5.53,1.12,2.21,0.99,0.83,1.67,2.42,207
7,GB,United Kingdom,North Lanarkshire,GB-NLK,,,ChIJXYIxhgFsiEgRU5MEdnHLRng,2021-01-08,,,1.69,0.32,3.85,3.69,5.69,3.25,5.0,4.99,1.43,1.88,0.68,0.81,1.62,2.44,164
8,GB,United Kingdom,North Lanarkshire,GB-NLK,,,ChIJXYIxhgFsiEgRU5MEdnHLRng,2021-01-09,,,2.27,,3.56,4.26,5.58,3.79,4.92,4.8,1.38,1.74,0.65,1.2,1.8,2.32,159
9,GB,United Kingdom,North Lanarkshire,GB-NLK,,,ChIJXYIxhgFsiEgRU5MEdnHLRng,2021-01-10,,,2.09,0.38,4.3,4.19,6.2,3.78,5.25,5.04,1.27,1.97,0.72,0.7,1.39,2.09,128
