,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,North Somerset,GB-NSM,,,ChIJddC0Ns3wcUgR4J-Z1COLDQM,2021-01-01,,,2.12,,4.61,3.91,5.76,5.01,6.22,4.69,1.37,2.12,1.37,1.26,1.9,3.54,66
1,GB,United Kingdom,North Somerset,GB-NSM,,,ChIJddC0Ns3wcUgR4J-Z1COLDQM,2021-01-02,,,1.69,,4.72,4.01,6.33,4.72,5.04,4.38,2.14,2.61,1.03,1.03,1.77,3.17,102
2,GB,United Kingdom,North Somerset,GB-NSM,,,ChIJddC0Ns3wcUgR4J-Z1COLDQM,2021-01-03,,,2.24,,5.05,4.27,7.24,4.72,5.26,3.86,1.59,2.11,1.54,1.35,1.93,2.66,94
3,GB,United Kingdom,North Somerset,GB-NSM,,,ChIJddC0Ns3wcUgR4J-Z1COLDQM,2021-01-04,,,2.27,,4.57,3.64,5.53,4.64,4.91,4.33,0.89,2.08,1.39,0.91,1.53,2.63,168
4,GB,United Kingdom,North Somerset,GB-NSM,,,ChIJddC0Ns3wcUgR4J-Z1COLDQM,2021-01-05,,,2.21,,4.42,4.15,5.88,4.35,4.83,4.74,1.34,2.21,1.0,0.85,1.63,2.99,155
5,GB,United Kingdom,North Somerset,GB-NSM,,,ChIJddC0Ns3wcUgR4J-Z1COLDQM,2021-01-06,,,2.02,,5.21,3.17,6.4,5.5,5.19,5.45,1.12,1.49,0.85,1.22,1.9,2.07,117
6,GB,United Kingdom,North Somerset,GB-NSM,,,ChIJddC0Ns3wcUgR4J-Z1COLDQM,2021-01-07,,,1.78,,4.45,3.42,6.08,4.54,4.42,4.94,1.71,2.2,0.98,1.07,1.78,2.81,112
7,GB,United Kingdom,North Somerset,GB-NSM,,,ChIJddC0Ns3wcUgR4J-Z1COLDQM,2021-01-08,,,1.44,,4.76,3.59,6.69,4.42,4.59,4.15,0.78,2.02,0.93,0.78,1.83,1.85,104
8,GB,United Kingdom,North Somerset,GB-NSM,,,ChIJddC0Ns3wcUgR4J-Z1COLDQM,2021-01-09,,,1.76,,5.43,3.96,5.91,4.75,4.25,4.86,2.0,2.1,1.02,1.44,1.57,2.55,153
9,GB,United Kingdom,North Somerset,GB-NSM,,,ChIJddC0Ns3wcUgR4J-Z1COLDQM,2021-01-10,,,2.24,,4.74,4.06,7.5,5.18,5.39,5.21,0.91,1.95,1.27,1.15,1.77,2.47,91
10,GB,United Kingdom,North Somerset,GB-NSM,,,ChIJddC0Ns3wcUgR4J-Z1COLDQM,2021-01-11,,,2.22,,4.72,3.93,7.13,5.55,4.79,4.36,1.1,1.53,0.95,1.14,1.33,2.67,176
11,GB,United Kingdom,North Somerset,GB-NSM,,,ChIJddC0Ns3wcUgR4J-Z1COLDQM,2021-01-12,,,1.82,,4.68,4.05,6.91,6.43,4.95,4.9,1.09,2.47,1.19,1.07,0.97,2.55,110
12,GB,United Kingdom,North Somerset,GB-NSM,,,ChIJddC0Ns3wcUgR4J-Z1COLDQM,2021-01-13,,,1.57,,4.92,4.34,6.76,5.41,5.43,5.31,1.23,1.79,0.89,1.28,1.5,2.34,136
13,GB,United Kingdom,North Somerset,GB-NSM,,,ChIJddC0Ns3wcUgR4J-Z1COLDQM,2021-01-14,,,1.84,,4.16,4.36,7.55,5.06,4.6,4.58,1.26,2.69,1.19,1.38,1.55,2.95,112
14,GB,United Kingdom,North Somerset,GB-NSM,,,ChIJddC0Ns3wcUgR4J-Z1COLDQM,2021-01-15,,,1.64,,4.38,4.13,6.28,5.18,4.73,4.53,1.39,1.62,1.17,1.05,1.29,2.42,82
15,GB,United Kingdom,North Somerset,GB-NSM,,,ChIJddC0Ns3wcUgR4J-Z1COLDQM,2021-01-16,,,2.06,,3.54,4.25,6.15,4.91,6.04,5.25,1.19,2.22,1.03,1.37,1.45,2.37,87
