,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-01,,,2.15,,4.73,4.16,6.33,3.95,5.41,4.12,1.93,2.07,1.25,1.5,1.84,3.63,86
1,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-02,,,2.01,0.51,5.24,3.74,5.2,3.45,4.92,4.1,2.28,2.09,0.89,1.27,2.09,3.28,249
2,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-03,,,2.43,,5.25,3.63,6.5,4.16,4.9,4.72,1.66,2.23,1.05,1.31,2.25,3.15,209
3,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-04,,,2.07,,4.71,4.86,5.92,4.4,4.32,4.03,1.25,2.51,1.29,1.34,2.13,2.88,316
4,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-05,,,2.18,0.62,5.24,3.69,6.39,4.31,5.1,5.05,1.34,2.13,1.52,1.08,1.9,2.74,241
5,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-06,,,1.98,,4.84,3.63,6.77,4.26,5.45,5.48,1.6,2.22,0.99,1.09,1.91,2.62,273
6,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-07,,,2.1,0.39,4.72,4.25,6.04,4.06,4.86,4.16,1.45,1.99,0.93,1.2,1.62,2.75,245
7,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-08,,,2.11,,5.37,3.88,6.24,4.08,5.03,5.23,1.4,1.98,1.19,1.4,1.88,3.14,212
8,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-09,,,1.76,,4.94,3.54,5.85,3.84,5.0,4.66,1.6,2.06,1.32,0.98,2.08,2.76,161
9,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-10,,,2.28,,5.47,4.5,6.62,4.66,4.91,4.36,1.88,2.35,1.56,1.09,1.82,3.17,162
10,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-11,,,2.12,0.44,5.63,4.84,7.28,4.7,5.65,5.01,1.48,2.69,1.42,1.39,1.63,3.16,249
11,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-12,,,2.12,,5.56,4.64,6.44,5.23,4.63,4.83,1.49,2.75,1.72,1.62,1.84,3.16,223
12,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-13,,,2.06,0.37,5.26,4.05,6.71,4.07,5.87,5.71,1.47,2.31,1.41,1.51,1.79,3.19,216
13,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-14,,,1.73,,4.52,3.45,6.57,4.61,4.73,5.14,1.38,1.73,1.49,1.1,1.69,2.82,206
14,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-15,,,1.88,0.45,4.25,3.55,6.33,4.21,4.72,4.63,1.36,2.38,1.14,1.42,1.8,2.88,181
15,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-16,,,2.08,,5.07,3.61,6.58,4.38,5.77,5.22,2.25,1.99,1.41,1.25,1.6,3.57,161
16,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-17,,,2.0,0.38,4.98,3.97,7.38,3.77,5.85,5.99,1.42,2.48,1.54,1.16,1.95,3.35,148
17,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-18,,,2.5,,4.85,3.9,7.23,4.44,5.29,5.03,1.29,2.21,1.51,1.34,1.9,2.97,205
18,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-19,,,1.98,0.33,4.78,4.13,7.94,5.12,5.52,4.88,1.43,2.31,1.42,1.45,2.0,3.5,225
19,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-20,,,2.16,,4.62,4.68,7.86,4.93,5.23,5.5,1.21,2.28,1.42,1.68,1.71,3.16,219
20,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-21,,,1.71,0.55,5.16,4.76,6.83,4.29,5.39,5.45,1.02,2.44,1.32,1.32,1.9,2.83,203
21,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-22,,,1.56,0.48,4.64,4.55,6.09,4.72,4.7,4.97,0.98,2.43,1.6,1.28,2.01,3.75,195
22,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-23,,,1.91,,4.46,3.93,6.1,4.32,5.15,4.88,1.56,2.03,1.68,0.98,2.08,3.12,137
23,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-24,,,1.76,,4.37,4.05,5.71,4.25,5.0,4.82,1.3,2.38,1.48,1.17,1.55,3.46,105
24,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-25,,,1.88,0.66,4.53,4.37,7.01,3.79,5.23,5.59,1.08,2.04,1.58,1.26,2.19,3.41,167
25,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-26,,,2.08,,4.72,4.35,7.73,3.97,4.99,4.86,1.4,2.43,1.45,1.24,1.72,2.94,159
26,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-27,,,1.84,0.76,4.29,4.12,7.71,4.63,5.54,5.66,1.34,2.52,1.65,1.25,1.87,3.34,179
27,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-28,,,1.69,0.49,4.33,3.87,7.36,4.39,5.29,5.13,1.03,2.19,1.33,1.06,1.72,2.94,166
28,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-29,,,1.66,,4.24,3.84,6.73,4.13,4.78,4.96,1.07,2.38,1.34,1.09,2.04,3.16,156
29,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-30,,,2.23,,3.93,4.1,6.66,3.61,5.03,4.54,1.48,2.35,1.14,0.92,1.73,3.26,160
30,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-01-31,,,1.93,,4.94,4.19,6.47,3.4,5.4,4.91,1.49,2.06,1.63,1.14,1.86,3.25,121
31,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-01,,,2.1,,4.35,3.96,6.86,3.84,5.22,5.33,1.34,2.62,1.61,1.01,1.76,3.07,207
32,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-02,,,1.9,,5.13,4.31,6.63,4.19,5.81,5.09,1.54,2.51,2.59,1.4,1.91,3.32,161
33,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-03,,,1.72,,4.46,4.61,7.22,4.28,5.48,5.75,1.04,2.58,2.18,0.91,1.78,2.93,148
34,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-04,,,2.22,,4.41,4.33,7.12,3.9,4.86,4.72,1.18,2.34,1.7,1.27,1.83,3.1,147
35,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-05,,,1.71,,4.39,4.4,6.62,3.81,5.06,5.23,0.99,2.31,0.92,1.08,2.22,3.15,130
36,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-06,,,2.06,,3.92,3.62,5.83,3.6,4.97,4.61,1.41,2.28,1.24,0.9,1.86,3.27,105
37,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-07,,,2.16,,3.9,4.43,5.95,3.5,5.12,4.92,1.21,2.39,0.98,1.06,1.98,3.35,90
38,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-08,,,2.31,0.33,4.17,4.39,6.84,3.68,4.88,4.71,1.18,2.2,1.33,1.08,1.88,2.96,140
39,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-09,,,2.04,0.34,4.22,4.27,6.67,4.03,4.93,5.2,1.17,2.67,1.05,1.25,1.75,2.72,133
40,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-10,,,1.93,,4.12,4.41,6.97,3.58,4.53,4.26,1.38,2.1,0.94,1.09,1.98,2.85,133
41,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-11,,,1.77,,4.12,3.56,7.07,3.49,5.05,4.69,1.38,2.39,1.04,1.11,1.75,3.25,109
42,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-12,,,1.91,,4.0,3.98,6.18,3.31,4.66,4.69,1.18,2.08,1.15,1.35,1.97,3.21,94
43,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-13,,,1.65,,3.47,3.98,6.23,3.12,5.1,4.33,1.37,2.08,1.06,0.98,1.48,3.07,73
44,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-14,,,1.79,,4.23,4.45,6.54,4.1,5.23,4.76,1.2,2.56,1.44,0.89,1.7,3.9,61
45,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-15,,,2.23,0.39,4.53,4.3,7.1,4.0,5.36,5.16,1.25,2.45,1.17,1.25,2.0,3.38,122
46,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-16,,,2.18,,3.98,4.24,7.43,3.64,5.51,5.24,1.12,2.46,1.01,1.06,1.69,3.44,89
47,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-17,,,2.06,,4.09,4.14,6.97,3.78,5.05,5.77,1.22,2.54,1.09,1.03,1.92,3.06,123
48,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-18,,,1.95,,3.65,3.88,6.84,3.67,5.14,5.25,1.18,2.39,1.09,1.03,1.6,2.96,96
49,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-19,,,2.15,0.55,4.19,4.38,6.9,3.34,5.21,4.86,1.11,2.38,1.22,1.24,1.63,3.17,84
50,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-20,,,1.74,,4.14,3.86,6.48,3.35,5.34,4.73,1.21,2.12,0.76,1.04,1.43,3.6,52
51,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-21,,,1.81,,4.28,4.7,7.36,3.78,5.76,4.96,1.42,2.46,0.97,0.45,1.8,3.3,73
52,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-22,,,2.08,,4.67,4.29,7.79,3.73,5.17,5.4,1.29,2.5,1.31,1.08,1.81,3.37,112
53,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-23,,,1.66,,3.84,3.93,7.74,3.48,5.11,5.2,1.21,2.14,0.98,1.2,1.65,2.83,113
54,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-24,,,1.86,0.44,4.05,4.62,8.7,3.89,5.77,5.56,0.99,2.02,1.13,1.21,1.52,2.88,79
55,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-25,,,1.63,,4.37,4.22,7.22,3.9,5.07,4.85,1.28,2.01,0.86,0.93,2.12,3.03,50
56,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-26,,,1.99,,3.24,3.81,6.35,3.17,5.32,4.9,1.33,1.84,0.87,0.77,1.66,2.61,58
57,GB,United Kingdom,Nottingham,GB-NGM,,,ChIJ2d-4ZifCeUgRwJ_Du6gcDgM,2021-02-27,,,1.67,,3.8,4.44,6.51,3.04,4.98,4.68,1.27,1.74,1.16,1.18,1.96,3.05,37
