,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Pembrokeshire,GB-PEM,,,ChIJ58ydyqDQaEgRROFYyT8xOlk,2021-01-01,,,1.42,,5.57,4.89,6.31,3.3,5.85,4.94,1.36,2.61,,1.36,2.33,3.47,18
1,GB,United Kingdom,Pembrokeshire,GB-PEM,,,ChIJ58ydyqDQaEgRROFYyT8xOlk,2021-01-02,,,2.09,,4.84,4.29,6.33,4.07,5.01,5.06,1.43,2.09,1.32,1.87,2.15,3.03,36
2,GB,United Kingdom,Pembrokeshire,GB-PEM,,,ChIJ58ydyqDQaEgRROFYyT8xOlk,2021-01-03,,,2.12,,5.09,4.31,6.1,4.59,6.1,4.87,1.51,1.96,1.62,1.4,2.24,2.85,34
3,GB,United Kingdom,Pembrokeshire,GB-PEM,,,ChIJ58ydyqDQaEgRROFYyT8xOlk,2021-01-04,,,2.96,,3.85,4.05,6.81,3.9,5.71,5.51,,1.97,1.77,1.25,1.87,2.91,65
4,GB,United Kingdom,Pembrokeshire,GB-PEM,,,ChIJ58ydyqDQaEgRROFYyT8xOlk,2021-01-05,,,2.1,,4.36,3.94,7.25,5.04,4.94,4.88,1.47,2.31,1.57,1.73,1.47,3.47,85
5,GB,United Kingdom,Pembrokeshire,GB-PEM,,,ChIJ58ydyqDQaEgRROFYyT8xOlk,2021-01-06,,,1.48,,4.61,4.08,5.93,4.71,5.46,5.3,1.43,2.81,1.22,,1.64,2.86,47
6,GB,United Kingdom,Pembrokeshire,GB-PEM,,,ChIJ58ydyqDQaEgRROFYyT8xOlk,2021-01-07,,,2.03,,3.18,4.22,6.15,4.38,5.58,5.05,,3.18,,1.25,,3.49,32
7,GB,United Kingdom,Pembrokeshire,GB-PEM,,,ChIJ58ydyqDQaEgRROFYyT8xOlk,2021-01-08,,,1.33,,3.9,3.65,6.11,4.93,4.36,4.72,1.85,1.44,1.08,1.33,2.21,2.1,31
8,GB,United Kingdom,Pembrokeshire,GB-PEM,,,ChIJ58ydyqDQaEgRROFYyT8xOlk,2021-01-09,,,1.95,,4.34,3.28,7.34,5.28,6.45,5.39,1.67,2.5,,,2.0,3.67,31
9,GB,United Kingdom,Pembrokeshire,GB-PEM,,,ChIJ58ydyqDQaEgRROFYyT8xOlk,2021-01-10,,,1.87,,3.91,3.75,8.54,3.25,6.28,5.29,1.49,1.87,,1.82,1.16,1.82,16
