,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-01,,,2.06,,4.48,4.03,6.05,2.96,7.66,5.47,2.55,2.64,,1.25,2.29,4.48,43
1,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-02,,,2.9,,3.57,4.11,6.8,3.48,5.87,5.71,1.8,2.06,1.13,1.22,1.68,3.06,55
2,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-03,,,2.36,,4.93,4.3,5.65,4.38,5.57,4.09,1.48,1.9,1.31,1.22,1.73,2.87,84
3,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-04,,,2.48,,4.59,3.83,5.39,4.31,5.39,4.07,1.2,1.92,,1.76,1.16,3.11,54
4,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-05,,,1.87,,5.33,4.39,8.21,4.92,5.53,5.53,1.63,1.75,1.1,0.9,2.11,2.03,66
5,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-06,,,1.88,,4.57,3.34,7.25,4.65,4.93,4.89,1.79,2.28,,,1.34,3.3,48
6,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-07,,,2.29,,4.38,3.73,6.97,5.0,5.74,4.96,1.43,2.58,1.39,1.15,1.8,2.66,92
7,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-08,,,1.89,,5.8,3.62,6.17,4.48,5.67,5.1,1.44,2.22,1.03,1.32,1.6,2.06,41
8,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-09,,,2.34,,4.21,3.67,5.76,4.17,6.05,6.26,1.88,2.09,,0.88,1.67,2.71,37
9,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-10,,,2.35,,5.43,5.19,7.94,4.08,4.73,5.14,1.36,2.51,0.86,1.56,2.1,2.67,28
10,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-11,,,2.09,,3.83,4.06,8.92,3.72,4.48,3.76,,1.9,1.78,0.95,1.29,3.04,58
11,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-12,,,2.21,,4.38,3.96,8.18,3.92,6.51,5.66,0.85,2.37,0.97,1.28,1.4,2.83,49
12,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-13,,,1.85,,4.02,3.17,6.26,4.13,4.52,5.56,1.51,1.85,0.89,1.04,1.82,2.47,27
13,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-14,,,2.91,,3.66,3.5,6.69,3.97,5.0,5.23,1.3,1.73,,1.22,2.01,2.4,35
14,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-15,,,1.7,,4.42,3.63,6.67,3.2,5.21,4.78,0.95,1.34,0.95,,1.26,2.13,30
15,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-16,,,1.59,,4.19,3.69,5.49,3.81,5.86,5.11,1.51,1.97,,0.96,1.47,3.73,24
16,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-17,,,2.13,,4.88,3.8,6.59,3.25,4.88,6.05,1.58,1.71,1.21,1.25,1.25,2.46,20
17,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-18,,,2.21,,4.07,4.34,6.94,3.37,5.35,5.08,0.89,2.33,1.05,1.59,1.43,3.22,60
18,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-19,,,2.08,,3.65,4.16,7.41,4.75,5.57,4.98,1.45,1.69,1.1,1.02,1.73,2.75,27
19,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-20,,,1.95,,4.18,4.26,6.37,4.42,5.79,5.67,1.56,1.52,,1.37,1.64,2.03,39
20,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-21,,,2.52,,3.83,4.34,7.92,4.06,4.97,4.38,0.99,2.01,1.02,1.22,1.14,2.88,26
21,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-22,,,2.44,,3.4,4.44,7.36,3.52,5.8,5.88,1.12,1.92,,0.92,1.48,2.16,17
22,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-23,,,2.18,,3.4,4.32,6.83,4.11,4.82,5.03,1.09,2.26,0.96,1.22,2.06,2.18,18
23,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-24,,,2.32,,3.92,4.38,6.91,3.92,6.15,5.18,1.26,1.77,,1.48,1.43,2.7,17
24,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-25,,,2.86,,4.0,4.23,5.99,4.42,4.86,5.87,1.49,1.8,,0.94,1.18,2.82,32
25,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-26,,,2.22,,4.37,3.12,6.79,4.45,4.21,4.92,0.97,2.22,0.82,,1.36,2.5,29
26,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-27,,,2.38,,2.97,4.65,6.96,3.48,4.53,4.88,1.02,2.27,0.9,0.86,1.29,2.77,18
27,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-28,,,1.79,,3.66,3.97,6.93,3.54,4.44,4.44,0.97,2.06,1.13,1.01,1.32,2.45,53
28,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-29,,,1.24,,3.36,3.36,7.6,3.2,4.76,5.32,1.24,2.12,0.84,1.08,1.8,2.68,20
29,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-30,,,1.66,,3.91,3.32,5.83,3.7,5.49,5.06,0.98,1.74,,1.57,1.57,2.51,11
30,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-01-31,,,1.97,,4.66,4.45,6.59,3.57,4.95,4.45,1.26,1.85,1.39,1.76,1.39,2.43,12
31,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-02-01,,,2.42,,3.83,4.73,7.26,3.71,5.35,4.37,1.72,2.03,1.33,1.25,1.41,3.59,14
32,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-02-02,,,2.25,,4.65,4.42,5.58,3.1,4.22,3.95,1.2,1.74,2.4,1.36,1.2,2.6,21
33,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-02-03,,,2.6,,4.93,3.61,6.45,4.66,3.88,3.69,1.05,1.59,1.63,1.55,1.4,2.52,11
34,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-02-04,,,1.91,,3.67,4.29,6.44,3.28,5.15,4.96,1.09,2.11,1.21,1.21,1.29,3.24,6
35,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-02-05,,,2.37,,2.89,3.83,6.21,3.16,5.06,4.39,,1.9,0.95,0.83,1.07,3.04,27
36,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-02-06,,,2.49,,3.76,4.14,6.97,2.91,4.73,4.39,1.77,1.86,1.18,,2.15,2.83,11
37,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-02-07,,,2.33,,3.79,5.21,7.21,3.25,5.09,5.54,1.46,2.63,,1.46,1.17,2.25,9
38,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-02-08,,,2.08,,3.04,4.04,6.97,4.36,4.64,4.68,0.88,2.12,,1.4,1.6,2.6,21
39,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-02-09,,,1.89,,3.0,4.65,6.25,3.13,6.17,4.9,1.44,1.89,,0.86,1.19,2.8,8
40,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-02-10,,,2.75,,3.3,3.43,6.31,3.05,5.12,4.7,,1.99,,,1.99,2.16,12
41,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-02-11,,,1.9,,3.46,3.59,6.85,3.76,5.54,6.17,0.89,1.9,,0.97,1.52,3.08,22
42,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-02-12,,,1.6,,3.86,3.4,6.43,3.99,5.46,6.22,1.26,2.6,,1.3,1.09,2.48,7
43,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-02-13,,,1.91,,3.56,3.3,5.56,4.47,4.91,4.25,1.61,1.17,,,1.17,1.74,10
44,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-02-14,,,2.13,,2.64,3.41,7.45,3.28,5.28,5.28,1.96,1.7,,,2.0,2.64,12
45,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-02-15,,,2.4,,4.43,4.99,6.83,3.19,5.67,5.55,1.56,2.0,,,1.56,3.11,25
46,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-02-16,,,1.91,,3.06,5.17,7.04,3.38,4.53,4.73,1.07,2.03,,,1.27,2.23,10
47,GB,United Kingdom,Perth and Kinross,GB-PKN,,,ChIJFysl40uiiEgRwLBCBhpoDAM,2021-02-17,,,1.95,,4.05,4.62,7.42,2.88,5.64,5.15,1.5,2.19,0.85,1.09,1.3,2.72,11
