,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-01,,,2.91,,4.99,3.65,6.18,4.52,6.12,4.87,1.25,1.99,0.71,1.37,2.38,2.76,77
1,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-02,,,2.09,,5.08,4.21,6.77,5.0,5.61,4.74,2.0,1.86,0.81,1.6,1.83,2.85,169
2,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-03,,,2.15,,5.25,4.99,6.83,4.96,5.42,4.73,1.92,2.41,1.09,1.35,1.81,2.81,111
3,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-04,,,2.01,,5.03,4.22,5.76,4.98,5.03,4.09,1.17,2.35,1.02,1.02,1.82,3.0,205
4,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-05,,,2.32,,5.64,3.37,6.67,4.88,4.58,4.77,1.05,2.35,1.26,1.16,1.69,2.56,203
5,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-06,,,1.85,,5.44,3.0,7.24,4.14,5.16,4.22,1.09,2.16,1.15,1.15,1.35,2.37,147
6,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-07,,,2.31,,4.31,4.26,6.94,4.78,4.68,4.18,1.52,2.21,0.76,0.95,1.97,2.34,146
7,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-08,,,2.04,,4.87,3.96,6.34,4.45,4.66,4.09,1.55,1.83,1.02,0.81,1.75,2.44,156
8,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-09,,,1.97,,4.49,3.65,5.77,4.32,5.74,4.61,1.56,1.97,0.98,1.39,0.9,2.61,141
9,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-10,,,2.1,,5.47,4.17,7.37,4.86,5.64,5.24,1.7,1.7,1.04,1.01,2.27,2.53,118
10,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-11,,,2.16,,4.8,3.71,7.62,4.93,4.98,4.16,1.65,2.29,0.79,1.12,1.8,3.05,173
11,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-12,,,2.31,,4.81,4.21,7.57,4.53,4.47,4.27,1.2,2.47,1.35,1.33,1.48,3.04,168
12,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-13,,,1.79,,5.04,4.55,6.47,4.66,4.45,4.68,1.25,2.2,1.1,1.33,1.87,2.97,156
13,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-14,,,2.03,,4.4,4.43,7.21,4.43,4.25,3.6,1.34,2.01,0.95,,1.83,2.75,164
14,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-15,,,2.08,,4.8,3.26,6.39,4.46,4.59,4.33,1.09,1.69,1.28,0.83,1.56,2.16,183
15,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-16,,,2.62,,4.5,3.93,6.04,4.44,5.36,5.01,1.28,2.11,1.0,1.03,1.79,2.91,98
16,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-17,,,1.6,,4.73,3.87,6.56,4.67,4.93,5.13,1.66,2.03,0.86,1.26,2.12,3.07,112
17,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-18,,,2.44,,4.98,4.11,7.13,4.75,4.59,3.92,1.56,2.39,1.18,1.13,2.03,2.85,166
18,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-19,,,2.22,,5.21,3.66,8.28,5.16,5.21,5.11,1.11,1.83,0.67,0.98,2.19,2.94,144
19,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-20,,,2.37,,4.49,4.44,7.21,5.63,4.95,4.36,1.04,2.14,1.07,0.82,1.84,2.98,149
20,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-21,,,2.38,,5.28,4.1,6.71,5.07,4.49,4.94,0.81,2.19,1.44,1.38,1.67,2.59,140
21,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-22,,,2.14,,4.39,4.29,6.35,5.18,4.76,4.71,1.43,1.85,0.82,1.4,1.67,3.2,155
22,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-23,,,2.27,,5.2,3.91,6.12,5.81,5.63,4.63,1.44,2.39,1.12,1.15,1.44,3.13,117
23,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-24,,,2.19,,4.95,3.18,5.7,4.2,4.44,4.02,1.62,2.34,,1.41,1.5,3.03,83
24,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-25,,,1.81,,4.2,4.62,5.92,3.93,4.75,5.82,1.65,2.31,1.51,0.82,1.73,2.79,140
25,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-26,,,1.99,,4.78,4.52,6.27,4.91,5.04,4.41,1.51,1.88,1.23,1.1,1.38,2.61,175
26,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-27,,,2.42,,4.04,3.65,6.98,5.0,5.08,4.87,1.33,1.61,1.12,1.07,1.41,2.48,159
27,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-28,,,1.68,,4.69,4.59,7.42,4.43,4.64,5.08,1.75,2.27,0.8,0.93,1.13,3.45,110
28,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-29,,,1.16,,4.3,4.01,6.09,3.77,5.17,5.22,0.77,2.11,0.71,0.87,1.37,2.59,89
29,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-30,,,1.71,,4.28,3.94,6.45,3.74,4.85,5.22,1.4,2.23,0.86,1.08,1.85,2.88,80
30,GB,United Kingdom,Peterborough,GB-PTE,,,ChIJL2LxlyTxd0gRcJ_Du6gcDgM,2021-01-31,,,2.04,,5.01,4.84,6.31,3.74,5.88,5.41,1.04,2.59,1.55,1.35,1.53,2.94,81
