,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Plymouth,GB-PLY,,,ChIJ0bg6FOjsbEgRcJ6VP0H0EAM,2021-01-01,,,2.28,,4.22,4.16,5.91,4.05,5.91,4.8,1.54,2.09,0.75,0.83,1.9,3.11,33
1,GB,United Kingdom,Plymouth,GB-PLY,,,ChIJ0bg6FOjsbEgRcJ6VP0H0EAM,2021-01-02,,,2.12,,4.62,3.97,5.78,4.08,5.53,4.95,1.66,2.43,1.02,1.17,1.71,2.95,96
2,GB,United Kingdom,Plymouth,GB-PLY,,,ChIJ0bg6FOjsbEgRcJ6VP0H0EAM,2021-01-03,,,2.05,,4.61,4.22,6.63,4.22,4.69,4.46,1.51,2.25,0.7,1.17,1.9,3.19,83
3,GB,United Kingdom,Plymouth,GB-PLY,,,ChIJ0bg6FOjsbEgRcJ6VP0H0EAM,2021-01-04,,,2.13,,4.46,3.59,5.26,3.63,4.4,4.22,1.23,1.81,0.97,1.08,1.47,2.42,118
4,GB,United Kingdom,Plymouth,GB-PLY,,,ChIJ0bg6FOjsbEgRcJ6VP0H0EAM,2021-01-05,,,2.27,,4.42,3.94,6.41,4.43,5.62,4.99,1.18,1.77,1.05,1.02,1.66,2.57,117
5,GB,United Kingdom,Plymouth,GB-PLY,,,ChIJ0bg6FOjsbEgRcJ6VP0H0EAM,2021-01-06,,,1.94,,4.58,3.46,6.36,4.38,5.34,5.29,1.31,2.11,0.85,1.42,1.5,2.29,127
6,GB,United Kingdom,Plymouth,GB-PLY,,,ChIJ0bg6FOjsbEgRcJ6VP0H0EAM,2021-01-07,,,2.24,,4.97,3.48,6.3,4.15,4.91,4.63,1.05,2.22,1.29,0.88,2.24,2.34,125
7,GB,United Kingdom,Plymouth,GB-PLY,,,ChIJ0bg6FOjsbEgRcJ6VP0H0EAM,2021-01-08,,,1.88,,4.61,3.62,6.46,4.64,4.88,4.49,1.58,1.73,0.98,1.21,1.41,2.34,104
8,GB,United Kingdom,Plymouth,GB-PLY,,,ChIJ0bg6FOjsbEgRcJ6VP0H0EAM,2021-01-09,,,2.06,,4.33,4.05,5.39,4.03,5.28,4.9,1.19,1.62,0.59,1.09,1.92,2.11,80
9,GB,United Kingdom,Plymouth,GB-PLY,,,ChIJ0bg6FOjsbEgRcJ6VP0H0EAM,2021-01-10,,,2.32,,4.49,4.03,6.13,3.87,4.92,5.0,1.61,1.67,0.91,1.09,1.87,2.64,86
10,GB,United Kingdom,Plymouth,GB-PLY,,,ChIJ0bg6FOjsbEgRcJ6VP0H0EAM,2021-01-11,,,2.54,,4.45,4.43,7.22,4.05,5.19,4.68,1.15,2.14,1.14,1.55,1.53,2.9,142
11,GB,United Kingdom,Plymouth,GB-PLY,,,ChIJ0bg6FOjsbEgRcJ6VP0H0EAM,2021-01-12,,,2.01,,4.15,4.11,6.28,4.11,5.36,5.23,0.96,2.21,0.81,1.1,1.54,2.19,114
12,GB,United Kingdom,Plymouth,GB-PLY,,,ChIJ0bg6FOjsbEgRcJ6VP0H0EAM,2021-01-13,,,2.19,,4.24,3.66,7.15,3.9,5.28,4.86,1.04,2.2,1.02,1.38,1.58,2.64,166
13,GB,United Kingdom,Plymouth,GB-PLY,,,ChIJ0bg6FOjsbEgRcJ6VP0H0EAM,2021-01-14,,,1.93,,4.34,4.33,6.96,4.09,5.51,5.22,1.25,2.49,1.07,1.15,1.56,2.85,135
14,GB,United Kingdom,Plymouth,GB-PLY,,,ChIJ0bg6FOjsbEgRcJ6VP0H0EAM,2021-01-15,,,1.9,,4.04,3.71,5.95,3.64,4.17,3.73,0.96,1.81,1.13,1.15,1.51,2.38,134
