,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-01,,,2.12,,5.53,3.36,6.13,3.42,5.32,4.56,1.19,1.9,,,2.55,3.25,33
1,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-02,,,3.19,,5.0,5.42,5.16,3.03,3.99,3.94,1.28,2.13,1.44,1.33,1.86,2.92,45
2,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-03,,,2.32,,5.37,4.48,6.32,4.42,4.48,3.48,1.58,1.95,1.37,1.21,,3.21,35
3,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-04,,,2.18,,5.38,3.2,6.29,4.06,4.77,4.11,1.42,2.08,,1.17,2.39,1.98,49
4,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-05,,,2.76,,4.95,3.75,7.71,4.17,6.2,5.0,,2.03,,1.41,2.08,1.77,50
5,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-06,,,1.98,,5.03,4.06,6.14,4.72,4.52,4.77,1.27,2.9,,1.37,2.29,1.62,34
6,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-07,,,2.29,,4.59,2.96,5.76,3.37,4.49,5.05,1.22,1.73,,,1.27,1.84,29
7,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-08,,,2.3,,5.35,3.15,7.75,3.9,4.9,4.35,1.65,2.0,,,1.55,2.5,49
8,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-09,,,2.23,,4.24,4.02,5.87,4.73,4.78,5.71,,1.52,1.74,1.58,1.96,2.72,32
9,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-10,,,2.66,,5.27,4.26,8.3,4.21,5.59,4.74,1.65,3.14,,1.12,1.7,2.45,23
10,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-11,,,2.02,,3.78,5.6,6.98,5.55,5.55,4.47,,1.82,1.38,1.23,1.72,1.87,50
11,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-12,,,3.57,,5.13,2.97,7.49,4.02,5.43,5.43,1.11,1.76,,1.11,1.86,2.41,36
12,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-13,,,1.51,,5.13,3.42,7.19,5.93,6.24,5.38,,1.41,1.81,1.41,1.96,2.67,62
13,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-14,,,1.47,,4.21,3.7,6.84,4.92,5.63,5.42,1.42,1.22,1.72,1.37,1.77,2.94,27
14,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-15,,,2.15,,4.5,3.72,5.66,4.66,4.71,5.29,1.15,1.78,,1.78,2.57,2.98,33
15,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-16,,,2.56,,3.45,4.34,6.89,4.72,5.06,4.67,1.61,2.06,1.33,,1.83,2.56,21
16,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-17,,,2.34,,5.16,2.88,6.69,3.91,6.09,6.09,1.79,1.58,,,1.25,2.5,22
17,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-18,,,2.44,,4.92,4.42,7.11,3.91,4.37,4.67,1.83,1.98,,,1.73,3.05,50
18,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-19,,,2.86,,4.01,4.47,7.23,5.12,5.77,6.32,1.1,1.71,,1.35,1.1,2.86,26
19,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-20,,,2.07,,3.75,3.7,6.46,3.55,5.47,5.33,,2.27,,1.04,1.78,2.42,28
20,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-21,,,2.04,,6.67,4.43,7.13,4.58,5.04,4.02,,1.68,,1.07,1.88,2.8,35
21,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-22,,,2.25,,5.18,2.82,6.22,4.34,5.12,5.33,1.67,1.78,,1.52,1.41,3.19,26
22,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-23,,,,,4.17,4.67,5.95,5.22,5.45,4.33,1.22,2.28,,,1.39,2.44,21
23,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-24,,,2.2,,4.34,4.45,6.31,3.33,5.97,5.47,,2.14,,1.92,1.75,2.03,8
24,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-25,,,2.66,,5.32,3.84,6.7,3.89,5.42,6.91,,1.89,1.38,1.12,1.28,2.46,23
25,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-26,,,1.48,,5.0,4.34,8.11,5.31,5.0,4.59,,2.14,,,,2.09,29
26,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-27,,,2.01,,4.59,4.28,8.05,4.59,5.73,5.11,1.08,2.58,1.08,1.6,,1.86,26
27,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-28,,,2.39,,4.33,3.77,6.82,4.79,4.68,4.28,,1.93,,1.27,1.53,2.7,16
28,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-29,,,1.29,,4.64,3.76,7.21,4.07,5.36,4.69,,2.16,1.19,1.54,1.34,3.04,18
29,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-30,,,1.71,,4.21,3.31,6.08,4.43,6.3,4.7,1.23,2.29,,1.55,1.33,1.97,13
30,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-01-31,,,3.06,,4.73,4.03,7.36,4.25,4.51,4.51,1.93,2.31,1.77,1.29,1.77,2.79,8
31,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-02-01,,,2.07,,5.05,4.3,7.93,4.35,6.27,5.71,1.47,2.68,1.72,1.11,1.16,3.13,24
32,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-02-02,,,2.19,,5.51,4.33,7.39,4.03,4.89,5.1,,2.29,1.68,1.22,1.73,3.01,16
33,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-02-03,,,2.19,,4.8,5.63,6.26,4.8,4.85,5.26,1.82,2.03,1.09,,2.03,2.35,21
34,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-02-04,,,2.11,,5.67,2.68,7.47,4.53,4.38,4.17,,1.91,,,2.32,2.42,16
35,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-02-05,,,2.04,,4.66,4.6,6.33,4.92,3.98,3.66,1.1,1.88,2.3,1.31,1.52,2.62,24
36,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-02-06,,,1.6,,4.97,3.54,5.31,3.04,4.75,4.42,1.22,1.44,,,1.88,2.43,18
37,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-02-07,,,1.93,,4.09,4.14,6.08,4.7,5.64,4.92,1.22,2.38,,,1.93,2.49,11
38,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-02-08,,,1.75,,4.93,3.7,5.7,4.0,4.21,3.13,1.18,1.33,,1.23,1.13,3.03,37
39,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-02-09,,,1.3,,4.28,3.03,6.58,4.44,5.32,5.22,1.62,1.77,,,1.3,3.03,32
40,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-02-10,,,1.38,,4.87,4.02,6.51,3.49,4.39,4.13,1.43,1.69,,,,2.33,21
41,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-02-11,,,1.69,,3.17,3.91,6.18,3.59,4.86,4.65,,,,1.58,1.85,2.01,12
42,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-02-12,,,1.69,,4.04,3.27,6.33,3.22,3.27,3.82,,1.85,1.31,,2.13,2.24,23
43,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-02-13,,,1.68,,3.87,3.14,6.46,4.49,5.28,3.93,,1.24,,,1.18,1.57,12
44,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-02-14,,,3.29,,4.96,3.23,6.96,2.9,5.01,5.12,1.39,2.45,,,1.61,2.73,11
45,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-02-15,,,3.02,,5.67,4.54,7.34,4.1,5.61,5.18,,1.94,,1.3,2.1,2.43,27
46,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-02-16,,,1.77,,3.71,4.46,8.71,4.84,5.48,4.3,1.34,1.77,,,1.56,3.12,29
47,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-02-17,,,2.33,,5.31,5.14,6.93,4.6,3.68,4.01,1.9,2.54,1.25,1.19,2.0,3.36,13
48,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-02-18,,,2.49,,3.95,3.58,7.42,5.25,5.58,6.07,1.25,2.0,,,2.55,2.82,16
49,GB,United Kingdom,Powys,GB-POW,,,ChIJQ0SL-jBRZUgR1eL1ZLry8Vg,2021-02-19,,,2.32,,4.75,4.07,6.71,4.86,5.18,4.91,,2.43,1.22,1.11,1.96,2.75,8
