,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Reading,GB-RDG,,,ChIJAWJESQqbdkgR8J7toi2uDgM,2021-01-01,,,1.67,,4.16,3.87,5.41,4.65,5.54,4.65,1.34,2.39,0.98,,1.9,3.01,117
1,GB,United Kingdom,Reading,GB-RDG,,,ChIJAWJESQqbdkgR8J7toi2uDgM,2021-01-02,,,1.62,,5.27,3.18,5.24,4.45,4.23,3.81,1.91,1.75,1.11,1.18,2.35,2.54,173
2,GB,United Kingdom,Reading,GB-RDG,,,ChIJAWJESQqbdkgR8J7toi2uDgM,2021-01-03,,,2.4,,4.43,3.4,5.62,4.49,5.01,4.01,2.0,1.61,0.79,1.03,2.06,2.25,128
3,GB,United Kingdom,Reading,GB-RDG,,,ChIJAWJESQqbdkgR8J7toi2uDgM,2021-01-04,,,1.44,,4.46,3.51,5.01,4.74,4.57,3.54,1.58,2.18,0.79,0.87,1.31,2.18,242
4,GB,United Kingdom,Reading,GB-RDG,,,ChIJAWJESQqbdkgR8J7toi2uDgM,2021-01-05,,,1.85,,5.16,3.2,6.1,4.88,4.53,4.44,1.49,1.63,1.49,1.13,1.08,2.43,213
5,GB,United Kingdom,Reading,GB-RDG,,,ChIJAWJESQqbdkgR8J7toi2uDgM,2021-01-06,,,1.67,,4.75,3.49,5.41,5.02,4.89,4.53,1.26,1.77,1.15,0.95,1.42,2.54,161
6,GB,United Kingdom,Reading,GB-RDG,,,ChIJAWJESQqbdkgR8J7toi2uDgM,2021-01-07,,,1.78,,4.89,2.92,6.15,3.94,3.77,3.69,1.04,2.13,1.34,0.79,1.64,2.08,211
7,GB,United Kingdom,Reading,GB-RDG,,,ChIJAWJESQqbdkgR8J7toi2uDgM,2021-01-08,,,1.92,,3.89,3.44,5.33,4.54,4.37,4.14,1.86,1.52,0.93,,1.77,1.89,185
8,GB,United Kingdom,Reading,GB-RDG,,,ChIJAWJESQqbdkgR8J7toi2uDgM,2021-01-09,,,2.17,,4.5,3.72,4.72,4.16,4.78,3.82,1.92,1.71,1.05,0.81,1.71,2.2,96
9,GB,United Kingdom,Reading,GB-RDG,,,ChIJAWJESQqbdkgR8J7toi2uDgM,2021-01-10,,,1.73,,4.8,3.59,5.5,3.77,4.01,3.86,2.13,1.58,1.43,0.76,1.7,2.01,119
10,GB,United Kingdom,Reading,GB-RDG,,,ChIJAWJESQqbdkgR8J7toi2uDgM,2021-01-11,,,1.46,,5.15,3.2,6.37,6.04,4.17,3.96,1.0,2.17,1.41,1.11,1.73,2.09,243
11,GB,United Kingdom,Reading,GB-RDG,,,ChIJAWJESQqbdkgR8J7toi2uDgM,2021-01-12,,,2.15,,4.19,3.4,6.63,5.08,4.62,4.02,1.3,1.69,1.25,1.03,1.58,2.28,181
12,GB,United Kingdom,Reading,GB-RDG,,,ChIJAWJESQqbdkgR8J7toi2uDgM,2021-01-13,,,1.59,,4.78,3.02,6.12,4.94,4.99,4.8,1.38,1.86,1.56,0.94,1.97,2.59,161
13,GB,United Kingdom,Reading,GB-RDG,,,ChIJAWJESQqbdkgR8J7toi2uDgM,2021-01-14,,,1.64,,4.04,3.64,5.6,5.55,4.07,3.56,1.1,2.02,1.1,0.73,1.1,3.02,171
14,GB,United Kingdom,Reading,GB-RDG,,,ChIJAWJESQqbdkgR8J7toi2uDgM,2021-01-15,,,1.67,,4.3,3.75,5.13,3.39,4.0,3.44,1.3,2.0,1.19,1.03,1.14,3.0,137
15,GB,United Kingdom,Reading,GB-RDG,,,ChIJAWJESQqbdkgR8J7toi2uDgM,2021-01-16,,,1.9,,5.23,3.18,5.5,3.88,5.81,4.74,1.99,2.29,1.1,0.95,1.53,3.18,120
16,GB,United Kingdom,Reading,GB-RDG,,,ChIJAWJESQqbdkgR8J7toi2uDgM,2021-01-17,,,1.91,,5.18,2.73,5.24,4.27,4.46,4.42,1.24,2.18,0.7,1.03,1.94,2.91,99
17,GB,United Kingdom,Reading,GB-RDG,,,ChIJAWJESQqbdkgR8J7toi2uDgM,2021-01-18,,,1.5,,4.96,3.78,6.79,4.05,4.78,4.18,1.31,1.99,1.1,1.29,1.64,2.55,161
18,GB,United Kingdom,Reading,GB-RDG,,,ChIJAWJESQqbdkgR8J7toi2uDgM,2021-01-19,,,1.87,,3.9,3.9,6.41,5.98,4.3,4.09,1.41,2.41,0.62,1.11,1.84,2.57,152
