,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Renfrewshire,GB-RFW,,,ChIJMWXTLcFIiEgRgcDTu3b7jX0,2021-01-01,,,2.51,,4.37,3.69,5.66,4.23,5.55,4.42,1.83,2.56,1.04,1.18,1.61,3.63,61
1,GB,United Kingdom,Renfrewshire,GB-RFW,,,ChIJMWXTLcFIiEgRgcDTu3b7jX0,2021-01-02,,,2.96,,4.09,4.28,5.64,3.38,5.09,4.41,1.71,2.23,0.63,1.21,1.42,3.02,111
2,GB,United Kingdom,Renfrewshire,GB-RFW,,,ChIJMWXTLcFIiEgRgcDTu3b7jX0,2021-01-03,,,2.34,,5.18,4.0,6.63,3.66,4.58,4.76,1.76,2.5,0.95,0.95,1.87,2.74,97
3,GB,United Kingdom,Renfrewshire,GB-RFW,,,ChIJMWXTLcFIiEgRgcDTu3b7jX0,2021-01-04,,,2.09,,4.85,3.83,5.57,4.2,4.82,5.0,1.96,2.06,0.6,1.17,1.91,2.36,114
4,GB,United Kingdom,Renfrewshire,GB-RFW,,,ChIJMWXTLcFIiEgRgcDTu3b7jX0,2021-01-05,,,2.06,,5.44,3.66,6.77,4.26,5.51,4.33,1.43,2.0,1.13,1.3,2.0,2.86,159
5,GB,United Kingdom,Renfrewshire,GB-RFW,,,ChIJMWXTLcFIiEgRgcDTu3b7jX0,2021-01-06,,,2.09,,4.03,3.96,5.77,4.23,4.65,4.8,1.24,1.77,1.09,1.04,1.84,2.24,126
6,GB,United Kingdom,Renfrewshire,GB-RFW,,,ChIJMWXTLcFIiEgRgcDTu3b7jX0,2021-01-07,,,2.32,,3.72,3.99,6.54,4.47,4.97,4.87,1.8,2.5,0.87,,1.62,2.65,96
7,GB,United Kingdom,Renfrewshire,GB-RFW,,,ChIJMWXTLcFIiEgRgcDTu3b7jX0,2021-01-08,,,1.51,,4.58,3.37,4.88,4.21,4.71,5.19,1.41,1.99,0.76,1.36,1.66,2.09,69
8,GB,United Kingdom,Renfrewshire,GB-RFW,,,ChIJMWXTLcFIiEgRgcDTu3b7jX0,2021-01-09,,,2.0,,4.08,4.08,6.03,3.72,5.6,5.11,1.44,1.41,0.95,0.87,1.69,2.26,74
9,GB,United Kingdom,Renfrewshire,GB-RFW,,,ChIJMWXTLcFIiEgRgcDTu3b7jX0,2021-01-10,,,2.14,,4.5,3.72,6.56,3.9,5.03,4.57,1.71,1.76,1.0,1.46,1.43,2.71,67
