,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,South Lanarkshire,GB-SLK,,,ChIJfUCdedcaiEgRsLNCBhpoDAM,2021-01-01,,,2.2,,3.79,4.14,5.89,2.95,5.62,4.07,1.99,2.42,0.65,0.83,1.7,3.52,68
1,GB,United Kingdom,South Lanarkshire,GB-SLK,,,ChIJfUCdedcaiEgRsLNCBhpoDAM,2021-01-02,,,2.55,,4.05,3.82,5.31,3.05,4.32,4.16,1.78,2.07,1.02,1.06,1.61,2.91,149
2,GB,United Kingdom,South Lanarkshire,GB-SLK,,,ChIJfUCdedcaiEgRsLNCBhpoDAM,2021-01-03,,,2.18,,4.25,4.32,5.95,3.91,4.64,4.22,1.5,2.03,1.0,1.09,1.87,2.42,162
3,GB,United Kingdom,South Lanarkshire,GB-SLK,,,ChIJfUCdedcaiEgRsLNCBhpoDAM,2021-01-04,,,1.97,,4.32,3.56,4.96,3.69,4.36,4.33,1.38,1.89,0.82,1.07,1.44,2.47,155
4,GB,United Kingdom,South Lanarkshire,GB-SLK,,,ChIJfUCdedcaiEgRsLNCBhpoDAM,2021-01-05,,,2.35,,4.6,3.56,6.4,4.58,5.23,4.96,1.44,2.19,0.74,0.86,1.77,2.48,200
5,GB,United Kingdom,South Lanarkshire,GB-SLK,,,ChIJfUCdedcaiEgRsLNCBhpoDAM,2021-01-06,,,2.28,,4.5,3.63,6.24,3.58,4.65,4.54,1.24,1.71,1.5,1.11,1.39,2.14,200
6,GB,United Kingdom,South Lanarkshire,GB-SLK,,,ChIJfUCdedcaiEgRsLNCBhpoDAM,2021-01-07,,,1.82,,3.82,3.87,6.03,3.55,4.74,4.62,1.31,2.03,0.87,0.93,1.32,2.0,130
7,GB,United Kingdom,South Lanarkshire,GB-SLK,,,ChIJfUCdedcaiEgRsLNCBhpoDAM,2021-01-08,,,1.71,,3.55,3.59,5.61,3.2,4.44,4.1,1.35,1.83,0.77,1.02,1.35,2.37,113
8,GB,United Kingdom,South Lanarkshire,GB-SLK,,,ChIJfUCdedcaiEgRsLNCBhpoDAM,2021-01-09,,,1.5,,3.79,3.69,5.38,3.72,5.13,4.69,1.43,1.93,0.64,0.64,1.89,2.07,101
9,GB,United Kingdom,South Lanarkshire,GB-SLK,,,ChIJfUCdedcaiEgRsLNCBhpoDAM,2021-01-10,,,1.82,,3.64,4.09,6.67,3.64,4.85,4.35,1.57,2.43,0.83,1.13,1.36,2.62,81
10,GB,United Kingdom,South Lanarkshire,GB-SLK,,,ChIJfUCdedcaiEgRsLNCBhpoDAM,2021-01-11,,,2.14,,3.4,3.89,5.87,3.54,4.44,4.1,1.41,1.77,0.74,1.11,1.36,2.37,163
11,GB,United Kingdom,South Lanarkshire,GB-SLK,,,ChIJfUCdedcaiEgRsLNCBhpoDAM,2021-01-12,,,2.12,,3.22,3.87,6.04,3.35,4.31,4.26,0.69,1.93,0.97,1.0,1.15,2.22,130
12,GB,United Kingdom,South Lanarkshire,GB-SLK,,,ChIJfUCdedcaiEgRsLNCBhpoDAM,2021-01-13,,,1.85,,3.28,3.81,6.42,3.75,4.26,4.41,1.22,1.77,1.11,0.93,1.6,2.34,135
