,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Southend-on-Sea,GB-SOS,,,ChIJ546Ao2nY2EcRYJ_Du6gcDgM,2021-01-01,,,2.55,,5.96,4.37,6.82,5.5,6.46,5.8,2.75,3.11,1.16,1.23,2.75,4.07,168
1,GB,United Kingdom,Southend-on-Sea,GB-SOS,,,ChIJ546Ao2nY2EcRYJ_Du6gcDgM,2021-01-02,,,2.24,,5.74,4.33,6.76,5.71,5.8,5.29,1.86,2.37,1.54,1.38,2.56,3.21,250
2,GB,United Kingdom,Southend-on-Sea,GB-SOS,,,ChIJ546Ao2nY2EcRYJ_Du6gcDgM,2021-01-03,,,2.23,,7.09,2.89,8.07,7.09,5.5,5.47,1.97,2.57,1.43,1.84,2.07,3.05,252
3,GB,United Kingdom,Southend-on-Sea,GB-SOS,,,ChIJ546Ao2nY2EcRYJ_Du6gcDgM,2021-01-04,,,2.73,,6.0,4.11,6.61,6.95,4.48,4.45,1.35,2.61,1.92,1.03,2.27,2.58,360
4,GB,United Kingdom,Southend-on-Sea,GB-SOS,,,ChIJ546Ao2nY2EcRYJ_Du6gcDgM,2021-01-05,,,1.91,,4.83,4.34,6.37,5.58,5.5,4.51,1.68,1.62,1.5,1.1,1.79,2.66,254
5,GB,United Kingdom,Southend-on-Sea,GB-SOS,,,ChIJ546Ao2nY2EcRYJ_Du6gcDgM,2021-01-06,,,1.41,,5.65,4.26,7.06,5.32,5.82,5.0,1.26,1.94,1.38,1.38,2.53,2.41,221
6,GB,United Kingdom,Southend-on-Sea,GB-SOS,,,ChIJ546Ao2nY2EcRYJ_Du6gcDgM,2021-01-07,,,2.12,,6.02,4.37,5.78,5.78,6.28,5.6,1.65,2.09,1.3,1.33,1.89,3.01,243
7,GB,United Kingdom,Southend-on-Sea,GB-SOS,,,ChIJ546Ao2nY2EcRYJ_Du6gcDgM,2021-01-08,,,1.91,,4.35,4.61,6.61,5.5,4.73,4.64,1.29,1.82,1.35,0.73,1.73,2.26,202
8,GB,United Kingdom,Southend-on-Sea,GB-SOS,,,ChIJ546Ao2nY2EcRYJ_Du6gcDgM,2021-01-09,,,2.5,,4.81,3.83,6.17,4.43,5.22,5.35,1.3,2.28,1.49,1.46,1.33,2.41,137
9,GB,United Kingdom,Southend-on-Sea,GB-SOS,,,ChIJ546Ao2nY2EcRYJ_Du6gcDgM,2021-01-10,,,2.09,,6.15,4.06,6.88,5.01,6.22,5.49,2.44,2.25,1.55,1.46,1.65,2.28,110
10,GB,United Kingdom,Southend-on-Sea,GB-SOS,,,ChIJ546Ao2nY2EcRYJ_Du6gcDgM,2021-01-11,,,2.92,,6.05,4.34,7.12,5.35,6.19,5.38,1.3,1.91,1.27,1.22,2.03,2.95,225
11,GB,United Kingdom,Southend-on-Sea,GB-SOS,,,ChIJ546Ao2nY2EcRYJ_Du6gcDgM,2021-01-12,,,2.16,,4.52,4.55,8.1,5.26,5.23,5.14,1.36,2.57,1.15,1.12,0.89,2.78,192
