,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-01,,,1.44,,3.61,4.72,5.18,2.82,5.7,5.11,1.44,1.84,,,2.62,3.87,9
1,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-02,,,1.34,,4.2,3.35,6.27,3.47,4.99,4.32,1.28,1.52,,,2.31,3.23,15
2,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-03,,,2.36,,3.51,2.96,6.23,4.54,3.63,3.39,1.81,1.45,,,1.81,2.96,18
3,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-04,,,1.53,,4.48,3.8,6.92,3.63,4.71,3.63,1.53,1.93,,,1.3,2.66,19
4,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-05,,,1.96,,4.38,3.57,6.05,3.86,4.55,6.8,1.27,2.13,,,,2.31,32
5,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-06,,,1.96,,4.15,2.77,5.94,3.86,5.25,6.17,1.21,2.02,,,1.67,2.19,48
6,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-07,,,1.38,,3.22,2.58,5.23,4.14,4.48,5.34,2.01,2.24,,,1.26,2.47,17
7,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-08,,,1.61,,2.99,3.34,5.07,3.63,5.24,4.26,,1.78,,,1.38,1.84,19
8,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-09,,,1.82,,3.93,4.4,6.16,3.4,4.46,5.63,1.41,1.82,,,,2.81,14
9,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-10,,,2.37,,3.42,4.46,7.12,3.94,5.44,6.14,,2.08,,,,2.6,9
10,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-11,,,2.17,,3.3,2.58,6.03,5.0,4.23,3.35,1.34,1.5,,,,2.89,14
11,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-12,,,1.61,,4.24,3.33,7.35,3.06,5.15,4.51,1.4,2.04,,,,2.74,36
12,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-13,,,1.63,,3.79,3.89,6.73,3.58,4.42,4.84,,3.42,,,1.37,3.37,16
13,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-14,,,2.04,,3.76,4.13,5.58,3.65,5.1,4.78,1.23,2.15,,,2.04,3.11,34
14,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-15,,,2.11,,4.99,2.87,5.42,3.04,3.85,3.85,,1.9,2.01,,1.84,2.44,9
15,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-16,,,,,3.38,2.74,5.94,2.97,4.95,3.96,,1.34,,,,3.03,17
16,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-17,,,1.39,,3.0,3.58,5.77,3.87,5.31,4.91,1.73,1.91,,,,2.94,20
17,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-18,,,1.75,,3.6,3.39,5.77,3.39,5.03,4.71,,1.8,,,1.91,1.96,15
18,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-19,,,1.84,,2.94,3.63,6.42,3.79,5.89,4.42,1.26,1.52,,,1.79,2.84,29
19,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-20,,,1.6,,3.68,4.96,5.76,3.63,4.96,3.79,1.28,1.6,1.17,,,2.56,20
20,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-21,,,1.83,,3.61,4.8,6.79,3.18,5.45,4.8,1.13,1.56,,,1.4,2.43,18
21,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-22,,,1.93,,3.41,5.5,6.49,4.23,5.0,3.79,1.16,1.43,,,1.98,2.04,9
22,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-23,,,2.02,,2.37,5.04,7.06,3.97,4.51,3.44,1.3,2.25,,,,3.08,18
23,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-24,,,1.92,,3.12,3.77,5.51,3.17,5.09,4.49,,1.92,,,1.44,2.7,12
24,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-25,,,2.27,,3.54,3.44,6.14,4.18,4.02,5.29,,1.69,1.22,,1.53,1.91,22
25,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-26,,,1.7,,3.02,4.51,6.63,4.61,4.72,4.03,,1.85,,,2.28,2.39,26
26,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-27,,,1.95,,3.63,4.26,5.52,3.79,4.26,3.58,,1.37,1.42,,1.21,2.05,23
27,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-28,,,,,3.54,4.8,6.65,3.43,5.33,5.12,,2.96,,,1.48,4.01,16
28,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-29,,,1.35,,2.87,4.43,5.84,2.87,3.73,4.33,,2.06,,,,2.7,17
29,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-30,,,1.36,,3.36,3.9,4.96,3.36,5.08,4.84,1.24,2.6,,,,2.48,8
30,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-01-31,,,,,3.12,3.64,5.88,3.17,4.35,4.17,1.94,1.82,,,,2.17,23
31,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-01,,,1.59,,3.34,3.56,5.47,3.56,4.03,4.35,,2.02,,,1.33,2.28,18
32,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-02,,,1.15,,3.55,3.6,6.88,2.92,5.01,4.96,,,1.98,,1.67,2.4,17
33,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-03,,,1.32,,3.69,3.74,6.37,3.79,3.27,3.9,1.21,1.69,1.21,,1.48,2.05,25
34,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-04,,,1.17,,3.34,3.29,6.89,3.77,3.87,4.4,1.17,1.43,,,1.49,2.76,22
35,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-05,,,2.44,,3.37,3.42,5.75,2.88,5.7,4.02,,2.12,,,1.36,2.71,27
36,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-06,,,1.29,,2.99,3.23,4.69,3.4,3.69,3.52,1.64,1.47,,,,2.46,14
37,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-07,,,2.23,,3.11,4.34,7.46,4.81,3.82,4.93,1.35,1.88,,,,2.64,17
38,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-08,,,2.69,,2.8,3.39,5.87,3.28,4.09,4.2,,,,,1.4,,31
39,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-09,,,1.96,,3.16,2.72,6.97,3.1,3.87,4.57,,,,,1.42,2.34,15
40,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-10,,,1.94,,2.99,4.1,7.15,4.71,5.37,4.38,,1.16,,,,2.16,23
41,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-11,,,1.55,,3.04,2.93,6.46,4.14,3.26,4.97,,1.55,,,1.44,1.49,16
42,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-12,,,1.84,,3.52,2.57,4.19,3.58,4.08,4.08,1.34,1.9,,,1.68,2.35,22
43,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-13,,,1.44,,3.6,4.49,6.35,3.77,5.63,3.71,,1.98,,,1.8,1.86,25
44,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-14,,,2.73,,3.21,3.56,5.46,4.27,2.91,3.15,,1.54,,,,2.14,17
45,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-15,,,2.12,,2.56,3.84,6.57,3.9,5.4,4.4,1.39,2.12,,,1.39,2.84,26
46,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-16,,,2.34,,3.89,3.95,6.95,2.95,4.62,5.34,,1.83,,,1.72,2.39,27
47,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-17,,,1.85,,2.75,3.2,7.41,3.25,5.44,5.11,,2.02,,,1.18,1.63,13
48,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-18,,,1.78,,3.85,4.24,6.75,4.35,4.63,4.52,1.23,1.78,1.23,,,3.29,14
49,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-19,,,,,3.53,3.92,6.95,4.14,4.76,5.88,2.41,2.41,,,1.46,2.91,17
50,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-20,,,2.06,,3.36,4.66,6.78,3.65,4.89,5.01,,2.59,,,1.71,2.53,11
51,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-21,,,1.92,,3.12,4.44,7.2,3.36,5.94,4.02,1.5,2.4,,,1.62,2.76,23
52,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-22,,,1.38,,3.91,4.24,7.37,3.14,4.35,5.23,,2.09,1.16,,,2.86,27
53,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-23,,,1.63,,3.73,4.2,7.04,4.25,5.1,5.25,1.52,1.89,,,1.42,3.78,22
54,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-24,,,2.29,,4.16,3.94,8.0,3.31,4.26,4.0,,1.44,,,1.71,2.77,24
55,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-25,,,1.28,,2.13,3.88,6.49,3.46,3.51,3.88,,2.29,,,,3.67,24
56,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-26,,,1.28,,2.68,3.79,5.96,1.78,4.68,4.29,,1.73,,,1.84,2.12,14
57,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-27,,,1.78,,3.38,4.62,5.57,2.43,5.09,4.38,,2.67,,,2.13,3.14,18
58,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-02-28,,,2.02,,2.2,3.62,6.0,2.62,4.52,3.27,,2.02,,,,2.62,9
59,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-01,,,2.04,,2.82,3.7,7.02,2.82,5.86,5.75,,1.93,,,,2.71,20
60,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-02,,,1.47,,2.83,4.08,6.86,3.16,4.46,5.06,,1.69,,,1.69,1.74,20
61,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-03,,,2.13,,4.8,4.0,7.25,4.16,4.21,4.48,,1.55,,,,1.65,14
62,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-04,,,1.57,,2.88,3.26,6.84,3.69,3.96,3.96,,1.52,,,,2.12,16
63,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-05,,,,,2.2,3.83,5.98,2.42,4.06,4.57,,2.25,1.24,,1.18,2.71,11
64,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-06,,,1.82,,3.03,3.7,7.28,1.76,4.85,5.09,,1.52,,,1.27,3.33,26
65,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-07,,,1.82,,3.05,3.05,6.39,2.87,4.98,3.34,,1.23,1.29,,,3.11,12
66,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-08,,,2.26,,2.15,5.33,6.52,3.39,4.79,4.69,2.05,1.62,,,1.24,2.37,31
67,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-09,,,2.04,,3.27,3.32,6.22,3.11,5.09,4.13,,2.2,,,,3.16,24
68,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-10,,,2.04,,3.16,4.23,6.86,2.84,4.93,3.7,,2.36,1.18,,1.45,3.05,17
69,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-11,,,1.35,,2.81,4.1,6.48,3.78,4.27,4.81,,,,,,2.43,13
70,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-12,,,2.1,,3.1,4.37,6.13,4.14,4.92,4.03,2.65,,,,1.71,2.76,12
71,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-13,,,1.54,,2.52,3.44,6.21,3.08,4.3,3.69,1.29,1.84,,,1.48,3.2,12
72,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-14,,,2.15,,3.12,3.62,6.0,3.98,5.15,3.8,1.66,2.94,,,2.21,3.98,17
73,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-15,,,2.22,,3.33,3.66,7.66,3.55,3.88,5.11,1.33,2.27,1.17,,2.05,3.22,9
74,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-16,,,1.86,,3.55,3.83,6.47,3.21,4.39,4.79,1.35,1.69,,,2.65,2.2,8
75,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-17,,,2.2,,2.88,4.51,7.28,3.61,4.63,4.8,,1.69,,,,2.26,4
76,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-18,,,2.18,,3.68,4.02,6.42,3.96,3.68,4.35,,1.34,1.4,,,2.62,4
77,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-19,,,1.3,,2.53,3.65,6.48,4.48,2.42,3.83,,2.24,,,,2.71,9
78,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-20,,,1.66,,4.11,3.87,4.79,4.17,4.6,3.68,,2.09,,,1.66,2.03,8
79,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-21,,,2.28,,4.32,3.08,6.54,3.88,4.38,4.69,,1.36,,,2.04,1.73,6
80,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-22,,,1.98,,3.79,4.39,6.86,5.05,4.5,5.66,,1.92,,,2.31,3.46,10
81,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-23,,,1.82,,4.18,3.22,6.92,4.5,4.77,3.91,1.13,1.77,,,2.25,2.04,5
82,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-24,,,2.23,,3.58,3.64,7.5,3.31,5.0,4.13,,2.12,,,1.63,2.88,7
83,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-25,,,,,3.52,3.3,6.66,3.79,4.49,5.25,1.79,2.11,,,1.79,1.89,3
84,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-26,,,2.49,,4.04,3.93,6.03,2.93,4.87,4.59,,2.05,,,1.66,1.99,12
85,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-27,,,1.25,,3.46,4.71,6.38,5.07,5.31,4.29,1.61,2.09,,,1.79,2.86,6
86,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-28,,,1.84,,3.97,3.22,6.1,3.74,4.37,3.97,1.27,1.38,,,1.73,2.99,5
87,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-29,,,1.29,,3.44,4.3,7.74,4.09,5.43,5.16,1.61,1.45,,,,2.15,13
88,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-30,,,1.76,,4.35,5.39,7.43,3.41,5.39,4.79,,3.19,,,2.2,2.58,7
89,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-03-31,,,1.76,,4.49,3.42,6.68,3.48,5.93,4.81,,1.18,,,2.89,2.14,7
90,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-04-01,,,1.56,,4.23,3.59,6.03,2.78,4.7,4.17,,1.39,,,1.51,1.62,10
91,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-04-02,,,1.81,,3.49,5.43,6.24,2.81,3.99,3.49,2.25,1.62,1.75,,2.0,2.12,9
92,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-04-03,,,1.6,,3.27,3.34,6.61,3.47,5.28,3.34,,1.4,,,,2.47,7
93,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-04-04,,,2.39,,4.85,4.37,7.12,2.75,4.97,4.13,,1.98,,,2.75,2.45,5
94,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-04-05,,,,,4.31,4.19,6.05,2.91,6.0,5.12,1.4,1.63,,,1.75,2.85,7
95,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-04-06,,,1.63,,3.43,4.84,7.09,2.92,4.44,5.96,1.35,2.31,,,1.35,3.32,6
96,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-04-07,,,1.42,,3.62,4.08,7.76,3.34,5.38,4.93,1.87,2.66,,,3.23,3.11,5
97,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-04-08,,,1.93,,3.81,3.81,9.06,3.31,5.36,6.13,1.66,1.66,,,1.16,1.99,10
98,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-04-09,,,,,3.44,3.44,5.28,2.19,3.92,3.8,1.78,2.02,,,,2.37,6
99,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-04-10,,,2.09,,3.82,3.46,6.26,3.52,3.28,4.12,,1.79,,,1.91,2.45,3
100,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-04-11,,,2.2,,3.57,3.09,7.55,3.21,4.16,3.69,1.55,2.73,,,1.9,3.69,2
101,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-04-12,,,1.89,,3.44,4.36,6.03,2.87,3.96,4.76,1.26,3.56,1.21,,1.55,2.64,5
102,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-04-13,,,1.97,,3.32,4.33,7.59,2.36,4.95,5.57,,1.97,,,,2.14,3
103,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-04-14,,,1.52,,3.16,3.1,6.73,1.93,5.79,6.38,,1.7,1.29,,,2.98,1
104,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-04-15,,,2.04,,2.1,3.95,7.49,4.07,4.67,4.43,1.32,1.8,,,1.26,2.82,0
105,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-04-16,,,1.52,,3.64,4.8,5.71,2.55,4.67,5.46,,1.46,,,,2.06,8
106,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-04-17,,,1.37,,3.06,3.91,5.47,2.21,3.78,4.04,,1.43,,,,2.21,1
107,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-04-18,,,1.79,,3.76,3.87,7.05,3.01,4.45,4.11,1.45,2.25,,,1.62,1.85,0
108,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-04-19,,,2.57,,3.36,3.25,7.38,3.47,3.8,4.14,1.34,1.79,,,,2.63,3
109,GB,United Kingdom,Stirling,GB-STG,,,ChIJvcYk6pRiiEgRU8UgjtzDpV4,2021-04-20,,,1.57,,2.77,4.13,8.74,2.93,4.72,4.89,1.25,2.5,,,1.3,2.72,3
