,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Stockton-on-Tees,GB-STT,,,ChIJMU7U5h6TfkgRsKBv7Z75DAM,2021-01-01,,,2.51,,4.73,3.39,5.82,3.74,4.78,4.22,1.74,2.35,0.85,1.04,2.08,2.88,84
1,GB,United Kingdom,Stockton-on-Tees,GB-STT,,,ChIJMU7U5h6TfkgRsKBv7Z75DAM,2021-01-02,,,2.82,,4.46,3.55,5.37,3.55,4.67,4.85,1.23,1.93,0.6,1.07,1.56,3.0,140
2,GB,United Kingdom,Stockton-on-Tees,GB-STT,,,ChIJMU7U5h6TfkgRsKBv7Z75DAM,2021-01-03,,,2.55,,4.63,4.12,6.02,4.81,4.94,4.81,1.49,1.77,1.16,1.03,1.72,2.78,132
3,GB,United Kingdom,Stockton-on-Tees,GB-STT,,,ChIJMU7U5h6TfkgRsKBv7Z75DAM,2021-01-04,,,1.89,,4.6,3.56,5.77,3.63,4.67,5.04,1.58,2.1,0.85,1.55,1.6,2.62,168
4,GB,United Kingdom,Stockton-on-Tees,GB-STT,,,ChIJMU7U5h6TfkgRsKBv7Z75DAM,2021-01-05,,,1.88,,5.27,3.61,6.5,3.77,5.79,5.43,1.59,1.57,1.26,0.78,1.64,1.83,134
5,GB,United Kingdom,Stockton-on-Tees,GB-STT,,,ChIJMU7U5h6TfkgRsKBv7Z75DAM,2021-01-06,,,1.6,,4.55,4.45,6.53,4.55,4.97,4.69,1.65,1.79,1.63,1.16,1.2,2.5,108
6,GB,United Kingdom,Stockton-on-Tees,GB-STT,,,ChIJMU7U5h6TfkgRsKBv7Z75DAM,2021-01-07,,,1.95,,4.67,3.79,5.88,4.14,4.38,4.55,1.33,1.72,0.98,0.98,1.33,2.79,124
7,GB,United Kingdom,Stockton-on-Tees,GB-STT,,,ChIJMU7U5h6TfkgRsKBv7Z75DAM,2021-01-08,,,1.79,,4.38,3.62,5.74,3.69,4.41,3.98,1.48,2.07,1.45,0.95,1.5,1.93,118
8,GB,United Kingdom,Stockton-on-Tees,GB-STT,,,ChIJMU7U5h6TfkgRsKBv7Z75DAM,2021-01-09,,,1.68,,5.22,3.54,5.66,4.21,5.09,4.76,1.63,1.34,1.06,1.01,1.91,2.04,101
9,GB,United Kingdom,Stockton-on-Tees,GB-STT,,,ChIJMU7U5h6TfkgRsKBv7Z75DAM,2021-01-10,,,2.21,,4.67,3.4,6.72,3.76,4.33,4.13,1.74,2.15,1.38,0.93,1.48,2.31,94
10,GB,United Kingdom,Stockton-on-Tees,GB-STT,,,ChIJMU7U5h6TfkgRsKBv7Z75DAM,2021-01-11,,,1.93,,4.46,4.09,7.19,5.05,4.72,4.42,1.13,1.83,1.25,0.52,1.6,3.22,156
11,GB,United Kingdom,Stockton-on-Tees,GB-STT,,,ChIJMU7U5h6TfkgRsKBv7Z75DAM,2021-01-12,,,2.15,,4.01,3.8,6.81,3.85,4.9,4.63,1.34,2.05,0.93,1.34,1.53,2.41,158
12,GB,United Kingdom,Stockton-on-Tees,GB-STT,,,ChIJMU7U5h6TfkgRsKBv7Z75DAM,2021-01-13,,,2.22,,3.73,3.96,6.84,4.79,4.69,4.93,1.6,2.22,1.37,1.08,1.34,2.22,119
