,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-01,,,2.62,,4.15,4.05,6.57,3.48,5.61,5.19,1.58,2.42,0.89,1.61,1.75,3.53,81
1,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-02,,,2.3,,4.32,3.94,6.24,4.11,4.93,5.23,1.76,2.11,1.03,0.94,1.48,2.75,130
2,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-03,,,2.42,,4.94,4.15,7.14,3.63,4.89,4.27,1.9,2.04,0.85,1.61,2.3,2.25,83
3,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-04,,,2.34,,4.15,4.53,6.21,4.15,4.82,4.22,1.41,1.92,1.5,1.35,1.7,2.03,156
4,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-05,,,2.2,,5.07,4.1,6.84,4.26,5.32,5.34,1.63,2.42,1.52,1.16,1.38,2.35,151
5,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-06,,,2.53,,4.37,4.11,7.23,4.74,5.46,5.31,1.7,1.44,1.16,1.46,1.79,2.53,86
6,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-07,,,2.58,,4.31,4.01,7.51,3.66,5.25,5.23,1.6,2.17,1.2,1.16,1.69,2.71,68
7,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-08,,,2.27,,4.22,3.65,6.75,3.58,4.28,4.67,1.4,1.83,1.4,1.14,1.75,2.99,89
8,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-09,,,2.4,,4.17,4.11,6.23,3.83,5.78,4.99,1.35,1.54,1.03,1.05,1.63,2.31,56
9,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-10,,,2.43,,4.13,3.87,7.12,3.8,5.62,4.74,1.38,2.08,0.96,1.54,1.56,2.36,86
10,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-11,,,2.28,,4.82,4.25,6.95,3.78,5.7,5.89,1.6,2.15,1.12,1.12,1.86,2.85,90
11,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-12,,,2.11,,4.45,4.39,7.94,3.81,5.1,5.23,1.35,2.41,1.31,1.33,1.57,2.62,75
12,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-13,,,2.52,,4.23,4.55,7.31,4.17,5.11,4.81,1.05,2.07,1.62,1.22,1.73,2.99,71
13,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-14,,,1.8,,4.05,4.66,7.89,3.75,4.72,4.92,0.93,2.38,0.71,1.34,1.6,2.93,52
14,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-15,,,2.18,,3.91,4.68,6.84,3.61,4.66,4.75,1.23,2.0,1.36,0.99,1.69,2.64,63
15,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-16,,,2.61,,4.13,4.62,6.81,4.18,5.9,5.41,1.24,2.59,0.93,1.07,1.42,3.17,63
16,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-17,,,2.27,,4.33,4.14,7.08,3.65,5.64,5.81,0.9,1.85,1.11,1.2,2.15,2.73,39
17,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-18,,,2.49,,3.89,4.03,7.5,4.37,4.67,4.48,1.39,2.41,1.06,1.14,1.9,2.98,55
18,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-19,,,2.51,,3.27,4.57,6.97,4.82,5.67,5.48,1.23,2.0,1.02,1.02,1.74,2.93,54
19,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-20,,,2.37,,3.66,4.51,7.69,3.9,5.53,4.91,1.02,1.91,0.74,0.99,1.63,2.35,42
20,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-21,,,2.91,,3.85,3.89,7.1,3.71,5.14,4.74,1.4,2.03,1.42,1.0,1.92,2.91,45
21,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-22,,,2.56,,4.05,4.12,6.56,4.52,4.18,4.8,0.77,2.51,0.84,1.03,1.81,3.19,34
22,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-23,,,2.05,,3.34,3.95,6.35,4.27,5.74,5.18,1.7,2.03,0.96,1.07,1.31,2.85,31
23,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-24,,,2.18,,3.25,5.2,5.93,3.56,4.77,4.55,1.09,2.02,0.62,1.19,1.23,3.08,24
24,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-25,,,2.28,,3.81,3.81,7.43,4.01,4.91,5.41,1.16,2.02,1.01,1.29,1.12,2.91,41
25,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-26,,,1.88,,3.79,4.13,6.95,4.16,4.82,4.9,1.13,2.34,1.02,0.81,1.41,3.0,40
26,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-27,,,1.99,,3.4,4.12,7.76,3.36,5.46,5.2,1.25,2.28,1.14,0.87,1.44,2.79,39
27,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-28,,,2.12,,3.3,4.89,6.63,3.98,5.36,5.74,1.36,1.76,1.14,1.17,1.21,3.56,28
28,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-29,,,2.25,,3.41,3.37,6.96,3.65,5.13,4.66,0.88,1.93,0.92,1.2,1.35,3.5,31
29,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-30,,,2.36,,3.37,4.67,6.8,3.39,4.65,4.9,1.01,2.2,0.82,1.63,1.44,3.02,19
30,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-01-31,,,2.33,,3.92,4.06,7.0,2.85,5.02,5.04,1.09,1.92,1.28,1.19,1.57,2.62,21
31,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-02-01,,,1.9,,4.01,3.99,6.92,3.19,5.93,5.64,0.99,2.38,1.39,1.41,1.12,3.02,25
32,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-02-02,,,2.33,,4.55,4.15,6.87,3.11,5.9,5.39,1.23,2.39,1.95,1.16,1.69,3.05,23
33,GB,United Kingdom,Swansea,GB-SWA,,,ChIJBZwG_lfybkgRQKKZ1COLDQM,2021-02-03,,,2.69,,4.08,3.94,7.57,3.56,5.27,4.83,1.21,2.12,1.41,0.93,1.6,2.97,28
