,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-01,,,1.89,,6.71,2.96,4.91,5.08,5.62,5.2,2.57,2.22,1.36,1.15,1.95,2.54,220
1,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-02,,,2.48,,6.29,3.42,4.84,4.98,5.72,4.92,1.94,2.02,0.94,1.28,2.02,2.76,362
2,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-03,,,2.14,,6.32,3.92,6.4,5.39,4.82,4.29,1.72,2.48,1.61,1.52,1.81,2.62,313
3,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-04,,,1.71,,5.81,3.45,5.78,5.08,3.91,3.65,1.53,1.63,1.5,1.11,2.2,2.59,435
4,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-05,,,2.43,,5.38,3.16,5.79,5.43,3.99,3.91,1.44,2.11,1.59,1.33,1.56,2.9,357
5,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-06,,,1.76,,5.33,4.2,4.65,5.62,4.76,4.07,1.5,2.08,1.0,1.29,2.26,2.08,326
6,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-07,,,1.77,,5.71,4.02,6.53,4.68,4.73,3.91,1.59,2.06,1.29,1.22,1.93,2.62,294
7,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-08,,,2.19,,4.43,3.27,5.2,4.28,4.51,3.98,1.37,2.11,1.16,1.03,1.56,2.32,234
8,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-09,,,1.51,,5.19,3.93,5.45,4.59,4.33,4.19,1.82,1.31,1.37,1.05,1.45,1.94,195
9,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-10,,,2.02,,5.79,3.77,5.88,5.32,5.06,3.99,1.8,1.97,1.18,1.01,1.55,2.42,163
10,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-11,,,1.83,,4.84,3.76,6.13,5.21,4.95,3.94,1.26,2.29,1.6,1.37,1.31,2.55,275
11,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-12,,,1.83,,4.24,2.92,6.22,4.75,4.31,3.18,1.47,1.91,1.34,1.19,1.5,2.38,227
12,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-13,,,1.65,,4.38,3.14,5.74,4.28,5.38,4.25,1.57,2.68,1.47,1.0,1.47,2.58,220
13,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-14,,,1.71,,5.22,3.98,6.0,5.07,4.26,4.45,1.24,2.2,1.16,1.22,1.52,2.35,205
14,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-15,,,1.53,,4.9,3.32,5.41,3.64,3.88,3.64,1.45,2.14,1.45,1.47,1.15,2.14,164
15,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-16,,,2.12,,5.23,3.22,6.13,4.18,5.17,5.11,1.64,2.57,0.79,1.1,1.92,3.14,126
16,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-17,,,2.14,,4.11,3.69,5.49,4.46,4.68,5.14,1.43,1.74,0.74,0.94,1.14,2.46,100
17,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-18,,,2.27,,4.65,3.92,5.95,4.52,4.73,4.6,1.31,2.19,1.31,1.18,1.18,2.66,164
18,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-19,,,1.8,,3.78,3.57,6.39,4.23,4.59,4.41,1.41,1.49,0.73,0.57,1.7,2.09,120
19,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-20,,,2.16,,4.0,4.34,6.08,4.18,3.92,3.72,1.12,1.79,0.81,1.25,1.66,2.29,121
20,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-21,,,2.13,,4.21,3.53,5.85,4.24,3.5,3.98,1.24,1.34,1.08,0.79,1.61,2.5,100
21,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-22,,,2.05,,3.85,3.46,5.61,4.46,3.0,3.32,1.38,2.02,0.93,1.09,1.41,2.37,94
22,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-23,,,2.12,,4.62,2.61,5.01,4.56,4.87,3.8,1.25,1.93,,1.02,1.64,2.52,74
23,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-24,,,1.91,,4.22,3.55,5.18,4.03,4.19,3.38,1.24,1.86,1.18,0.79,1.32,2.25,57
24,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-25,,,1.87,,3.89,3.89,6.44,3.57,3.76,4.07,1.16,2.02,1.18,1.02,1.76,2.81,104
25,GB,United Kingdom,Thurrock,GB-THR,,,ChIJE2okxgPI2EcRUJ_toi2uDgM,2021-01-26,,,1.91,,4.48,3.12,6.33,4.42,3.9,3.8,1.44,1.47,0.86,1.05,1.54,1.94,85
