,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-01,,,1.97,,3.88,4.32,5.07,2.88,5.36,4.42,1.88,2.69,,1.19,1.35,4.04,29
1,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-02,,,1.62,,3.95,3.95,6.01,4.09,4.48,3.83,1.65,2.21,0.8,0.85,2.15,2.65,39
2,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-03,,,2.29,,5.32,3.67,5.9,3.47,4.7,4.58,1.26,1.97,,0.91,1.59,2.5,43
3,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-04,,,2.1,,4.25,4.22,5.28,3.33,4.97,4.64,1.51,1.93,0.95,1.12,1.56,2.32,52
4,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-05,,,1.96,,4.89,4.4,5.85,3.67,5.6,5.17,1.7,1.56,1.17,1.39,1.65,2.78,44
5,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-06,,,1.96,,4.67,3.67,6.46,3.02,5.06,5.35,1.45,2.13,1.45,0.88,1.45,2.05,47
6,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-07,,,1.61,,3.99,3.74,6.59,3.45,4.98,4.36,1.36,1.78,0.76,0.59,1.44,2.26,51
7,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-08,,,1.62,,3.85,3.76,5.93,3.79,4.34,4.89,0.98,2.08,0.61,0.81,1.65,2.54,23
8,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-09,,,1.66,,4.26,3.19,6.77,3.69,5.14,5.53,1.66,2.31,0.68,1.36,1.6,2.25,37
9,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-10,,,1.84,,4.31,3.82,6.98,3.91,5.89,4.83,1.75,1.67,1.01,1.24,1.09,2.21,26
10,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-11,,,1.96,,4.24,3.8,7.8,3.4,4.77,4.84,1.49,1.86,0.84,0.71,1.26,2.91,61
11,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-12,,,1.8,,3.63,4.42,6.19,3.35,4.72,4.64,0.95,2.43,0.82,1.23,1.28,2.32,37
12,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-13,,,1.91,,3.41,3.33,5.64,3.87,4.13,4.67,1.02,1.8,0.94,0.91,1.5,2.28,53
13,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-14,,,2.07,,3.73,4.44,6.26,3.21,3.95,4.93,1.28,1.74,1.36,1.09,1.25,2.81,28
14,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-15,,,1.97,,3.98,3.57,6.06,3.79,4.82,4.57,1.22,1.74,0.61,1.0,1.27,2.79,28
15,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-16,,,2.01,,3.44,3.35,6.29,2.62,6.0,5.62,1.46,1.98,0.84,1.02,1.69,2.91,25
16,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-17,,,1.95,,4.27,4.12,6.19,2.67,5.69,5.69,1.36,2.5,0.78,0.9,1.57,3.28,25
17,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-18,,,2.19,,3.57,4.67,6.97,3.86,5.48,5.57,1.16,2.11,0.81,1.05,1.08,3.13,48
18,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-19,,,2.05,,4.69,4.55,6.49,3.61,5.44,5.39,1.4,1.51,,1.1,1.29,2.56,49
19,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-20,,,2.05,,3.4,4.96,7.01,3.59,4.48,4.99,0.65,1.73,,0.92,1.7,2.37,38
20,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-21,,,1.81,,3.4,4.12,6.64,2.5,5.62,5.41,1.32,2.25,0.58,1.21,1.84,2.77,34
21,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-22,,,1.52,,3.18,3.8,6.61,4.16,4.36,4.95,1.24,2.39,,1.15,1.69,2.14,29
22,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-23,,,2.32,,3.85,3.79,5.45,4.55,4.66,4.11,1.8,1.94,0.69,0.96,1.51,2.58,23
23,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-24,,,1.46,,4.01,4.63,5.97,4.04,4.63,4.71,1.61,2.34,,0.82,1.61,2.34,20
24,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-25,,,2.46,,4.09,3.9,6.98,3.82,4.84,6.31,0.81,2.33,0.68,0.95,2.14,3.17,29
25,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-26,,,2.08,,3.84,3.95,6.69,3.95,5.44,5.36,0.97,1.65,1.03,0.73,2.11,2.57,53
26,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-27,,,1.81,,3.57,4.38,6.97,3.78,4.7,4.57,1.14,2.32,1.03,0.95,1.32,2.51,40
27,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-28,,,1.88,,3.53,3.97,6.3,4.08,4.54,4.48,1.0,1.58,0.92,1.0,1.28,2.28,53
28,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-29,,,1.95,,3.31,4.06,6.22,3.86,5.0,5.28,1.22,1.95,1.11,0.78,1.33,2.14,36
29,GB,United Kingdom,West Lothian,GB-WLN,,,ChIJ__YFwxTFh0gR8-_8imq7VJ8,2021-01-30,,,1.8,,3.63,4.13,5.34,3.1,4.66,4.81,1.15,2.21,0.77,0.83,1.42,2.45,24
