,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-01,,,2.08,,6.03,4.26,7.38,5.68,6.79,4.82,2.08,2.08,0.9,0.76,2.6,3.15,94
1,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-02,,,2.02,,4.81,4.07,6.89,5.92,5.51,4.4,1.88,2.62,1.48,1.04,2.22,2.22,145
2,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-03,,,2.2,,5.98,4.34,7.92,6.21,5.48,4.78,2.2,2.3,1.24,1.2,2.07,2.84,166
3,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-04,,,1.97,,4.99,3.74,5.62,5.74,4.6,4.28,1.67,2.6,1.2,1.08,1.64,2.39,147
4,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-05,,,1.05,,5.3,3.46,6.36,5.39,4.07,3.94,1.75,2.35,1.11,1.05,1.66,2.59,156
5,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-06,,,1.8,,5.04,3.99,6.15,5.52,4.62,4.47,1.98,1.8,1.11,1.23,1.8,2.22,139
6,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-07,,,2.05,,4.64,4.43,6.15,4.73,5.21,5.0,1.63,2.53,1.15,0.96,2.26,2.56,124
7,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-08,,,1.65,,5.83,3.97,6.05,6.38,4.48,3.88,1.96,1.75,0.9,1.35,1.41,2.38,119
8,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-09,,,1.84,,4.09,4.16,6.37,5.54,5.37,4.66,1.74,1.91,1.24,1.31,1.64,3.29,93
9,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-10,,,2.39,,5.01,5.05,6.91,5.9,5.28,4.39,1.77,2.03,1.41,1.31,1.8,2.33,66
10,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-11,,,1.96,,5.36,4.25,5.8,5.88,4.42,4.42,1.64,1.73,1.17,1.55,1.58,2.46,145
11,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-12,,,2.21,,5.01,4.08,6.83,4.95,4.8,5.34,1.46,1.91,1.85,1.58,1.67,2.38,86
12,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-13,,,2.11,,4.31,4.13,6.12,5.53,5.2,4.99,1.9,1.63,0.98,1.28,1.75,2.23,88
13,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-14,,,1.8,,4.46,4.4,6.5,5.32,5.17,4.99,0.89,2.36,1.3,1.18,1.62,2.45,83
14,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-15,,,2.05,,4.58,3.76,6.87,4.0,4.4,4.18,1.31,2.23,0.79,0.95,1.07,2.11,79
15,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-16,,,2.5,,4.84,4.31,6.28,4.81,5.38,4.41,0.97,2.14,1.03,1.03,2.1,2.97,45
16,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-17,,,2.05,,4.83,3.83,7.75,4.4,5.44,4.8,1.78,2.48,1.01,1.04,1.61,2.65,44
17,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-18,,,2.14,,4.75,5.53,6.89,4.6,5.11,5.58,0.98,1.93,1.4,1.34,1.87,2.88,102
18,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-19,,,1.94,,4.29,4.77,6.53,5.66,6.05,4.74,1.79,2.12,1.67,1.19,1.79,3.13,81
19,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-20,,,1.84,,5.01,4.5,6.4,4.15,5.36,4.56,1.39,2.28,1.66,1.19,1.54,2.87,73
20,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-21,,,1.85,,4.58,4.61,6.64,4.7,4.64,4.22,1.09,2.4,1.15,1.15,1.58,3.4,64
21,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-22,,,1.82,,3.77,4.76,6.68,5.54,4.89,4.67,0.83,2.57,1.3,1.02,1.7,3.09,56
22,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-23,,,1.63,,3.7,4.06,5.73,5.63,4.06,4.96,0.9,2.13,0.7,1.07,1.93,3.26,38
23,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-24,,,2.09,,4.74,3.69,6.03,3.94,5.51,4.81,1.67,2.54,0.84,1.05,1.78,2.72,33
24,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-25,,,1.63,,4.71,4.77,7.07,3.96,5.5,6.22,1.48,2.05,1.0,1.39,1.63,3.26,52
25,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-26,,,1.98,,4.96,4.36,6.1,5.59,4.3,4.51,1.02,1.53,1.23,1.2,0.96,3.0,48
26,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-27,,,1.68,,4.47,4.99,7.63,5.25,5.38,4.68,1.11,1.89,0.81,0.75,1.38,3.06,37
27,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-28,,,2.04,,3.87,4.41,6.42,4.8,5.19,4.74,1.44,1.98,1.14,0.93,1.41,3.09,42
28,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-29,,,2.05,,4.28,4.13,5.4,3.95,5.31,4.13,1.24,2.29,1.48,1.36,2.05,1.75,33
29,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-30,,,1.58,,3.56,3.92,5.44,3.89,4.88,4.35,1.22,2.5,0.86,0.92,1.65,3.36,36
30,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-01-31,,,1.9,,3.66,3.63,5.89,3.86,4.86,4.26,1.5,1.73,1.66,0.7,1.93,1.96,28
31,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-02-01,,,1.79,,4.86,5.45,6.68,4.68,4.8,4.77,0.94,2.12,1.44,0.91,1.56,2.91,43
32,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-02-02,,,1.56,,4.21,4.36,6.94,4.42,5.2,4.66,1.08,2.25,2.52,0.93,1.2,3.01,44
33,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-02-03,,,1.96,,3.95,3.65,6.66,4.13,5.03,5.09,0.63,2.11,1.78,1.18,1.78,2.68,35
34,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-02-04,,,2.07,,3.58,4.63,7.21,4.03,5.86,4.57,1.68,3.0,1.23,1.26,1.44,2.49,20
35,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-02-05,,,1.69,,4.61,3.44,6.27,4.03,4.36,3.9,0.86,1.78,1.51,0.95,1.51,2.95,32
36,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-02-06,,,2.18,,3.23,3.98,6.02,4.18,5.2,4.96,0.95,2.14,1.02,1.36,1.43,2.45,20
37,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-02-07,,,1.88,,4.42,4.81,6.82,4.19,4.85,4.62,1.48,2.34,,1.09,1.29,2.74,26
38,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-02-08,,,1.86,,4.11,4.5,6.0,3.87,5.04,4.53,1.38,1.95,1.38,1.02,1.41,2.73,24
39,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-02-09,,,1.86,,3.46,3.85,5.74,4.09,4.72,4.39,,2.01,0.99,1.29,1.11,2.94,23
40,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-02-10,,,1.79,,4.35,3.76,5.92,4.32,5.58,4.97,1.3,1.85,0.83,1.2,1.48,2.68,18
41,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-02-11,,,1.86,,4.51,3.63,5.21,5.3,5.12,4.05,0.64,1.4,1.07,0.73,1.31,1.89,13
42,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-02-12,,,1.78,,3.46,3.46,6.24,3.43,4.31,3.74,0.97,1.56,1.03,,1.44,2.06,14
43,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-02-13,,,2.24,,3.41,3.79,6.03,3.27,4.75,3.79,1.21,2.17,,,1.51,2.62,15
44,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-02-14,,,2.19,,3.68,4.2,6.11,4.23,4.58,4.06,1.15,2.08,1.11,1.15,1.18,2.95,8
45,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-02-15,,,1.93,,3.95,3.92,6.94,4.21,5.14,4.88,1.45,2.22,1.06,1.12,1.41,2.95,23
46,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-02-16,,,2.1,,4.14,3.98,6.89,4.14,4.56,4.81,1.27,2.46,0.7,0.93,1.56,2.46,14
47,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-02-17,,,1.66,,4.03,4.26,7.11,3.9,5.44,5.79,1.47,1.79,,1.28,1.92,2.62,20
48,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-02-18,,,2.2,,2.95,4.57,6.12,4.18,5.12,4.47,1.23,1.62,0.74,1.1,1.62,2.72,10
49,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-02-19,,,1.96,,3.19,4.4,6.82,3.78,5.02,5.02,1.3,1.56,1.14,1.44,1.4,2.31,20
50,GB,United Kingdom,Windsor and Maidenhead,GB-WNM,,,ChIJP3x1afJ8dkgRIJ_toi2uDgM,2021-02-20,,,1.91,,3.23,4.17,7.81,4.2,5.1,5.28,1.28,2.33,,0.94,1.63,2.64,14
