,sub_region_1,date,newCasesBySpecimenDate
560,United Kingdom,2020-01-30,2
559,United Kingdom,2020-01-31,0
558,United Kingdom,2020-02-01,0
557,United Kingdom,2020-02-02,0
556,United Kingdom,2020-02-03,0
555,United Kingdom,2020-02-04,0
554,United Kingdom,2020-02-05,1
553,United Kingdom,2020-02-06,0
552,United Kingdom,2020-02-07,0
551,United Kingdom,2020-02-08,4
550,United Kingdom,2020-02-09,1
549,United Kingdom,2020-02-10,0
548,United Kingdom,2020-02-11,1
547,United Kingdom,2020-02-12,0
546,United Kingdom,2020-02-13,0
545,United Kingdom,2020-02-14,0
544,United Kingdom,2020-02-15,0
543,United Kingdom,2020-02-16,0
542,United Kingdom,2020-02-17,0
541,United Kingdom,2020-02-18,0
540,United Kingdom,2020-02-19,0
539,United Kingdom,2020-02-20,0
538,United Kingdom,2020-02-21,1
537,United Kingdom,2020-02-22,0
536,United Kingdom,2020-02-23,1
535,United Kingdom,2020-02-24,2
534,United Kingdom,2020-02-25,5
533,United Kingdom,2020-02-26,4
532,United Kingdom,2020-02-27,8
531,United Kingdom,2020-02-28,12
530,United Kingdom,2020-02-29,5
529,United Kingdom,2020-03-01,22
528,United Kingdom,2020-03-02,39
527,United Kingdom,2020-03-03,56
526,United Kingdom,2020-03-04,56
525,United Kingdom,2020-03-05,50
524,United Kingdom,2020-03-06,81
523,United Kingdom,2020-03-07,67
522,United Kingdom,2020-03-08,57
521,United Kingdom,2020-03-09,147
520,United Kingdom,2020-03-10,266
519,United Kingdom,2020-03-11,405
518,United Kingdom,2020-03-12,481
517,United Kingdom,2020-03-13,479
516,United Kingdom,2020-03-14,363
515,United Kingdom,2020-03-15,442
514,United Kingdom,2020-03-16,609
513,United Kingdom,2020-03-17,768
512,United Kingdom,2020-03-18,998
511,United Kingdom,2020-03-19,1050
510,United Kingdom,2020-03-20,1262
509,United Kingdom,2020-03-21,1191
508,United Kingdom,2020-03-22,1374
507,United Kingdom,2020-03-23,2320
506,United Kingdom,2020-03-24,2371
505,United Kingdom,2020-03-25,2692
504,United Kingdom,2020-03-26,3083
503,United Kingdom,2020-03-27,3181
502,United Kingdom,2020-03-28,2816
501,United Kingdom,2020-03-29,2855
500,United Kingdom,2020-03-30,4260
499,United Kingdom,2020-03-31,4516
498,United Kingdom,2020-04-01,4931
497,United Kingdom,2020-04-02,4863
496,United Kingdom,2020-04-03,4897
495,United Kingdom,2020-04-04,4007
494,United Kingdom,2020-04-05,3583
493,United Kingdom,2020-04-06,5260
492,United Kingdom,2020-04-07,5435
491,United Kingdom,2020-04-08,5116
490,United Kingdom,2020-04-09,4849
489,United Kingdom,2020-04-10,4307
488,United Kingdom,2020-04-11,3554
487,United Kingdom,2020-04-12,3480
486,United Kingdom,2020-04-13,4170
485,United Kingdom,2020-04-14,4298
484,United Kingdom,2020-04-15,5040
483,United Kingdom,2020-04-16,5276
482,United Kingdom,2020-04-17,4937
481,United Kingdom,2020-04-18,4703
480,United Kingdom,2020-04-19,3850
479,United Kingdom,2020-04-20,4420
478,United Kingdom,2020-04-21,4764
477,United Kingdom,2020-04-22,5484
476,United Kingdom,2020-04-23,5141
475,United Kingdom,2020-04-24,4950
474,United Kingdom,2020-04-25,3743
473,United Kingdom,2020-04-26,3469
472,United Kingdom,2020-04-27,4704
471,United Kingdom,2020-04-28,4716
470,United Kingdom,2020-04-29,5428
469,United Kingdom,2020-04-30,4957
468,United Kingdom,2020-05-01,4733
467,United Kingdom,2020-05-02,3232
466,United Kingdom,2020-05-03,2986
465,United Kingdom,2020-05-04,3387
464,United Kingdom,2020-05-05,3672
463,United Kingdom,2020-05-06,3818
462,United Kingdom,2020-05-07,3774
461,United Kingdom,2020-05-08,3061
460,United Kingdom,2020-05-09,2164
459,United Kingdom,2020-05-10,2322
458,United Kingdom,2020-05-11,3578
457,United Kingdom,2020-05-12,3389
456,United Kingdom,2020-05-13,3309
455,United Kingdom,2020-05-14,2626
454,United Kingdom,2020-05-15,2524
453,United Kingdom,2020-05-16,2075
452,United Kingdom,2020-05-17,1835
451,United Kingdom,2020-05-18,2573
450,United Kingdom,2020-05-19,3051
449,United Kingdom,2020-05-20,2704
448,United Kingdom,2020-05-21,2565
447,United Kingdom,2020-05-22,2052
446,United Kingdom,2020-05-23,1526
445,United Kingdom,2020-05-24,1365
444,United Kingdom,2020-05-25,1617
443,United Kingdom,2020-05-26,2057
442,United Kingdom,2020-05-27,1827
441,United Kingdom,2020-05-28,1757
440,United Kingdom,2020-05-29,1528
439,United Kingdom,2020-05-30,1118
438,United Kingdom,2020-05-31,1081
437,United Kingdom,2020-06-01,1438
436,United Kingdom,2020-06-02,1486
435,United Kingdom,2020-06-03,1358
434,United Kingdom,2020-06-04,1251
433,United Kingdom,2020-06-05,1125
432,United Kingdom,2020-06-06,808
431,United Kingdom,2020-06-07,722
430,United Kingdom,2020-06-08,1096
429,United Kingdom,2020-06-09,1153
428,United Kingdom,2020-06-10,1192
427,United Kingdom,2020-06-11,1010
426,United Kingdom,2020-06-12,1058
425,United Kingdom,2020-06-13,891
424,United Kingdom,2020-06-14,819
423,United Kingdom,2020-06-15,1043
422,United Kingdom,2020-06-16,1103
421,United Kingdom,2020-06-17,1012
420,United Kingdom,2020-06-18,1025
419,United Kingdom,2020-06-19,996
418,United Kingdom,2020-06-20,686
417,United Kingdom,2020-06-21,638
416,United Kingdom,2020-06-22,895
415,United Kingdom,2020-06-23,891
414,United Kingdom,2020-06-24,776
413,United Kingdom,2020-06-25,720
412,United Kingdom,2020-06-26,669
411,United Kingdom,2020-06-27,652
410,United Kingdom,2020-06-28,446
409,United Kingdom,2020-06-29,728
408,United Kingdom,2020-06-30,617
407,United Kingdom,2020-07-01,659
406,United Kingdom,2020-07-02,607
405,United Kingdom,2020-07-03,573
404,United Kingdom,2020-07-04,400
403,United Kingdom,2020-07-05,557
402,United Kingdom,2020-07-06,705
401,United Kingdom,2020-07-07,603
400,United Kingdom,2020-07-08,702
399,United Kingdom,2020-07-09,719
398,United Kingdom,2020-07-10,563
397,United Kingdom,2020-07-11,446
396,United Kingdom,2020-07-12,370
395,United Kingdom,2020-07-13,734
394,United Kingdom,2020-07-14,691
393,United Kingdom,2020-07-15,773
392,United Kingdom,2020-07-16,706
391,United Kingdom,2020-07-17,581
390,United Kingdom,2020-07-18,498
389,United Kingdom,2020-07-19,444
388,United Kingdom,2020-07-20,812
387,United Kingdom,2020-07-21,782
386,United Kingdom,2020-07-22,795
385,United Kingdom,2020-07-23,797
384,United Kingdom,2020-07-24,772
383,United Kingdom,2020-07-25,524
382,United Kingdom,2020-07-26,558
381,United Kingdom,2020-07-27,855
380,United Kingdom,2020-07-28,841
379,United Kingdom,2020-07-29,1039
378,United Kingdom,2020-07-30,925
377,United Kingdom,2020-07-31,675
376,United Kingdom,2020-08-01,543
375,United Kingdom,2020-08-02,554
374,United Kingdom,2020-08-03,1038
373,United Kingdom,2020-08-04,1018
372,United Kingdom,2020-08-05,1057
371,United Kingdom,2020-08-06,1081
370,United Kingdom,2020-08-07,943
369,United Kingdom,2020-08-08,696
368,United Kingdom,2020-08-09,614
367,United Kingdom,2020-08-10,1470
366,United Kingdom,2020-08-11,1340
365,United Kingdom,2020-08-12,1206
364,United Kingdom,2020-08-13,1140
363,United Kingdom,2020-08-14,1162
362,United Kingdom,2020-08-15,694
361,United Kingdom,2020-08-16,597
360,United Kingdom,2020-08-17,1278
359,United Kingdom,2020-08-18,1082
358,United Kingdom,2020-08-19,1241
357,United Kingdom,2020-08-20,1460
356,United Kingdom,2020-08-21,1197
355,United Kingdom,2020-08-22,823
354,United Kingdom,2020-08-23,822
353,United Kingdom,2020-08-24,1274
352,United Kingdom,2020-08-25,1246
351,United Kingdom,2020-08-26,1350
350,United Kingdom,2020-08-27,1551
349,United Kingdom,2020-08-28,1621
348,United Kingdom,2020-08-29,1222
347,United Kingdom,2020-08-30,1160
346,United Kingdom,2020-08-31,1501
345,United Kingdom,2020-09-01,2248
344,United Kingdom,2020-09-02,2991
343,United Kingdom,2020-09-03,3094
342,United Kingdom,2020-09-04,3039
341,United Kingdom,2020-09-05,2543
340,United Kingdom,2020-09-06,2441
339,United Kingdom,2020-09-07,3859
338,United Kingdom,2020-09-08,3300
337,United Kingdom,2020-09-09,3328
336,United Kingdom,2020-09-10,3579
335,United Kingdom,2020-09-11,3284
334,United Kingdom,2020-09-12,2656
333,United Kingdom,2020-09-13,2129
332,United Kingdom,2020-09-14,3385
331,United Kingdom,2020-09-15,3535
330,United Kingdom,2020-09-16,4347
329,United Kingdom,2020-09-17,4621
328,United Kingdom,2020-09-18,4955
327,United Kingdom,2020-09-19,4850
326,United Kingdom,2020-09-20,5313
325,United Kingdom,2020-09-21,5601
324,United Kingdom,2020-09-22,6398
323,United Kingdom,2020-09-23,7052
322,United Kingdom,2020-09-24,7595
321,United Kingdom,2020-09-25,7238
320,United Kingdom,2020-09-26,6748
319,United Kingdom,2020-09-27,6969
318,United Kingdom,2020-09-28,9923
317,United Kingdom,2020-09-29,10228
316,United Kingdom,2020-09-30,12555
315,United Kingdom,2020-10-01,13185
314,United Kingdom,2020-10-02,13687
313,United Kingdom,2020-10-03,11528
312,United Kingdom,2020-10-04,11800
311,United Kingdom,2020-10-05,16544
310,United Kingdom,2020-10-06,17054
309,United Kingdom,2020-10-07,18312
308,United Kingdom,2020-10-08,18233
307,United Kingdom,2020-10-09,15717
306,United Kingdom,2020-10-10,12503
305,United Kingdom,2020-10-11,12065
