,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-01,,,2.4,,5.34,4.58,6.39,5.29,6.4,5.15,1.77,2.51,0.99,0.99,1.88,3.67,136
1,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-02,,,2.2,,5.18,4.72,7.13,4.47,6.11,5.29,1.96,2.42,0.92,1.19,1.6,2.9,257
2,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-03,,,2.33,0.59,4.85,3.69,6.88,5.44,6.22,5.36,1.89,2.75,1.25,1.3,2.19,2.73,238
3,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-04,,,2.11,0.35,5.3,3.44,5.8,5.06,4.37,4.11,1.78,2.11,1.32,1.53,1.79,2.58,329
4,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-05,,,1.93,0.53,4.89,3.61,5.93,5.13,4.94,4.52,1.63,1.95,0.8,1.05,1.76,2.46,296
5,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-06,,,1.8,0.56,5.14,3.7,6.26,4.89,5.1,4.89,1.5,1.87,0.64,1.18,1.93,2.4,201
6,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-07,,,2.17,0.41,5.17,4.17,5.82,5.64,5.12,4.62,1.68,1.95,0.69,0.83,1.42,2.44,202
7,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-08,,,1.93,0.42,4.6,4.24,6.31,4.88,4.69,4.34,1.13,1.96,0.94,0.99,1.46,3.03,153
8,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-09,,,1.97,,4.85,4.07,5.38,5.14,5.44,4.74,1.43,2.23,0.82,1.36,1.66,2.79,173
9,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-10,,,1.86,0.57,4.72,4.13,6.34,5.1,5.21,4.89,1.94,1.84,1.09,1.24,1.91,3.18,159
10,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-11,,,1.88,0.35,4.42,3.92,6.03,5.62,4.71,4.54,1.45,2.14,1.0,1.03,1.72,2.69,238
11,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-12,,,1.89,,4.66,3.35,6.97,5.12,4.49,4.12,1.36,2.25,0.78,1.2,1.39,2.68,164
12,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-13,,,1.82,,4.61,4.12,6.4,4.77,4.81,3.96,1.39,2.13,1.23,0.97,1.85,2.59,204
13,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-14,,,2.11,0.46,4.32,4.09,6.63,4.41,4.53,4.46,1.38,2.33,0.96,0.92,1.42,2.6,223
14,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-15,,,2.07,0.55,4.58,3.61,5.33,4.48,4.65,4.24,1.5,2.01,1.2,1.27,1.93,2.37,175
15,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-16,,,2.29,0.44,4.05,3.71,5.78,4.13,5.43,4.91,1.03,2.41,0.94,0.94,1.65,2.58,101
16,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-17,,,2.28,,4.06,4.35,7.26,4.89,5.31,5.97,1.91,2.06,0.96,1.22,1.86,2.99,116
17,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-18,,,2.55,0.65,4.86,4.1,7.67,5.19,5.48,5.28,1.49,2.08,1.34,1.15,1.71,2.87,208
18,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-19,,,2.03,0.5,4.31,4.31,7.35,4.92,5.75,5.52,1.3,2.33,0.96,1.19,1.52,2.58,170
19,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-20,,,2.1,0.48,4.3,3.98,6.88,4.35,5.35,5.16,1.42,2.08,1.12,0.94,1.43,2.22,151
20,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-21,,,1.76,0.49,3.9,4.11,6.58,4.66,5.25,4.53,1.34,1.97,0.74,1.16,1.45,2.42,160
21,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-22,,,2.07,0.37,4.3,3.91,5.45,4.54,4.15,4.54,1.28,1.91,1.15,1.24,1.59,2.22,125
22,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-23,,,1.91,,3.99,3.69,5.48,5.38,5.33,4.92,1.37,2.4,0.98,1.15,1.5,3.35,88
23,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-24,,,1.83,,4.3,4.08,5.64,4.39,5.07,4.7,1.53,1.64,1.06,1.27,2.06,2.52,68
24,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-25,,,1.68,,4.49,3.31,6.45,4.49,5.2,5.38,1.33,1.9,0.9,0.82,1.58,2.2,103
25,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-26,,,2.41,,4.52,3.5,6.83,4.91,5.19,5.02,1.22,2.27,1.27,1.3,1.78,2.48,123
26,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-27,,,2.01,,4.42,3.82,6.28,4.26,5.08,4.92,1.43,1.46,1.29,1.07,1.68,2.3,104
27,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-28,,,2.12,,4.25,3.51,6.65,4.42,4.96,4.71,1.09,2.01,0.98,0.87,1.73,2.49,107
28,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-29,,,2.06,,4.0,3.73,5.59,3.45,4.24,4.0,0.93,2.03,1.12,1.49,1.17,2.83,126
29,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-30,,,1.98,,4.1,3.91,5.8,3.34,5.53,4.51,0.78,2.03,0.91,0.93,1.8,2.74,82
30,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-01-31,,,1.96,0.39,5.11,3.87,5.95,3.64,4.83,4.73,1.11,2.13,2.21,1.02,1.83,2.73,62
31,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-02-01,,,1.74,,4.83,4.45,7.04,4.09,5.63,5.29,1.37,2.33,1.56,1.24,1.7,2.65,86
32,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-02-02,,,1.7,0.42,5.33,4.41,6.5,3.93,4.83,4.69,1.2,2.24,3.32,1.32,1.42,2.74,88
33,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-02-03,,,1.85,,4.54,3.83,6.8,4.07,5.17,5.39,1.11,1.63,1.63,1.03,1.47,2.99,74
34,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-02-04,,,1.73,,4.42,4.2,6.93,3.71,4.75,4.86,1.17,1.97,1.67,1.22,1.62,2.94,69
35,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-02-05,,,1.91,0.38,3.64,4.23,6.12,4.53,4.9,4.58,1.29,1.98,0.88,0.77,0.94,2.28,68
36,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-02-06,,,1.91,0.41,3.89,3.35,6.08,4.24,5.6,5.4,1.23,2.29,0.72,1.06,1.5,2.56,45
37,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-02-07,,,2.1,,3.64,4.29,6.26,3.84,5.03,4.64,1.27,2.2,0.64,0.89,1.67,2.89,55
38,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-02-08,,,1.88,0.34,4.25,4.06,6.05,3.65,5.2,4.92,1.15,2.02,1.4,1.26,1.24,2.33,67
39,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-02-09,,,1.72,0.41,4.25,3.96,6.49,4.28,4.77,4.45,1.38,2.12,1.05,0.78,1.54,2.99,65
40,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-02-10,,,1.9,,4.07,3.5,6.0,3.39,4.74,4.49,1.52,2.03,0.91,1.1,1.58,2.81,51
41,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-02-11,,,1.65,,3.57,4.74,6.66,3.83,4.48,4.23,1.55,1.92,0.94,1.07,1.54,2.75,49
42,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-02-12,,,1.43,,3.85,3.86,6.31,3.47,4.19,4.03,1.3,1.74,0.86,0.91,1.52,2.23,52
43,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-02-13,,,1.36,,4.09,3.6,4.81,3.8,5.07,4.49,1.2,1.72,0.77,0.8,1.18,2.63,31
44,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-02-14,,,1.93,,4.2,3.81,6.36,3.85,5.13,5.11,1.67,2.02,0.65,0.84,1.77,2.94,31
45,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-02-15,,,1.7,,3.83,3.92,6.42,4.15,4.74,4.88,1.43,2.2,1.03,1.31,1.6,2.79,40
46,GB,United Kingdom,Central Bedfordshire,GB-CBF,,,ChIJtzQxDOdKdkgRMKjDu6gcDgM,2021-02-16,,,2.15,,3.76,3.96,6.2,4.44,4.56,4.54,1.38,2.31,0.63,0.93,1.58,2.86,39
