,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-01,,,2.11,0.49,5.18,3.84,6.52,4.07,5.62,4.52,2.04,2.29,0.88,1.29,2.11,3.06,138
1,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-02,,,2.44,0.35,5.24,4.19,6.16,4.07,4.87,3.91,1.75,2.01,1.27,1.29,1.84,2.87,283
2,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-03,,,2.06,0.36,5.37,4.27,6.7,4.65,4.94,4.54,1.5,2.39,1.25,1.05,1.98,2.56,249
3,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-04,,,1.87,0.45,4.36,4.03,5.65,5.08,4.62,4.25,1.47,1.66,1.17,1.17,1.86,2.53,290
4,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-05,,,1.89,0.36,4.77,3.52,6.67,4.22,4.55,4.38,1.39,1.86,0.99,1.23,2.01,2.43,288
5,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-06,,,2.05,0.37,4.36,4.16,5.95,4.88,5.04,4.57,1.23,1.53,1.2,0.96,1.82,2.21,249
6,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-07,,,1.97,0.36,4.19,3.85,5.84,4.63,4.87,4.6,1.24,1.94,1.27,1.11,1.43,2.32,203
7,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-08,,,1.6,0.34,3.96,4.17,6.1,4.17,4.73,4.28,1.55,1.66,1.0,0.93,1.54,2.38,145
8,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-09,,,1.96,,4.55,4.28,5.57,4.26,5.3,5.1,1.61,2.03,1.16,1.14,1.54,2.6,158
9,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-10,,,2.06,0.47,4.72,3.72,6.76,4.76,5.53,4.6,1.64,2.02,0.9,1.22,1.69,2.3,159
10,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-11,,,1.93,0.26,4.8,4.22,6.17,4.49,4.72,4.32,1.4,2.12,0.93,1.38,1.58,2.67,255
11,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-12,,,1.8,0.3,4.81,4.19,6.44,4.41,4.72,4.15,1.29,2.27,0.95,1.52,1.47,2.49,207
12,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-13,,,1.93,0.3,4.88,4.36,6.73,4.46,5.41,5.29,1.07,1.82,0.84,1.28,1.51,2.6,157
13,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-14,,,1.95,0.31,4.26,4.44,6.74,4.27,4.64,4.91,1.18,1.67,1.15,0.88,1.61,2.7,176
14,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-15,,,2.0,0.39,4.25,3.49,6.04,4.07,4.67,4.46,1.39,2.06,0.99,0.9,1.43,2.4,180
15,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-16,,,1.98,0.47,3.92,3.99,5.93,4.19,5.5,4.57,1.5,2.02,0.9,0.71,1.59,2.95,137
16,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-17,,,2.18,,4.2,4.3,6.7,4.19,5.69,5.74,1.99,2.14,0.85,1.08,1.35,3.1,122
17,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-18,,,2.16,0.29,4.41,4.54,6.87,4.57,4.73,4.71,1.42,2.03,1.16,1.06,1.43,2.47,205
18,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-19,,,1.78,0.43,4.05,4.1,6.94,4.93,5.59,5.14,1.24,1.97,0.93,1.19,1.55,3.03,174
19,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-20,,,1.98,,4.08,4.01,6.8,4.38,4.7,4.51,1.15,1.54,0.96,1.15,1.35,2.71,137
20,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-21,,,1.9,0.31,4.01,4.03,6.79,4.16,4.48,4.28,1.29,1.73,0.97,1.14,1.79,2.67,100
21,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-22,,,1.67,0.35,4.01,4.08,5.94,5.16,4.77,4.76,1.22,2.11,1.13,1.07,1.72,2.73,111
22,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-23,,,1.74,0.3,4.16,4.31,5.41,4.46,5.29,5.09,1.28,2.07,1.08,1.16,1.55,2.71,79
23,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-24,,,2.01,0.39,3.82,4.52,6.43,4.01,4.74,4.57,1.4,2.32,0.9,1.28,1.7,3.28,88
24,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-25,,,1.92,0.3,4.49,3.8,5.99,4.08,4.34,5.41,1.23,2.15,0.99,1.23,1.77,2.62,129
25,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-26,,,2.15,,3.98,3.88,6.89,4.43,4.91,5.17,1.1,1.61,1.19,1.28,1.58,2.1,148
26,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-27,,,1.9,0.31,4.18,4.36,6.94,4.18,5.18,4.44,1.2,1.82,1.38,1.21,1.71,2.71,110
27,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-28,,,1.92,0.27,3.86,3.6,6.63,4.38,5.01,5.25,1.23,1.71,0.97,1.17,1.72,2.44,91
28,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-29,,,1.75,,3.58,3.72,6.05,3.97,4.42,4.24,1.28,1.75,1.07,0.66,1.36,2.44,101
29,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-30,,,1.64,0.46,3.47,4.13,5.58,3.75,5.14,4.98,1.39,1.93,0.88,1.12,1.55,2.93,86
30,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-01-31,,,2.16,0.43,4.99,4.73,6.09,3.62,4.72,4.25,1.61,1.86,1.53,1.34,1.44,2.59,89
31,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-02-01,,,2.06,0.33,4.85,4.39,6.34,4.05,5.34,4.75,1.26,2.17,1.52,1.26,1.41,3.07,123
32,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-02-02,,,2.21,0.31,4.76,4.49,6.15,3.97,5.27,4.41,1.58,2.25,2.7,1.09,1.48,2.49,102
33,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-02-03,,,1.98,0.3,3.93,4.17,7.06,4.38,4.98,4.38,1.02,2.19,1.43,1.08,1.48,2.29,113
34,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-02-04,,,2.11,0.39,4.39,4.44,6.82,4.03,5.13,5.15,1.23,2.07,1.15,1.14,1.42,2.83,120
35,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-02-05,,,1.6,,3.82,4.04,5.69,3.44,5.03,4.41,1.24,1.74,0.92,0.99,1.36,2.2,84
36,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-02-06,,,2.0,0.28,3.77,4.2,5.96,3.67,5.45,5.21,1.06,1.63,0.9,0.75,1.14,2.6,55
37,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-02-07,,,2.11,0.39,4.46,4.11,6.28,3.7,5.64,4.59,1.36,2.17,0.88,1.25,1.41,2.77,55
38,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-02-08,,,1.95,,4.05,4.35,6.57,3.91,4.81,4.22,0.94,2.14,1.1,1.06,1.47,2.83,87
39,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-02-09,,,1.49,0.44,3.72,4.02,6.38,3.88,4.96,4.83,1.09,1.89,0.94,0.99,1.39,2.4,71
40,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-02-10,,,1.76,0.27,3.61,3.65,6.35,3.79,4.88,4.46,1.24,1.85,0.99,0.77,1.55,2.37,76
41,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-02-11,,,2.02,0.42,4.02,3.86,5.76,3.46,4.98,4.64,1.29,1.58,1.05,0.94,1.23,2.63,75
42,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-02-12,,,1.34,0.39,2.92,3.32,5.45,2.96,4.87,4.75,1.25,1.57,0.97,0.89,1.33,2.21,61
43,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-02-13,,,1.59,0.42,3.56,3.76,5.99,3.71,4.64,4.16,1.22,1.84,0.97,0.71,1.37,2.73,46
44,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-02-14,,,2.11,,3.7,4.09,5.82,4.23,4.9,4.61,1.75,1.68,0.85,0.8,1.47,2.19,45
45,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-02-15,,,2.09,0.41,4.69,4.53,7.26,4.04,4.56,4.49,1.58,2.23,1.04,1.11,1.64,2.69,72
46,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-02-16,,,2.48,,3.97,4.55,6.83,3.71,5.49,5.16,1.25,2.17,0.98,1.14,1.36,2.98,83
47,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-02-17,,,2.14,,4.03,4.23,7.26,3.79,5.49,5.6,1.5,2.17,0.86,1.22,1.68,2.62,68
48,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-02-18,,,1.78,0.34,4.21,4.06,6.8,4.58,4.65,4.56,1.51,2.31,1.19,1.07,1.67,3.02,46
49,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-02-19,,,1.97,,4.18,3.98,6.4,3.98,5.04,5.05,1.14,2.15,0.73,0.96,1.65,2.59,53
50,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-02-20,,,2.02,,3.44,4.17,7.28,3.35,5.56,4.77,1.23,2.2,0.72,1.06,1.6,2.47,31
51,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-02-21,,,1.91,0.34,4.05,4.47,6.36,4.03,5.88,4.76,1.07,2.47,0.71,1.0,1.62,2.51,32
52,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-02-22,,,2.2,0.31,3.9,4.64,6.74,3.52,5.13,4.77,1.02,2.03,1.28,1.18,1.37,2.69,77
53,GB,United Kingdom,Cheshire East,GB-CHE,,,ChIJaxGOo5ZZekgR0KdrWLxiEAM,2021-02-23,,,1.83,0.27,3.72,4.35,7.96,3.78,4.76,4.91,1.06,2.11,0.95,1.25,1.37,1.98,49
