,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Clackmannanshire,GB-CLK,,,ChIJCdhYbl4phkgRkMnSV9rb_1o,2021-01-01,,,,,3.99,3.87,6.4,3.14,3.5,3.99,,,,,2.54,3.62,11
1,GB,United Kingdom,Clackmannanshire,GB-CLK,,,ChIJCdhYbl4phkgRkMnSV9rb_1o,2021-01-02,,,2.36,,3.15,4.95,5.62,4.72,4.72,5.4,,,,,2.47,3.15,10
2,GB,United Kingdom,Clackmannanshire,GB-CLK,,,ChIJCdhYbl4phkgRkMnSV9rb_1o,2021-01-03,,,,,5.78,5.67,7.33,3.0,7.44,4.89,,2.33,,,,3.33,19
3,GB,United Kingdom,Clackmannanshire,GB-CLK,,,ChIJCdhYbl4phkgRkMnSV9rb_1o,2021-01-04,,,3.03,,5.64,3.14,5.75,3.35,5.12,4.5,,2.61,,,2.3,2.61,23
4,GB,United Kingdom,Clackmannanshire,GB-CLK,,,ChIJCdhYbl4phkgRkMnSV9rb_1o,2021-01-05,,,2.41,,6.02,5.48,5.7,4.71,3.72,2.63,2.3,2.41,,,,4.82,22
5,GB,United Kingdom,Clackmannanshire,GB-CLK,,,ChIJCdhYbl4phkgRkMnSV9rb_1o,2021-01-06,,,2.5,,3.91,5.0,6.3,4.67,3.91,4.35,,2.72,,,,2.61,24
6,GB,United Kingdom,Clackmannanshire,GB-CLK,,,ChIJCdhYbl4phkgRkMnSV9rb_1o,2021-01-07,,,,,4.54,4.33,5.28,3.48,7.29,4.96,,2.22,,,,2.96,21
7,GB,United Kingdom,Clackmannanshire,GB-CLK,,,ChIJCdhYbl4phkgRkMnSV9rb_1o,2021-01-08,,,,,3.54,3.43,5.69,2.9,4.94,6.87,,,,,,,14
8,GB,United Kingdom,Clackmannanshire,GB-CLK,,,ChIJCdhYbl4phkgRkMnSV9rb_1o,2021-01-09,,,,,3.73,4.27,7.56,3.18,5.15,5.37,,2.41,,,,2.74,9
9,GB,United Kingdom,Clackmannanshire,GB-CLK,,,ChIJCdhYbl4phkgRkMnSV9rb_1o,2021-01-10,,,2.99,,2.35,3.31,6.3,3.1,5.66,4.06,,,,,,,16
10,GB,United Kingdom,Clackmannanshire,GB-CLK,,,ChIJCdhYbl4phkgRkMnSV9rb_1o,2021-01-11,,,,,4.9,5.29,5.0,3.04,5.39,5.88,2.25,2.45,,,,2.65,15
11,GB,United Kingdom,Clackmannanshire,GB-CLK,,,ChIJCdhYbl4phkgRkMnSV9rb_1o,2021-01-12,,,3.21,,4.31,4.51,5.71,4.51,5.31,3.91,2.5,2.4,,,,2.71,29
12,GB,United Kingdom,Clackmannanshire,GB-CLK,,,ChIJCdhYbl4phkgRkMnSV9rb_1o,2021-01-13,,,2.6,,4.0,3.9,5.8,3.5,4.2,4.3,,,,,,2.3,23
