,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,County Durham,GB-DUR,,,ChIJreC1xuErfEgRwLZs7Z75DAM,2021-01-01,,,2.04,0.33,4.86,4.15,6.43,3.54,5.0,3.94,1.62,2.12,0.99,1.31,1.76,3.09,193
1,GB,United Kingdom,County Durham,GB-DUR,,,ChIJreC1xuErfEgRwLZs7Z75DAM,2021-01-02,,,2.47,0.35,4.72,4.02,6.39,3.9,4.96,4.31,1.5,1.72,0.81,1.03,2.07,2.46,381
2,GB,United Kingdom,County Durham,GB-DUR,,,ChIJreC1xuErfEgRwLZs7Z75DAM,2021-01-03,,,2.44,0.37,4.75,4.16,6.26,4.54,5.02,4.59,1.59,2.09,0.93,1.04,1.92,2.66,380
3,GB,United Kingdom,County Durham,GB-DUR,,,ChIJreC1xuErfEgRwLZs7Z75DAM,2021-01-04,,,2.63,0.36,4.7,3.83,5.93,4.07,4.67,4.31,1.17,2.01,1.03,1.06,1.47,2.46,508
4,GB,United Kingdom,County Durham,GB-DUR,,,ChIJreC1xuErfEgRwLZs7Z75DAM,2021-01-05,,,2.03,0.39,4.87,3.58,6.1,4.24,4.8,4.53,1.31,2.35,1.06,1.12,1.54,2.37,346
5,GB,United Kingdom,County Durham,GB-DUR,,,ChIJreC1xuErfEgRwLZs7Z75DAM,2021-01-06,,,2.08,0.33,4.32,3.61,5.94,4.25,5.04,4.42,1.29,1.84,1.08,1.07,1.54,2.55,319
6,GB,United Kingdom,County Durham,GB-DUR,,,ChIJreC1xuErfEgRwLZs7Z75DAM,2021-01-07,,,2.13,0.33,4.88,4.26,6.52,4.64,4.73,4.57,1.05,1.94,1.18,1.05,1.56,2.54,334
7,GB,United Kingdom,County Durham,GB-DUR,,,ChIJreC1xuErfEgRwLZs7Z75DAM,2021-01-08,,,2.2,0.28,4.59,3.65,6.3,3.65,4.4,4.95,1.26,1.8,0.92,1.04,1.32,2.37,200
8,GB,United Kingdom,County Durham,GB-DUR,,,ChIJreC1xuErfEgRwLZs7Z75DAM,2021-01-09,,,2.15,,4.12,4.14,5.93,3.94,4.61,4.22,1.32,2.05,0.86,1.12,1.48,2.33,213
9,GB,United Kingdom,County Durham,GB-DUR,,,ChIJreC1xuErfEgRwLZs7Z75DAM,2021-01-10,,,2.25,0.32,4.79,3.98,7.36,3.83,4.87,4.78,1.58,2.27,0.93,1.15,1.72,2.85,195
10,GB,United Kingdom,County Durham,GB-DUR,,,ChIJreC1xuErfEgRwLZs7Z75DAM,2021-01-11,,,2.27,0.39,4.23,4.3,7.0,4.71,4.55,4.73,1.31,2.01,0.99,1.24,1.67,2.89,326
11,GB,United Kingdom,County Durham,GB-DUR,,,ChIJreC1xuErfEgRwLZs7Z75DAM,2021-01-12,,,2.09,0.3,3.88,4.05,6.29,3.63,4.55,4.87,1.17,1.94,0.94,1.11,1.34,2.47,284
12,GB,United Kingdom,County Durham,GB-DUR,,,ChIJreC1xuErfEgRwLZs7Z75DAM,2021-01-13,,,1.97,0.24,4.3,3.47,6.8,4.45,4.94,4.89,1.12,2.08,0.97,1.22,1.46,2.38,264
13,GB,United Kingdom,County Durham,GB-DUR,,,ChIJreC1xuErfEgRwLZs7Z75DAM,2021-01-14,,,2.12,0.22,3.93,3.5,6.57,3.71,4.68,4.44,1.16,1.95,0.77,1.1,1.44,2.68,186
14,GB,United Kingdom,County Durham,GB-DUR,,,ChIJreC1xuErfEgRwLZs7Z75DAM,2021-01-15,,,1.82,0.31,3.88,3.71,6.2,3.59,4.37,4.08,1.32,2.18,1.01,0.98,1.39,2.41,257
15,GB,United Kingdom,County Durham,GB-DUR,,,ChIJreC1xuErfEgRwLZs7Z75DAM,2021-01-16,,,2.09,0.25,4.1,3.98,5.69,3.59,5.26,4.81,1.47,2.16,0.82,0.89,1.71,2.81,197
16,GB,United Kingdom,County Durham,GB-DUR,,,ChIJreC1xuErfEgRwLZs7Z75DAM,2021-01-17,,,2.02,,4.11,3.81,6.81,3.56,5.57,5.59,1.14,1.93,0.72,1.21,1.42,2.72,170
17,GB,United Kingdom,County Durham,GB-DUR,,,ChIJreC1xuErfEgRwLZs7Z75DAM,2021-01-18,,,2.01,0.38,4.56,4.64,7.37,4.01,5.06,4.98,1.06,2.09,1.11,0.99,1.62,3.15,319
18,GB,United Kingdom,County Durham,GB-DUR,,,ChIJreC1xuErfEgRwLZs7Z75DAM,2021-01-19,,,2.39,0.29,4.29,4.34,6.83,4.26,4.81,5.16,1.12,2.01,1.27,1.25,1.7,2.99,260
19,GB,United Kingdom,County Durham,GB-DUR,,,ChIJreC1xuErfEgRwLZs7Z75DAM,2021-01-20,,,2.19,0.27,3.97,4.39,7.09,4.15,5.03,4.74,1.1,2.02,0.82,1.23,1.53,2.41,254
20,GB,United Kingdom,County Durham,GB-DUR,,,ChIJreC1xuErfEgRwLZs7Z75DAM,2021-01-21,,,1.91,0.37,4.03,4.45,6.98,4.03,4.52,4.99,0.94,2.24,1.02,1.22,1.49,2.65,260
21,GB,United Kingdom,County Durham,GB-DUR,,,ChIJreC1xuErfEgRwLZs7Z75DAM,2021-01-22,,,1.83,0.31,4.14,4.31,6.67,3.87,4.65,4.48,1.18,1.76,0.9,1.12,1.56,2.51,203
22,GB,United Kingdom,County Durham,GB-DUR,,,ChIJreC1xuErfEgRwLZs7Z75DAM,2021-01-23,,,2.12,0.37,4.05,4.16,5.61,4.44,4.96,4.63,1.34,1.83,0.88,1.12,1.39,2.83,147
23,GB,United Kingdom,County Durham,GB-DUR,,,ChIJreC1xuErfEgRwLZs7Z75DAM,2021-01-24,,,2.13,0.39,4.26,4.16,6.69,4.08,5.45,4.87,1.46,1.93,0.82,1.25,1.33,2.97,119
24,GB,United Kingdom,County Durham,GB-DUR,,,ChIJreC1xuErfEgRwLZs7Z75DAM,2021-01-25,,,2.16,0.3,3.98,4.43,6.49,3.9,5.37,5.3,1.17,1.84,0.94,0.97,1.38,2.91,256
