,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Denbighshire,GB-DEN,,,ChIJlSIGxCgUZUgRMcwM21BVBIk,2021-01-01,,,2.93,,3.5,3.56,6.75,3.56,4.9,4.58,,2.17,,,2.48,2.67,30
1,GB,United Kingdom,Denbighshire,GB-DEN,,,ChIJlSIGxCgUZUgRMcwM21BVBIk,2021-01-02,,,2.13,,4.38,2.88,6.63,4.44,3.94,4.44,2.0,2.06,,,1.5,3.06,60
2,GB,United Kingdom,Denbighshire,GB-DEN,,,ChIJlSIGxCgUZUgRMcwM21BVBIk,2021-01-03,,,2.36,,6.03,5.1,7.52,4.54,6.96,5.41,1.74,2.36,,,1.8,2.92,51
3,GB,United Kingdom,Denbighshire,GB-DEN,,,ChIJlSIGxCgUZUgRMcwM21BVBIk,2021-01-04,,,,,5.25,3.77,6.54,4.89,4.72,4.6,1.71,1.83,,,2.0,2.3,85
4,GB,United Kingdom,Denbighshire,GB-DEN,,,ChIJlSIGxCgUZUgRMcwM21BVBIk,2021-01-05,,,2.0,,4.71,4.83,6.78,4.3,5.01,3.95,,1.83,,,1.47,2.06,67
5,GB,United Kingdom,Denbighshire,GB-DEN,,,ChIJlSIGxCgUZUgRMcwM21BVBIk,2021-01-06,,,2.07,,3.02,3.67,5.63,5.15,5.98,4.8,,2.07,,,2.61,2.43,69
6,GB,United Kingdom,Denbighshire,GB-DEN,,,ChIJlSIGxCgUZUgRMcwM21BVBIk,2021-01-07,,,2.12,,4.41,3.23,7.82,4.82,4.35,4.64,,1.23,,,2.41,2.59,52
7,GB,United Kingdom,Denbighshire,GB-DEN,,,ChIJlSIGxCgUZUgRMcwM21BVBIk,2021-01-08,,,1.55,,4.76,4.24,7.05,5.56,5.91,5.73,1.55,1.66,,,,2.92,71
8,GB,United Kingdom,Denbighshire,GB-DEN,,,ChIJlSIGxCgUZUgRMcwM21BVBIk,2021-01-09,,,2.41,,5.46,4.0,5.34,4.51,4.45,3.81,1.59,1.97,,,,2.67,21
9,GB,United Kingdom,Denbighshire,GB-DEN,,,ChIJlSIGxCgUZUgRMcwM21BVBIk,2021-01-10,,,2.13,,4.96,4.27,7.16,5.15,6.91,6.28,2.07,2.57,,,,2.13,46
