,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Derby,GB-DER,,,ChIJQzd25xvxeUgR0J_Du6gcDgM,2021-01-01,,,2.21,,5.67,5.07,6.29,4.57,6.91,5.34,1.96,2.73,1.61,1.19,2.58,3.55,111
1,GB,United Kingdom,Derby,GB-DER,,,ChIJQzd25xvxeUgR0J_Du6gcDgM,2021-01-02,,,2.47,,5.2,5.15,7.2,4.42,4.39,4.71,1.93,2.15,1.44,1.37,1.71,3.0,259
2,GB,United Kingdom,Derby,GB-DER,,,ChIJQzd25xvxeUgR0J_Du6gcDgM,2021-01-03,,,3.05,,5.48,4.68,7.97,5.55,5.14,4.52,2.09,2.11,1.13,1.18,2.07,3.46,203
3,GB,United Kingdom,Derby,GB-DER,,,ChIJQzd25xvxeUgR0J_Du6gcDgM,2021-01-04,,,2.59,,5.85,3.9,6.86,4.8,5.06,4.67,1.44,2.38,1.76,1.46,1.8,3.34,300
4,GB,United Kingdom,Derby,GB-DER,,,ChIJQzd25xvxeUgR0J_Du6gcDgM,2021-01-05,,,1.91,,5.26,3.62,6.37,5.35,5.26,4.89,1.26,1.91,1.71,1.45,2.01,2.4,294
5,GB,United Kingdom,Derby,GB-DER,,,ChIJQzd25xvxeUgR0J_Du6gcDgM,2021-01-06,,,1.9,,5.58,4.79,7.56,4.97,4.92,5.21,1.52,2.29,1.22,1.02,1.96,2.9,233
6,GB,United Kingdom,Derby,GB-DER,,,ChIJQzd25xvxeUgR0J_Du6gcDgM,2021-01-07,,,2.36,,5.53,5.03,7.28,4.31,5.2,4.79,1.84,2.12,1.77,1.27,1.84,2.49,244
7,GB,United Kingdom,Derby,GB-DER,,,ChIJQzd25xvxeUgR0J_Du6gcDgM,2021-01-08,,,2.43,,5.69,4.65,6.99,4.91,5.2,5.53,1.5,2.23,1.35,1.55,1.61,2.9,212
8,GB,United Kingdom,Derby,GB-DER,,,ChIJQzd25xvxeUgR0J_Du6gcDgM,2021-01-09,,,1.83,,5.16,4.17,6.8,4.22,5.55,5.43,1.71,2.15,1.57,1.06,2.1,3.4,235
9,GB,United Kingdom,Derby,GB-DER,,,ChIJQzd25xvxeUgR0J_Du6gcDgM,2021-01-10,,,2.28,,5.08,5.15,7.43,5.42,6.3,5.61,1.49,2.33,1.27,1.37,1.82,2.95,189
