,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Dumfries and Galloway,GB-DGY,,,ChIJNb41SxLKYkgRqoCDQGd-en0,2021-01-01,,,2.1,,5.34,3.83,5.82,5.45,5.87,5.4,1.21,2.73,,1.62,2.15,3.04,52
1,GB,United Kingdom,Dumfries and Galloway,GB-DGY,,,ChIJNb41SxLKYkgRqoCDQGd-en0,2021-01-02,,,2.27,,4.88,3.94,7.64,4.09,4.98,4.98,1.68,2.52,,,2.42,3.5,115
2,GB,United Kingdom,Dumfries and Galloway,GB-DGY,,,ChIJNb41SxLKYkgRqoCDQGd-en0,2021-01-03,,,2.49,,6.88,5.63,7.58,4.59,5.68,5.78,1.94,2.29,1.3,1.1,1.65,2.89,77
3,GB,United Kingdom,Dumfries and Galloway,GB-DGY,,,ChIJNb41SxLKYkgRqoCDQGd-en0,2021-01-04,,,2.67,,5.15,4.24,6.91,5.77,6.29,5.87,1.62,2.05,1.1,,2.77,2.72,121
4,GB,United Kingdom,Dumfries and Galloway,GB-DGY,,,ChIJNb41SxLKYkgRqoCDQGd-en0,2021-01-05,,,2.7,,5.73,5.01,7.27,4.77,6.07,5.01,1.3,1.73,1.54,1.69,2.12,3.76,99
5,GB,United Kingdom,Dumfries and Galloway,GB-DGY,,,ChIJNb41SxLKYkgRqoCDQGd-en0,2021-01-06,,,2.27,,5.01,5.11,7.67,6.08,6.75,5.79,2.6,2.07,,1.5,2.22,1.21,114
6,GB,United Kingdom,Dumfries and Galloway,GB-DGY,,,ChIJNb41SxLKYkgRqoCDQGd-en0,2021-01-07,,,2.53,,4.86,3.93,5.63,6.27,6.95,5.2,1.12,2.77,,1.17,1.89,2.67,57
7,GB,United Kingdom,Dumfries and Galloway,GB-DGY,,,ChIJNb41SxLKYkgRqoCDQGd-en0,2021-01-08,,,2.66,,5.86,3.94,7.38,5.37,6.6,5.46,2.02,1.92,2.07,1.38,2.41,3.1,93
8,GB,United Kingdom,Dumfries and Galloway,GB-DGY,,,ChIJNb41SxLKYkgRqoCDQGd-en0,2021-01-09,,,2.87,,6.67,4.4,6.03,5.24,6.92,5.83,1.38,2.12,,,2.08,2.47,36
9,GB,United Kingdom,Dumfries and Galloway,GB-DGY,,,ChIJNb41SxLKYkgRqoCDQGd-en0,2021-01-10,,,3.09,,4.88,3.48,7.44,4.69,5.27,5.27,1.69,1.4,1.06,1.45,1.59,2.75,32
