,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,East Riding of Yorkshire,GB-ERY,,,ChIJWTdj-_Qf1kcRnEEJetNXhnE,2021-01-01,,,2.8,,4.91,4.25,6.72,3.84,6.19,5.63,1.52,2.58,0.82,1.01,1.55,3.74,61
1,GB,United Kingdom,East Riding of Yorkshire,GB-ERY,,,ChIJWTdj-_Qf1kcRnEEJetNXhnE,2021-01-02,,,2.67,,4.7,3.88,6.94,3.69,5.35,4.53,1.49,2.64,0.87,0.97,1.67,2.94,137
2,GB,United Kingdom,East Riding of Yorkshire,GB-ERY,,,ChIJWTdj-_Qf1kcRnEEJetNXhnE,2021-01-03,,,2.5,,4.21,4.33,7.7,3.78,6.2,5.24,1.39,2.04,0.94,1.08,1.81,2.95,92
3,GB,United Kingdom,East Riding of Yorkshire,GB-ERY,,,ChIJWTdj-_Qf1kcRnEEJetNXhnE,2021-01-04,,,2.28,0.35,4.0,3.89,6.1,3.98,4.82,4.54,1.13,1.95,0.87,0.96,1.28,2.65,175
4,GB,United Kingdom,East Riding of Yorkshire,GB-ERY,,,ChIJWTdj-_Qf1kcRnEEJetNXhnE,2021-01-05,,,2.21,,4.55,3.98,7.12,3.85,5.34,4.59,1.11,1.74,0.99,1.19,1.89,2.36,114
5,GB,United Kingdom,East Riding of Yorkshire,GB-ERY,,,ChIJWTdj-_Qf1kcRnEEJetNXhnE,2021-01-06,,,2.26,0.34,4.3,3.73,6.18,4.09,5.83,5.71,1.34,1.93,1.26,1.14,1.76,2.37,101
6,GB,United Kingdom,East Riding of Yorkshire,GB-ERY,,,ChIJWTdj-_Qf1kcRnEEJetNXhnE,2021-01-07,,,2.26,0.35,4.59,3.97,6.22,4.41,4.57,4.77,1.32,2.14,0.77,1.05,1.54,2.39,92
7,GB,United Kingdom,East Riding of Yorkshire,GB-ERY,,,ChIJWTdj-_Qf1kcRnEEJetNXhnE,2021-01-08,,,1.91,0.45,4.34,3.91,6.47,4.14,5.31,5.39,1.53,2.0,1.14,1.16,1.25,2.63,88
8,GB,United Kingdom,East Riding of Yorkshire,GB-ERY,,,ChIJWTdj-_Qf1kcRnEEJetNXhnE,2021-01-09,,,2.37,,3.97,3.87,6.02,4.17,5.07,4.39,1.2,1.78,0.87,1.18,1.64,2.22,100
9,GB,United Kingdom,East Riding of Yorkshire,GB-ERY,,,ChIJWTdj-_Qf1kcRnEEJetNXhnE,2021-01-10,,,1.78,,4.24,4.17,7.16,4.19,5.69,5.0,1.57,2.26,0.82,1.27,1.53,2.49,79
10,GB,United Kingdom,East Riding of Yorkshire,GB-ERY,,,ChIJWTdj-_Qf1kcRnEEJetNXhnE,2021-01-11,,,2.11,0.38,4.21,4.21,7.47,3.95,5.54,5.69,1.2,2.14,1.03,0.98,1.86,2.6,119
