,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Fermanagh and Omagh,GB-FMO,,,ChIJ2xfPteg1XkgRLw3XwmauMac,2021-01-01,,,3.11,,6.02,4.99,8.03,3.17,6.54,6.41,2.2,2.33,,,1.62,2.52,76
1,GB,United Kingdom,Fermanagh and Omagh,GB-FMO,,,ChIJ2xfPteg1XkgRLw3XwmauMac,2021-01-02,,,3.01,,6.22,4.27,8.23,4.84,5.02,4.52,2.64,2.39,,,2.64,3.58,95
2,GB,United Kingdom,Fermanagh and Omagh,GB-FMO,,,ChIJ2xfPteg1XkgRLw3XwmauMac,2021-01-03,,,3.31,,5.86,4.14,8.85,4.65,5.99,5.29,2.87,2.61,,,1.91,2.67,80
3,GB,United Kingdom,Fermanagh and Omagh,GB-FMO,,,ChIJ2xfPteg1XkgRLw3XwmauMac,2021-01-04,,,3.06,,5.88,4.26,6.48,4.92,5.7,4.62,2.46,2.34,,,1.8,4.08,93
4,GB,United Kingdom,Fermanagh and Omagh,GB-FMO,,,ChIJ2xfPteg1XkgRLw3XwmauMac,2021-01-05,,,1.99,,4.94,3.61,6.62,4.33,5.42,5.78,,1.45,,,1.62,2.17,89
5,GB,United Kingdom,Fermanagh and Omagh,GB-FMO,,,ChIJ2xfPteg1XkgRLw3XwmauMac,2021-01-06,,,2.45,,5.15,4.19,7.48,4.91,4.85,5.45,1.74,1.68,,,2.69,2.63,86
6,GB,United Kingdom,Fermanagh and Omagh,GB-FMO,,,ChIJ2xfPteg1XkgRLw3XwmauMac,2021-01-07,,,2.32,,3.98,2.73,7.91,3.21,4.22,4.22,2.62,2.32,,,1.78,2.2,56
7,GB,United Kingdom,Fermanagh and Omagh,GB-FMO,,,ChIJ2xfPteg1XkgRLw3XwmauMac,2021-01-08,,,2.21,,4.83,4.77,7.52,5.97,4.89,4.59,1.43,2.15,,,1.91,2.75,67
8,GB,United Kingdom,Fermanagh and Omagh,GB-FMO,,,ChIJ2xfPteg1XkgRLw3XwmauMac,2021-01-09,,,1.54,,5.39,4.3,8.28,5.33,6.03,5.39,2.25,2.82,,,,3.34,59
9,GB,United Kingdom,Fermanagh and Omagh,GB-FMO,,,ChIJ2xfPteg1XkgRLw3XwmauMac,2021-01-10,,,3.03,,5.62,4.57,7.54,3.96,6.98,5.62,2.6,2.78,,,1.85,3.15,62
10,GB,United Kingdom,Fermanagh and Omagh,GB-FMO,,,ChIJ2xfPteg1XkgRLw3XwmauMac,2021-01-11,,,3.11,,5.32,4.64,7.58,4.87,5.32,4.75,1.75,2.77,,,1.47,3.34,79
11,GB,United Kingdom,Fermanagh and Omagh,GB-FMO,,,ChIJ2xfPteg1XkgRLw3XwmauMac,2021-01-12,,,2.49,,4.81,5.52,9.08,5.58,5.76,5.64,1.9,3.26,,,1.48,2.67,70
12,GB,United Kingdom,Fermanagh and Omagh,GB-FMO,,,ChIJ2xfPteg1XkgRLw3XwmauMac,2021-01-13,,,1.7,,4.82,4.76,6.81,5.7,6.29,6.64,1.41,2.23,,,,3.41,66
13,GB,United Kingdom,Fermanagh and Omagh,GB-FMO,,,ChIJ2xfPteg1XkgRLw3XwmauMac,2021-01-14,,,2.61,,4.69,4.15,8.3,5.63,5.63,5.22,,2.02,,,1.48,2.02,47
14,GB,United Kingdom,Fermanagh and Omagh,GB-FMO,,,ChIJ2xfPteg1XkgRLw3XwmauMac,2021-01-15,,,2.61,,4.68,4.39,7.23,3.97,6.23,5.16,1.36,2.43,,,1.25,2.96,39
15,GB,United Kingdom,Fermanagh and Omagh,GB-FMO,,,ChIJ2xfPteg1XkgRLw3XwmauMac,2021-01-16,,,2.73,,5.0,5.19,6.62,4.15,5.52,5.78,1.82,2.79,,,2.08,3.25,37
16,GB,United Kingdom,Fermanagh and Omagh,GB-FMO,,,ChIJ2xfPteg1XkgRLw3XwmauMac,2021-01-17,,,2.64,,3.96,4.97,8.42,4.15,6.04,7.04,1.7,1.7,,,1.51,3.02,40
